iata_code,ident,gps_code,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,type
AAA,NTGA,NTGA,Anaa Airport,-17.35260009765625,-145.50999450683594,10,OC,PF,PF-U-A,,medium_airport
AAB,YARY,YARY,Arrabury Airport,-26.693023,141.047771,334,OC,AU,AU-QLD,,small_airport
AAC,HEAR,HEAR,El Arish International Airport,31.073299408,33.8358001709,121,AS,EG,EG-SIN,El Arish,medium_airport
AAD,AAD,,Adado Airport,6.095802,46.6375,1001,AF,SO,SO-GA,Adado,small_airport
AAE,DABB,DABB,Rabah Bitat Airport,36.822201,7.809174,16,AF,DZ,DZ-36,Annaba,medium_airport
AAF,KAAF,KAAF,Apalachicola Regional Airport,29.72750092,-85.02749634,20,NA,US,US-FL,Apalachicola,small_airport
AAG,SSYA,SSYA,Avelino Vieira Airport,-24.103901,-49.789101,2641,SA,BR,BR-PR,Arapoti,small_airport
AAH,EDKA,EDKA,Aachen-Merzbruck Airport,50.823055,6.186389,623,EU,DE,DE-NW,Aachen,small_airport
AAI,SWRA,SWRA,Arraias Airport,-13.025154,-46.884107,1923,SA,BR,BR-TO,Arraias,small_airport
AAJ,SR-AAJ,SMCA,Cayana Airstrip,3.898681,-55.577907,360,SA,SR,SR-SI,Awaradam,small_airport
AAK,NGUK,NGUK,Aranuka Airport,0.185278,173.636993,6,OC,KI,KI-G,Buariki,small_airport
AAL,EKYT,EKYT,Aalborg Airport,57.0927589138,9.84924316406,10,EU,DK,DK-81,Aalborg,large_airport
AAM,FAMD,FAMD,Malamala Airport,-24.818099975585938,31.544599533081055,1124,AF,ZA,ZA-NP,Malamala,medium_airport
AAN,OMAL,OMAL,Al Ain International Airport,24.261699676513672,55.60919952392578,869,AS,AE,AE-AZ,Al Ain,medium_airport
AAO,SVAN,SVAN,Anaco Airport,9.430225372314453,-64.4707260131836,721,SA,VE,VE-B,Anaco,medium_airport
AAP,ID-0017,WALS,Aji Pangeran Tumenggung Pranoto International Airport,-0.374448,117.249392,73,AS,ID,ID-KI,Samarinda,large_airport
AAQ,URKA,URKA,Anapa Vityazevo Airport,45.002101898193,37.347301483154,174,EU,RU,RU-KDA,Anapa,medium_airport
AAR,EKAH,EKAH,Aarhus Airport,56.2999992371,10.619000434899998,82,EU,DK,DK-82,Aarhus,medium_airport
AAS,ID-AAS,,Apalapsili Airport,-3.8832,139.3108,3100,AS,ID,ID-PA,Apalapsili,small_airport
AAT,CN-0113,ZWAT,Altay Air Base,47.7498855591,88.08580780030002,2460,AS,CN,CN-65,Altay,medium_airport
AAU,NSAU,NSAU,Asau Airport,-13.505132,-172.627888,,OC,WS,WS-VS,Asau,small_airport
AAV,RPMA,RPMA,Allah Valley Airport,6.366819858551025,124.7509994506836,659,AS,PH,PH-SCO,Surallah,medium_airport
AAX,SBAX,SBAX,Romeu Zema Airport,-19.563199996948,-46.960399627686,3276,SA,BR,BR-MG,Araxa,small_airport
AAY,OYGD,OYGD,Al Ghaidah International Airport,16.191699981689453,52.17499923706055,134,AS,YE,YE-MR,,medium_airport
AAZ,MGQZ,MGQZ,Quezaltenango Airport,14.8656,-91.501999,7779,NA,GT,GT-QZ,Quezaltenango,small_airport
