propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe Altice,CS-DOU,4911f5,2022-09-14,2022-09-14 12:13:24,2022-09-14 12:48:15,Paris-Le Bourget Airport,Épinal-Mirecourt Airport,35min,34.83,1014.7,2.6,278.0,FR,FR,Paris-Le Bourget Airport - Épinal-Mirecourt Airport,LFPB,LFSG,48.969727,2.442204,48.32625,6.088088,198.0,446.0,output\CS-DOU\2022-09-14\leg_1\CS-DOU_baro_2022-09-14_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-09-13,2022-09-13 11:11:04,2022-09-13 11:50:14,Épinal-Mirecourt Airport,Paris-Le Bourget Airport,39min,39.15,1140.6,2.9,279.0,FR,FR,Épinal-Mirecourt Airport - Paris-Le Bourget Airport,LFSG,LFPB,48.325366,6.073199,48.963226,2.417908,444.0,126.0,output\CS-DOU\2022-09-13\leg_1\CS-DOU_baro_2022-09-13_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-09-12,2022-09-12 10:00:16,2022-09-12 10:30:36,Paris-Le Bourget Airport,Épinal-Mirecourt Airport,30min,30.33,883.6,2.3,273.0,FR,FR,Paris-Le Bourget Airport - Épinal-Mirecourt Airport,LFPB,LFSG,48.965133,2.447132,48.32248,6.022893,300.0,442.0,output\CS-DOU\2022-09-12\leg_3\CS-DOU_baro_2022-09-12_leg_3.csv
avion du groupe Altice,CS-DOU,4911f5,2022-09-12,2022-09-12 07:38:52,2022-09-12 09:31:43,Malaga Airport,Paris-Le Bourget Airport,1h53min,112.85,3287.7,8.5,1476.0,ES,FR,Malaga Airport - Paris-Le Bourget Airport,LEMG,LFPB,36.669983,-4.492664,48.961945,2.413189,429.0,99.0,output\CS-DOU\2022-09-12\leg_2\CS-DOU_baro_2022-09-12_leg_2.csv
avion du groupe Altice,CS-DOU,4911f5,2022-09-12,2022-09-12 00:00:08,2022-09-12 06:39:31,Teterboro Airport,Malaga Airport,6h39min,399.37,11635.0,30.0,5908.0,US,ES,Teterboro Airport - Malaga Airport,KTEB,LEMG,40.815125,-74.14917,36.687865,-4.517192,465.0,156.0,output\CS-DOU\2022-09-12\leg_1\CS-DOU_baro_2022-09-12_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-09-10,2022-09-10 11:25:12,2022-09-10 18:55:12,Malaga Airport,Teterboro Airport,7h30min,450.0,13110.0,33.8,5902.0,ES,US,Malaga Airport - Teterboro Airport,LEMG,KTEB,36.673416,-4.497013,40.852521,-74.059337,170.0,-84.0,output\CS-DOU\2022-09-10\leg_1\CS-DOU_baro_2022-09-10_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-09-07,2022-09-07 18:11:36,2022-09-07 20:13:06,Paris-Le Bourget Airport,Malaga Airport,2h02min,121.5,3539.7,9.1,1478.0,FR,ES,Paris-Le Bourget Airport - Malaga Airport,LFPB,LEMG,48.970114,2.443735,36.663574,-4.483223,122.0,38.0,output\CS-DOU\2022-09-07\leg_1\CS-DOU_baro_2022-09-07_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-09-05,2022-09-05 07:40:54,2022-09-05 09:37:57,Malaga Airport,Paris-Le Bourget Airport,1h57min,117.03,3409.5,8.8,1476.0,ES,FR,Malaga Airport - Paris-Le Bourget Airport,LEMG,LFPB,36.685089,-4.493408,48.965149,2.447205,38.0,30.0,output\CS-DOU\2022-09-05\leg_1\CS-DOU_baro_2022-09-05_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-09-01,2022-09-01 14:46:21,2022-09-01 16:38:18,Olbia Costa Smeralda Airport,Malaga Airport,1h52min,111.93,3260.9,8.4,1295.0,IT,ES,Olbia Costa Smeralda Airport - Malaga Airport,LIEO,LEMG,40.85495,9.434143,36.694289,-4.515498,1722.0,88.0,output\CS-DOU\2022-09-01\leg_2\CS-DOU_baro_2022-09-01_leg_2.csv
avion du groupe Altice,CS-DOU,4911f5,2022-09-01,2022-09-01 10:09:34,2022-09-01 11:30:49,Paris-Le Bourget Airport,Olbia Costa Smeralda Airport,1h21min,81.25,2367.1,6.1,1045.0,FR,IT,Paris-Le Bourget Airport - Olbia Costa Smeralda Airport,LFPB,LIEO,48.965103,2.449176,41.117294,9.772156,267.0,1208.0,output\CS-DOU\2022-09-01\leg_1\CS-DOU_baro_2022-09-01_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-25,2022-08-25 14:08:00,2022-08-25 15:29:53,Figari Sud-Corse Airport,Paris-Le Bourget Airport,1h22min,81.88,2385.4,6.1,981.0,FR,FR,Figari Sud-Corse Airport - Paris-Le Bourget Airport,LFKF,LFPB,41.471852,9.069214,48.964645,2.438261,1260.0,34.0,output\CS-DOU\2022-08-25\leg_4\CS-DOU_baro_2022-08-25_leg_4.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-25,2022-08-25 11:58:23,2022-08-25 13:24:02,Paris-Le Bourget Airport,Figari Sud-Corse Airport,1h26min,85.65,2495.3,6.4,979.0,FR,FR,Paris-Le Bourget Airport - Figari Sud-Corse Airport,LFPB,LFKF,48.969589,2.4415,41.553226,9.201689,132.0,736.0,output\CS-DOU\2022-08-25\leg_3\CS-DOU_baro_2022-08-25_leg_3.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-25,2022-08-25 10:02:22,2022-08-25 11:24:38,Figari Sud-Corse Airport,Paris-Le Bourget Airport,1h22min,82.25,2396.2,6.2,986.0,FR,FR,Figari Sud-Corse Airport - Paris-Le Bourget Airport,LFKF,LFPB,41.396671,9.001955,48.964828,2.441852,2060.0,50.0,output\CS-DOU\2022-08-25\leg_2\CS-DOU_baro_2022-08-25_leg_2.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-25,2022-08-25 07:43:31,2022-08-25 09:16:47,Malaga Airport,Figari Sud-Corse Airport,1h33min,93.25,2716.7,7.0,1317.0,ES,FR,Malaga Airport - Figari Sud-Corse Airport,LEMG,LFKF,36.673737,-4.497471,41.587738,9.387942,56.0,1254.0,output\CS-DOU\2022-08-25\leg_1\CS-DOU_baro_2022-08-25_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-24,2022-08-24 15:03:38,2022-08-24 17:03:47,Paris-Le Bourget Airport,Malaga Airport,2h00min,120.13,3499.8,9.0,1476.0,FR,ES,Paris-Le Bourget Airport - Malaga Airport,LFPB,LEMG,48.965149,2.447768,36.683524,-4.492926,282.0,46.0,output\CS-DOU\2022-08-24\leg_1\CS-DOU_baro_2022-08-24_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-22,2022-08-22 07:29:02,2022-08-22 09:35:41,Malaga Airport,Paris-Le Bourget Airport,2h07min,126.63,3689.2,9.5,1477.0,ES,FR,Malaga Airport - Paris-Le Bourget Airport,LEMG,LFPB,36.67916,-4.505037,48.964828,2.441571,61.0,38.0,output\CS-DOU\2022-08-22\leg_1\CS-DOU_baro_2022-08-22_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-17,2022-08-17 18:10:46,2022-08-17 20:15:04,Paris-Le Bourget Airport,Malaga Airport,2h04min,124.3,3621.3,9.3,1478.0,FR,ES,Paris-Le Bourget Airport - Malaga Airport,LFPB,LEMG,48.964966,2.443261,36.664775,-4.484993,231.0,68.0,output\CS-DOU\2022-08-17\leg_2\CS-DOU_baro_2022-08-17_leg_2.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-17,2022-08-17 12:25:14,2022-08-17 14:14:14,Malaga Airport,Paris-Le Bourget Airport,1h49min,108.98,3175.0,8.2,1475.0,ES,FR,Malaga Airport - Paris-Le Bourget Airport,LEMG,LFPB,36.683862,-4.490486,48.962108,2.41374,145.0,130.0,output\CS-DOU\2022-08-17\leg_1\CS-DOU_baro_2022-08-17_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-16,2022-08-16 17:51:10,2022-08-16 19:54:10,Paris-Le Bourget Airport,Malaga Airport,2h03min,123.0,3583.4,9.2,1478.0,FR,ES,Paris-Le Bourget Airport - Malaga Airport,LFPB,LEMG,48.970208,2.444169,36.675888,-4.500446,140.0,46.0,output\CS-DOU\2022-08-16\leg_4\CS-DOU_baro_2022-08-16_leg_4.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-16,2022-08-16 15:28:29,2022-08-16 16:01:05,Metz-Nancy-Lorraine Airport,Paris-Le Bourget Airport,33min,32.58,949.2,2.4,278.0,FR,FR,Metz-Nancy-Lorraine Airport - Paris-Le Bourget Airport,LFJL,LFPB,48.971651,6.238355,48.96518,2.447349,658.0,114.0,output\CS-DOU\2022-08-16\leg_3\CS-DOU_baro_2022-08-16_leg_3.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-16,2022-08-16 08:45:15,2022-08-16 09:18:25,Paris-Le Bourget Airport,Metz-Nancy-Lorraine Airport,33min,33.17,966.4,2.5,288.0,FR,FR,Paris-Le Bourget Airport - Metz-Nancy-Lorraine Airport,LFPB,LFJL,48.962985,2.413793,49.108358,6.347874,637.0,948.0,output\CS-DOU\2022-08-16\leg_2\CS-DOU_baro_2022-08-16_leg_2.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-16,2022-08-16 06:28:29,2022-08-16 08:18:36,Malaga Airport,Paris-Le Bourget Airport,1h50min,110.12,3208.2,8.3,1478.0,ES,FR,Malaga Airport - Paris-Le Bourget Airport,LEMG,LFPB,36.69278,-4.524193,48.967734,2.500297,818.0,308.0,output\CS-DOU\2022-08-16\leg_1\CS-DOU_baro_2022-08-16_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-10,2022-08-10 15:13:51,2022-08-10 16:30:25,Francisco de Sa Carneiro Airport,Malaga Airport,1h17min,76.57,2230.7,5.7,624.0,PT,ES,Francisco de Sa Carneiro Airport - Malaga Airport,LPPR,LEMG,41.242676,-8.679886,36.668427,-4.487028,69.0,15.0,output\CS-DOU\2022-08-10\leg_1\CS-DOU_baro_2022-08-10_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-08-09,2022-08-09 17:34:11,2022-08-09 18:10:33,Cascais Airport,Francisco de Sa Carneiro Airport,36min,36.35,1059.0,2.7,285.0,PT,PT,Cascais Airport - Francisco de Sa Carneiro Airport,LPCS,LPPR,38.725662,-9.355396,41.239975,-8.679138,101.0,53.0,output\CS-DOU\2022-08-09\leg_1\CS-DOU_baro_2022-08-09_leg_1.csv
avion du groupe Altice,CS-DOU,4911f5,2022-07-28,2022-07-28 09:03:17,2022-07-28 09:29:20,Cascais Airport,Cascais Airport,26min,26.05,758.9,2.0,0.0,PT,PT,Cascais Airport - Cascais Airport,LPCS,LPCS,38.722431,-9.358337,38.723511,-9.357963,61.0,42.0,output\CS-DOU\2022-07-28\leg_1\CS-DOU_baro_2022-07-28_leg_1.csv
