long,lat,elevation,time
2.439599,48.968948,23,2022-07-21T07:12:15.540Z
2.437627,48.968445,53,2022-07-21T07:12:17.510Z
2.434458,48.967529,114,2022-07-21T07:12:20.910Z
2.431429,48.96666,168,2022-07-21T07:12:24.190Z
2.430075,48.966297,198,2022-07-21T07:12:25.710Z
2.42834,48.965785,229,2022-07-21T07:12:27.460Z
2.426894,48.965366,259,2022-07-21T07:12:28.990Z
2.425015,48.964808,290,2022-07-21T07:12:31.160Z
2.423714,48.964435,320,2022-07-21T07:12:32.370Z
2.421979,48.963923,351,2022-07-21T07:12:34.320Z
2.420232,48.963409,381,2022-07-21T07:12:36.100Z
2.418799,48.962992,404,2022-07-21T07:12:37.610Z
2.417344,48.962585,434,2022-07-21T07:12:39.110Z
2.415091,48.961899,465,2022-07-21T07:12:41.500Z
2.412872,48.96127,495,2022-07-21T07:12:43.810Z
2.409764,48.960385,526,2022-07-21T07:12:47.010Z
2.406921,48.959564,556,2022-07-21T07:12:49.930Z
2.404127,48.958802,587,2022-07-21T07:12:52.760Z
2.401019,48.957918,617,2022-07-21T07:12:56.000Z
2.398259,48.957138,648,2022-07-21T07:12:58.980Z
2.395453,48.956335,678,2022-07-21T07:13:01.780Z
2.392907,48.955627,709,2022-07-21T07:13:04.510Z
2.390019,48.954803,739,2022-07-21T07:13:07.470Z
2.387202,48.953979,770,2022-07-21T07:13:10.480Z
2.384315,48.953156,800,2022-07-21T07:13:13.510Z
2.381937,48.952518,831,2022-07-21T07:13:15.950Z
2.379335,48.951726,861,2022-07-21T07:13:18.810Z
2.376444,48.950935,892,2022-07-21T07:13:21.770Z
2.373986,48.950237,922,2022-07-21T07:13:24.400Z
2.371286,48.949448,953,2022-07-21T07:13:27.330Z
2.368638,48.948747,983,2022-07-21T07:13:29.960Z
2.365674,48.947863,1013,2022-07-21T07:13:32.980Z
2.363072,48.947118,1044,2022-07-21T07:13:35.520Z
2.360511,48.946381,1074,2022-07-21T07:13:38.040Z
2.358158,48.945675,1105,2022-07-21T07:13:40.330Z
2.355441,48.944916,1128,2022-07-21T07:13:42.960Z
2.35317,48.944278,1158,2022-07-21T07:13:44.970Z
2.349947,48.943359,1189,2022-07-21T07:13:47.860Z
2.346708,48.942444,1219,2022-07-21T07:13:50.660Z
2.34368,48.941528,1250,2022-07-21T07:13:53.330Z
2.340666,48.940693,1280,2022-07-21T07:13:55.840Z
2.337775,48.939856,1311,2022-07-21T07:13:58.200Z
2.334306,48.938831,1341,2022-07-21T07:14:00.970Z
2.330981,48.9379,1372,2022-07-21T07:14:03.570Z
2.328045,48.936996,1394,2022-07-21T07:14:05.880Z
2.325488,48.936271,1410,2022-07-21T07:14:07.780Z
2.322693,48.93544,1425,2022-07-21T07:14:09.860Z
2.319778,48.934595,1440,2022-07-21T07:14:11.940Z
2.317059,48.933838,1448,2022-07-21T07:14:13.860Z
2.313995,48.932966,1463,2022-07-21T07:14:15.930Z
2.311777,48.932327,1471,2022-07-21T07:14:17.440Z
2.308936,48.931523,1486,2022-07-21T07:14:19.380Z
2.305791,48.930588,1501,2022-07-21T07:14:21.460Z
2.302058,48.929489,1516,2022-07-21T07:14:23.860Z
2.297516,48.928171,1547,2022-07-21T07:14:26.750Z
2.294804,48.927383,1562,2022-07-21T07:14:28.500Z
2.291444,48.926402,1593,2022-07-21T07:14:30.540Z
2.287831,48.925378,1623,2022-07-21T07:14:32.810Z
2.284578,48.9244,1654,2022-07-21T07:14:34.810Z
2.281142,48.923401,1684,2022-07-21T07:14:36.850Z
2.278723,48.922678,1715,2022-07-21T07:14:38.330Z
2.276049,48.921886,1737,2022-07-21T07:14:40.020Z
2.273375,48.921142,1768,2022-07-21T07:14:41.560Z
2.270773,48.92035,1791,2022-07-21T07:14:43.180Z
2.268254,48.919601,1821,2022-07-21T07:14:44.630Z
2.265424,48.918767,1852,2022-07-21T07:14:46.320Z
2.26275,48.918023,1882,2022-07-21T07:14:47.940Z
2.259169,48.916946,1913,2022-07-21T07:14:50.060Z
2.256493,48.916168,1943,2022-07-21T07:14:51.740Z
2.253042,48.915207,1974,2022-07-21T07:14:53.680Z
2.248817,48.914108,2004,2022-07-21T07:14:56.120Z
2.244391,48.913088,2035,2022-07-21T07:14:58.590Z
2.238324,48.911957,2065,2022-07-21T07:15:01.880Z
2.233816,48.911316,2080,2022-07-21T07:15:04.240Z
2.23102,48.910993,2088,2022-07-21T07:15:05.750Z
2.227189,48.910667,2103,2022-07-21T07:15:07.770Z
2.219802,48.910217,2111,2022-07-21T07:15:11.690Z
2.212805,48.909922,2118,2022-07-21T07:15:15.400Z
2.18852,48.909038,2134,2022-07-21T07:15:28.150Z
2.169307,48.908386,2172,2022-07-21T07:15:38.300Z
2.149562,48.907781,2210,2022-07-21T07:15:48.540Z
2.132649,48.907269,2256,2022-07-21T07:15:57.370Z
2.116277,48.906738,2309,2022-07-21T07:16:05.880Z
2.10198,48.906281,2362,2022-07-21T07:16:13.310Z
2.0886,48.905869,2423,2022-07-21T07:16:20.370Z
2.074796,48.905411,2484,2022-07-21T07:16:27.500Z
2.064346,48.904895,2530,2022-07-21T07:16:32.960Z
2.058176,48.904175,2553,2022-07-21T07:16:36.280Z
2.053387,48.903305,2576,2022-07-21T07:16:38.860Z
2.048105,48.901886,2598,2022-07-21T07:16:41.890Z
2.043316,48.900238,2621,2022-07-21T07:16:44.660Z
2.038614,48.898191,2644,2022-07-21T07:16:47.620Z
2.034928,48.896283,2659,2022-07-21T07:16:50.010Z
2.030569,48.893463,2682,2022-07-21T07:16:53.060Z
2.026905,48.890603,2705,2022-07-21T07:16:55.950Z
2.023508,48.887298,2736,2022-07-21T07:16:58.920Z
2.020978,48.884272,2758,2022-07-21T07:17:01.630Z
2.018315,48.880234,2789,2022-07-21T07:17:04.920Z
2.016132,48.87561,2819,2022-07-21T07:17:08.470Z
2.013245,48.868119,2880,2022-07-21T07:17:14.160Z
2.010428,48.859406,2941,2022-07-21T07:17:20.740Z
2.008878,48.85231,2995,2022-07-21T07:17:25.890Z
2.007822,48.844345,3056,2022-07-21T07:17:31.660Z
2.007029,48.835858,3117,2022-07-21T07:17:38.200Z
2.006667,48.831947,3139,2022-07-21T07:17:41.000Z
2.006378,48.828828,3147,2022-07-21T07:17:43.080Z
2.006061,48.824661,3155,2022-07-21T07:17:45.780Z
2.005357,48.815552,3170,2022-07-21T07:17:51.930Z
2.004653,48.806488,3200,2022-07-21T07:17:57.870Z
2.004371,48.80278,3223,2022-07-21T07:18:00.330Z
2.00416,48.799667,3246,2022-07-21T07:18:02.240Z
2.003921,48.796428,3269,2022-07-21T07:18:04.360Z
2.003704,48.793309,3299,2022-07-21T07:18:06.360Z
2.003244,48.786896,3360,2022-07-21T07:18:10.530Z
2.002764,48.780135,3421,2022-07-21T07:18:14.800Z
2.002403,48.774455,3475,2022-07-21T07:18:18.380Z
2.002041,48.768776,3536,2022-07-21T07:18:21.960Z
2.001752,48.764959,3566,2022-07-21T07:18:24.420Z
2.001608,48.762398,3581,2022-07-21T07:18:25.990Z
2.001343,48.758423,3604,2022-07-21T07:18:28.500Z
2.001102,48.755043,3620,2022-07-21T07:18:30.560Z
2.000885,48.751226,3627,2022-07-21T07:18:33.010Z
2.000596,48.747362,3642,2022-07-21T07:18:35.420Z
2.000005,48.738235,3650,2022-07-21T07:18:41.090Z
1.997849,48.70607,3711,2022-07-21T07:19:00.960Z
1.996115,48.679908,3787,2022-07-21T07:19:17.020Z
1.99599,48.670532,3825,2022-07-21T07:19:22.660Z
1.996695,48.662933,3848,2022-07-21T07:19:27.370Z
1.998138,48.655468,3871,2022-07-21T07:19:31.800Z
2.000357,48.648376,3894,2022-07-21T07:19:36.030Z
2.003385,48.641235,3924,2022-07-21T07:19:40.510Z
2.008244,48.631897,3962,2022-07-21T07:19:46.370Z
2.021273,48.609192,4054,2022-07-21T07:20:00.570Z
2.034372,48.587082,4145,2022-07-21T07:20:14.310Z
2.047071,48.565762,4237,2022-07-21T07:20:27.640Z
2.051841,48.557708,4260,2022-07-21T07:20:32.620Z
2.05625,48.550306,4260,2022-07-21T07:20:37.180Z
2.075008,48.5186,4267,2022-07-21T07:20:56.920Z
2.08212,48.506653,4275,2022-07-21T07:21:04.330Z
2.097262,48.481018,4328,2022-07-21T07:21:20.170Z
2.113671,48.453278,4404,2022-07-21T07:21:37.050Z
2.129468,48.426571,4481,2022-07-21T07:21:53.480Z
2.145081,48.400131,4564,2022-07-21T07:22:09.470Z
2.151152,48.389794,4572,2022-07-21T07:22:15.840Z
2.159753,48.375317,4572,2022-07-21T07:22:24.560Z
2.177124,48.34584,4580,2022-07-21T07:22:42.550Z
2.182688,48.336273,4602,2022-07-21T07:22:48.340Z
2.185701,48.331185,4625,2022-07-21T07:22:51.420Z
2.190761,48.322573,4671,2022-07-21T07:22:56.690Z
2.194589,48.316086,4717,2022-07-21T07:23:00.530Z
2.19835,48.309585,4770,2022-07-21T07:23:04.370Z
2.203698,48.299157,4862,2022-07-21T07:23:10.600Z
2.207746,48.289614,4938,2022-07-21T07:23:16.230Z
2.21136,48.278907,5029,2022-07-21T07:23:22.350Z
2.215841,48.262148,5151,2022-07-21T07:23:32.000Z
2.219961,48.245994,5273,2022-07-21T07:23:41.150Z
2.223792,48.230539,5395,2022-07-21T07:23:50.070Z
2.227478,48.215515,5517,2022-07-21T07:23:58.450Z
