propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-08-23,2022-08-23 21:15:31.830000+00:00,2022-08-23 22:34:30.410000+00:00,Federico Fellini International Airport,Paris-Le Bourget Airport,1h19min,78.97,6.2,952.0,IT,FR,Federico Fellini International Airport - Paris-Le Bourget Airport,LIPR,LFPB,44.027893,12.594101,48.964854,2.441422,546.0,26.0,output\F-GBOL\2022-08-23\leg_2\F-GBOL_baro_2022-08-23_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-08-23,2022-08-23 14:15:34.470000+00:00,2022-08-23 15:34:32.310000+00:00,Paris-Le Bourget Airport,Federico Fellini International Airport,1h19min,78.95,6.2,962.0,FR,IT,Paris-Le Bourget Airport - Federico Fellini International Airport,LFPB,LIPR,48.971924,2.450444,43.971428,12.699149,58.0,476.0,output\F-GBOL\2022-08-23\leg_1\F-GBOL_baro_2022-08-23_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-08-18,2022-08-18 15:00:02.750000+00:00,2022-08-18 17:11:41.300000+00:00,Ioannis Kapodistrias International Airport,Paris-Le Bourget Airport,2h12min,131.63,10.3,1724.0,GR,FR,Ioannis Kapodistrias International Airport - Paris-Le Bourget Airport,LGKR,LFPB,39.657386,19.829651,48.964645,2.438331,3045.0,50.0,output\F-GBOL\2022-08-18\leg_3\F-GBOL_baro_2022-08-18_leg_3.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-08-18,2022-08-18 12:47:17.350000+00:00,2022-08-18 14:17:11.760000+00:00,Toulon-Hyères Airport,Ioannis Kapodistrias International Airport,1h30min,89.9,7.0,1211.0,FR,GR,Toulon-Hyères Airport - Ioannis Kapodistrias International Airport,LFTH,LGKR,43.104172,6.276323,39.269047,19.815735,1542.0,1908.0,output\F-GBOL\2022-08-18\leg_2\F-GBOL_baro_2022-08-18_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-08-18,2022-08-18 09:30:11.500000+00:00,2022-08-18 10:30:14.010000+00:00,Paris-Le Bourget Airport,Toulon-Hyères Airport,1h00min,60.03,4.7,714.0,FR,FR,Paris-Le Bourget Airport - Toulon-Hyères Airport,LFPB,LFTH,48.971878,2.450303,43.115112,6.249688,81.0,1352.0,output\F-GBOL\2022-08-18\leg_1\F-GBOL_baro_2022-08-18_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-07-21,2022-07-21 17:16:10.020000+00:00,2022-07-21 21:30:26.450000+00:00,Niamtougou International Airport,Paris-Le Bourget Airport,4h14min,254.27,19.9,4346.0,TG,FR,Niamtougou International Airport - Paris-Le Bourget Airport,DXNG,LFPB,9.7778964,1.095675,48.964645,2.42326,975.0,12.0,output\F-GBOL\2022-07-21\leg_2\F-GBOL_baro_2022-07-21_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-07-21,2022-07-21 07:12:15.540000+00:00,2022-07-21 12:25:45.020000+00:00,Paris-Le Bourget Airport,Niamtougou International Airport,5h13min,313.48,24.6,4347.0,FR,TG,Paris-Le Bourget Airport - Niamtougou International Airport,LFPB,DXNG,48.968948,2.439599,9.7778964,1.095675,63.0,462.0,output\F-GBOL\2022-07-21\leg_1\F-GBOL_baro_2022-07-21_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-07-13,2022-07-13 06:43:12.511000+00:00,2022-07-13 08:29:42.311000+00:00,Naples International Airport,Paris-Le Bourget Airport,1h46min,106.48,8.3,1294.0,IT,FR,Naples International Airport - Paris-Le Bourget Airport,LIRN,LFPB,40.88711,14.293088,48.964575,2.43658,125.0,-30.0,output\F-GBOL\2022-07-13\leg_2\F-GBOL_baro_2022-07-13_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-07-13,2022-07-13 04:04:18.611000+00:00,2022-07-13 05:43:28.311000+00:00,Paris-Le Bourget Airport,Naples International Airport,1h39min,99.15,7.8,1294.0,FR,IT,Paris-Le Bourget Airport - Naples International Airport,LFPB,LIRN,48.964156,2.428846,40.885061,14.288718,-30.0,12.0,output\F-GBOL\2022-07-13\leg_1\F-GBOL_baro_2022-07-13_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-06-08,2022-06-08 11:00:54.650000+00:00,2022-06-08 13:11:28.950000+00:00,Humberto Delgado Airport (Lisbon Portela Airport),Paris-Le Bourget Airport,2h11min,130.57,10.2,1463.0,PT,FR,Humberto Delgado Airport (Lisbon Portela Airport) - Paris-Le Bourget Airport,LPPT,LFPB,38.770705,-9.141602,48.964761,2.440627,166.0,50.0,output\F-GBOL\2022-06-08\leg_1\F-GBOL_2022-06-08_leg_1.csv
