propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-GGGA,3918C0,2022-02-04,2022-02-04 17:02:18.514000+00:00,2022-02-04 18:02:41.214000+00:00,Lorient South Brittany (Bretagne Sud) Airport,Paris-Le Bourget Airport,1h00min,60.37,737.9,1.9,453.0,FR,FR,Lorient South Brittany (Bretagne Sud) Airport - Paris-Le Bourget Airport,LFRH,LFPB,47.691565,-3.320961,48.970247,2.479799,2591.0,175.0,output\F-GGGA\2022-02-04\leg_4\F-GGGA_baro_2022-02-04_leg_4.csv
avion de location Valljet,F-GGGA,3918C0,2022-02-04,2022-02-04 14:08:46.314000+00:00,2022-02-04 16:02:20.113000+00:00,Inverness Airport,Lorient South Brittany (Bretagne Sud) Airport,1h54min,113.55,1388.0,3.6,1066.0,GB,FR,Inverness Airport - Lorient South Brittany (Bretagne Sud) Airport,EGPE,LFRH,57.399743,-4.093432,47.834214,-3.164128,2997.0,1227.0,output\F-GGGA\2022-02-04\leg_3\F-GGGA_baro_2022-02-04_leg_3.csv
avion de location Valljet,F-GGGA,3918C0,2022-02-04,2022-02-04 09:08:58.514000+00:00,2022-02-04 11:01:49.514000+00:00,Lorient South Brittany (Bretagne Sud) Airport,Inverness Airport,1h53min,112.85,1379.4,3.5,1040.0,FR,GB,Lorient South Brittany (Bretagne Sud) Airport - Inverness Airport,LFRH,EGPE,47.86523,-3.51486,57.211601,-3.917338,2349.0,2187.0,output\F-GGGA\2022-02-04\leg_2\F-GGGA_baro_2022-02-04_leg_2.csv
avion de location Valljet,F-GGGA,3918C0,2022-02-04,2022-02-04 07:09:41.714000+00:00,2022-02-04 08:07:08.714000+00:00,Paris-Le Bourget Airport,Lorient South Brittany (Bretagne Sud) Airport,57min,57.45,702.2,1.8,429.0,FR,FR,Paris-Le Bourget Airport - Lorient South Brittany (Bretagne Sud) Airport,LFPB,LFRH,48.959991,2.404763,47.799041,-3.121551,670.0,1292.0,output\F-GGGA\2022-02-04\leg_1\F-GGGA_baro_2022-02-04_leg_1.csv
avion de location Valljet,F-GGGA,3918C0,2022-01-26,2022-01-26 18:30:38.019000+00:00,2022-01-26 21:04:14.519000+00:00,A/C in cruise,Paris-Le Bourget Airport,2h34min,153.6,1877.5,4.8,1292.0,A/C in cruise,FR,A/C in cruise - Paris-Le Bourget Airport,A/C in cruise,LFPB,38.755767,-5.239109,48.971557,2.477315,10162.0,30.0,output\F-GGGA\2022-01-26\leg_1\F-GGGA_baro_2022-01-26_leg_1.csv
avion de location Valljet,F-GGGA,3918C0,2022-01-24,2022-01-24 20:59:12.672000+00:00,2022-01-24 21:30:07.271000+00:00,Humberto Delgado Airport (Lisbon Portela Airport),A/C in cruise,31min,30.9,377.7,1.0,265.0,PT,A/C in cruise,Humberto Delgado Airport (Lisbon Portela Airport) - A/C in cruise,LPPT,A/C in cruise,38.791141,-9.130488,37.723389,-6.420214,673.0,3718.0,output\F-GGGA\2022-01-24\leg_4\F-GGGA_baro_2022-01-24_leg_4.csv
avion de location Valljet,F-GGGA,3918C0,2022-01-24,2022-01-24 18:34:53.372000+00:00,2022-01-24 19:46:32.072000+00:00,Adolfo Suarez Madrid-Barajas Airport,Humberto Delgado Airport (Lisbon Portela Airport),1h12min,71.63,875.6,2.2,517.0,ES,PT,Adolfo Suarez Madrid-Barajas Airport - Humberto Delgado Airport (Lisbon Portela Airport),LEMD,LPPT,40.527791,-3.575921,38.759566,-9.147837,892.0,72.0,output\F-GGGA\2022-01-24\leg_3\F-GGGA_baro_2022-01-24_leg_3.csv
avion de location Valljet,F-GGGA,3918C0,2022-01-24,2022-01-24 09:01:41.572000+00:00,2022-01-24 10:09:40.172000+00:00,Humberto Delgado Airport (Lisbon Portela Airport),Adolfo Suarez Madrid-Barajas Airport,1h08min,67.97,830.8,2.1,513.0,PT,ES,Humberto Delgado Airport (Lisbon Portela Airport) - Adolfo Suarez Madrid-Barajas Airport,LPPT,LEMD,38.790947,-9.125751,40.453762,-3.547822,356.0,552.0,output\F-GGGA\2022-01-24\leg_2\F-GGGA_baro_2022-01-24_leg_2.csv
avion de location Valljet,F-GGGA,3918C0,2022-01-24,2022-01-24 06:14:12.072000+00:00,2022-01-24 06:51:56.072000+00:00,A/C in cruise,Humberto Delgado Airport (Lisbon Portela Airport),38min,37.73,461.2,1.2,286.0,A/C in cruise,PT,A/C in cruise - Humberto Delgado Airport (Lisbon Portela Airport),A/C in cruise,LPPT,37.629165,-6.21896,38.764091,-9.148957,6462.0,61.0,output\F-GGGA\2022-01-24\leg_1\F-GGGA_baro_2022-01-24_leg_1.csv
avion de location Valljet,F-GGGA,3918C0,2022-01-23,2022-01-23 11:30:04.837000+00:00,2022-01-23 13:45:45.837000+00:00,Paris-Le Bourget Airport,A/C in cruise,2h16min,135.68,1658.5,4.3,1353.0,FR,A/C in cruise,Paris-Le Bourget Airport - A/C in cruise,LFPB,A/C in cruise,48.887488,2.408884,38.155081,-5.533787,422.0,4530.0,output\F-GGGA\2022-01-23\leg_1\F-GGGA_baro_2022-01-23_leg_1.csv
