propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-GLTK,392E6A,2022-08-30,2022-08-30 15:01:12.383000+00:00,2022-08-30 16:50:17.003000+00:00,Figari Sud-Corse Airport,Paris-Le Bourget Airport,1h49min,109.07,1333.2,3.4,881.0,FR,FR,Figari Sud-Corse Airport - Paris-Le Bourget Airport,LFKF,LFPB,42.272492,8.485855,48.95702,2.392576,7353.0,172.0,output\F-GLTK\2022-08-30\leg_1\F-GLTK_baro_2022-08-30_leg_1_break_2.csv
avion de location Valljet,F-GLTK,392E6A,2022-08-30,2022-08-30 11:58:11.013000+00:00,2022-08-30 13:33:03.583000+00:00,Paris-Le Bourget Airport,Figari Sud-Corse Airport,1h35min,94.87,1159.6,3.0,977.0,FR,FR,Paris-Le Bourget Airport - Figari Sud-Corse Airport,LFPB,LFKF,48.966342,2.48826,41.533768,9.163409,488.0,2900.0,output\F-GLTK\2022-08-30\leg_1\F-GLTK_baro_2022-08-30_leg_1_break_1.csv
avion de location Valljet,F-GLTK,392E6A,2022-08-28,2022-08-28 09:55:32.100000+00:00,2022-08-28 10:57:41.500000+00:00,Amsterdam Airport Schiphol,Paris-Le Bourget Airport,1h02min,62.15,759.7,1.9,411.0,NL,FR,Amsterdam Airport Schiphol - Paris-Le Bourget Airport,EHAM,LFPB,52.316126,4.808289,48.956563,2.395754,163.0,168.0,output\F-GLTK\2022-08-28\leg_2\F-GLTK_baro_2022-08-28_leg_2.csv
avion de location Valljet,F-GLTK,392E6A,2022-08-28,2022-08-28 08:17:12.890000+00:00,2022-08-28 09:08:32.360000+00:00,Paris-Le Bourget Airport,Amsterdam Airport Schiphol,51min,51.32,627.3,1.6,404.0,FR,NL,Paris-Le Bourget Airport - Amsterdam Airport Schiphol,LFPB,EHAM,48.967802,2.492988,52.297801,4.780471,587.0,-38.0,output\F-GLTK\2022-08-28\leg_1\F-GLTK_baro_2022-08-28_leg_1.csv
avion de location Valljet,F-GLTK,392E6A,2022-08-06,2022-08-06 18:21:11.800000+00:00,2022-08-06 20:14:40.440000+00:00,Adolfo Suarez Madrid-Barajas Airport,Paris-Le Bourget Airport,1h53min,113.47,1387.0,3.6,1053.0,ES,FR,Adolfo Suarez Madrid-Barajas Airport - Paris-Le Bourget Airport,LEMD,LFPB,40.463989,-3.525827,48.95496,2.387057,940.0,133.0,output\F-GLTK\2022-08-06\leg_1\F-GLTK_baro_2022-08-06_leg_1.csv
avion de location Valljet,F-GLTK,392E6A,2022-08-04,2022-08-04 17:13:30.510000+00:00,2022-08-04 19:36:52.670000+00:00,Bologna Guglielmo Marconi Airport,Adolfo Suarez Madrid-Barajas Airport,2h23min,143.37,1752.5,4.5,1303.0,IT,ES,Bologna Guglielmo Marconi Airport - Adolfo Suarez Madrid-Barajas Airport,LIPE,LEMD,44.588852,11.364978,40.551325,-3.559174,1659.0,740.0,output\F-GLTK\2022-08-04\leg_3\F-GLTK_baro_2022-08-04_leg_3.csv
avion de location Valljet,F-GLTK,392E6A,2022-08-04,2022-08-04 12:05:44.460000+00:00,2022-08-04 14:15:35+00:00,Adolfo Suarez Madrid-Barajas Airport,Bologna Guglielmo Marconi Airport,2h10min,129.83,1587.0,4.1,1274.0,ES,IT,Adolfo Suarez Madrid-Barajas Airport - Bologna Guglielmo Marconi Airport,LEMD,LIPE,40.460759,-3.523431,44.657132,10.947684,943.0,1711.0,output\F-GLTK\2022-08-04\leg_2\F-GLTK_baro_2022-08-04_leg_2.csv
avion de location Valljet,F-GLTK,392E6A,2022-08-04,2022-08-04 08:56:27.520000+00:00,2022-08-04 11:00:10+00:00,Paris-Le Bourget Airport,Adolfo Suarez Madrid-Barajas Airport,2h04min,123.7,1512.0,3.9,1047.0,FR,ES,Paris-Le Bourget Airport - Adolfo Suarez Madrid-Barajas Airport,LFPB,LEMD,48.957359,2.396417,40.53994,-3.558781,543.0,644.0,output\F-GLTK\2022-08-04\leg_1\F-GLTK_baro_2022-08-04_leg_1.csv
avion de location Valljet,F-GLTK,392E6A,2022-08-02,2022-08-02 13:51:08.900000+00:00,2022-08-02 15:47:21.640000+00:00,A/C in cruise,Paris-Le Bourget Airport,1h56min,116.2,1420.4,3.6,1057.0,A/C in cruise,FR,A/C in cruise - Paris-Le Bourget Airport,A/C in cruise,LFPB,44.568324,14.788227,48.967465,2.490271,5301.0,232.0,output\F-GLTK\2022-08-02\leg_2\F-GLTK_baro_2022-08-02_leg_2.csv
avion de location Valljet,F-GLTK,392E6A,2022-08-02,2022-08-02 10:00:59.180000+00:00,2022-08-02 11:46:32.020000+00:00,Paris-Le Bourget Airport,A/C in cruise,1h46min,105.53,1289.9,3.3,1065.0,FR,A/C in cruise,Paris-Le Bourget Airport - A/C in cruise,LFPB,A/C in cruise,48.957446,2.398251,44.347411,14.614937,577.0,4671.0,output\F-GLTK\2022-08-02\leg_1\F-GLTK_baro_2022-08-02_leg_1.csv
avion de location Valljet,F-GLTK,392E6A,2022-07-25,2022-07-25 09:50:10.740000+00:00,2022-07-25 10:47:58.060000+00:00,London Biggin Hill Airport,Charles de Gaulle International Airport,58min,57.78,706.3,1.8,316.0,GB,FR,London Biggin Hill Airport - Charles de Gaulle International Airport,EGKB,LFPG,51.311872,0.013311,48.966572,2.509769,615.0,312.0,output\F-GLTK\2022-07-25\leg_2\F-GLTK_baro_2022-07-25_leg_2.csv
avion de location Valljet,F-GLTK,392E6A,2022-07-25,2022-07-25 08:08:13.670000+00:00,2022-07-25 08:53:54.800000+00:00,Paris-Le Bourget Airport,London Biggin Hill Airport,46min,45.68,558.4,1.4,314.0,FR,GB,Paris-Le Bourget Airport - London Biggin Hill Airport,LFPB,EGKB,48.953719,2.38259,51.339541,0.040972,658.0,240.0,output\F-GLTK\2022-07-25\leg_1\F-GLTK_baro_2022-07-25_leg_1.csv
avion de location Valljet,F-GLTK,392E6A,2022-07-24,2022-07-24 17:23:48.060000+00:00,2022-07-24 18:39:25.610000+00:00,Le Castellet Airport,Charles de Gaulle International Airport,1h16min,75.62,924.3,2.4,667.0,FR,FR,Le Castellet Airport - Charles de Gaulle International Airport,LFMQ,LFPG,43.35557,5.552891,48.967646,2.505949,2741.0,316.0,output\F-GLTK\2022-07-24\leg_2\F-GLTK_baro_2022-07-24_leg_2.csv
avion de location Valljet,F-GLTK,392E6A,2022-07-24,2022-07-24 07:12:38.850000+00:00,2022-07-24 08:20:53.060000+00:00,Charles de Gaulle International Airport,Marseille Provence Airport,1h08min,68.23,834.0,2.1,644.0,FR,FR,Charles de Gaulle International Airport - Marseille Provence Airport,LFPG,LFML,48.968734,2.507884,43.539571,5.442236,666.0,2187.0,output\F-GLTK\2022-07-24\leg_1\F-GLTK_baro_2022-07-24_leg_1.csv
avion de location Valljet,F-GLTK,392E6A,2022-07-23,2022-07-23 15:20:00+00:00,2022-07-23 16:10:59.790000+00:00,Southampton Airport,Charles de Gaulle International Airport,51min,50.98,623.1,1.6,354.0,GB,FR,Southampton Airport - Charles de Gaulle International Airport,EGHI,LFPG,50.932272,-1.366445,48.968703,2.515272,440.0,286.0,output\F-GLTK\2022-07-23\leg_2\F-GLTK_baro_2022-07-23_leg_2.csv
avion de location Valljet,F-GLTK,392E6A,2022-07-23,2022-07-23 13:46:50.070000+00:00,2022-07-23 14:37:14.590000+00:00,Paris-Le Bourget Airport,Southampton Airport,50min,50.4,616.1,1.6,349.0,FR,GB,Paris-Le Bourget Airport - Southampton Airport,LFPB,EGHI,48.954467,2.380521,50.961833,-1.350857,587.0,30.0,output\F-GLTK\2022-07-23\leg_1\F-GLTK_baro_2022-07-23_leg_1.csv
avion de location Valljet,F-GLTK,392E6A,2022-07-20,2022-07-20 10:37:47.140000+00:00,2022-07-20 14:05:10.080000+00:00,Inverness Airport,Charles de Gaulle International Airport,3h27min,207.37,2534.8,6.5,1044.0,GB,FR,Inverness Airport - Charles de Gaulle International Airport,EGPE,LFPG,57.486029,-4.081298,48.969419,2.521406,853.0,362.0,output\F-GLTK\2022-07-20\leg_2\F-GLTK_baro_2022-07-20_leg_2.csv
avion de location Valljet,F-GLTK,392E6A,2022-07-20,2022-07-20 07:49:34.450000+00:00,2022-07-20 09:47:44.210000+00:00,Lorient South Brittany (Bretagne Sud) Airport,Inverness Airport,1h58min,118.15,1444.2,3.7,1076.0,FR,GB,Lorient South Brittany (Bretagne Sud) Airport - Inverness Airport,LFRH,EGPE,47.883734,-3.53459,57.546984,-3.917454,2390.0,507.0,output\F-GLTK\2022-07-20\leg_1\F-GLTK_baro_2022-07-20_leg_1_break_2.csv
