propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-GPGA,393CC0,2022-08-30,2022-08-30 17:18:01.290000+00:00,2022-08-30 17:50:01.750000+00:00,Toulouse-Blagnac Airport,Rochefort-Saint-Agnant (BA 721) Airport,32min,32.0,506.7,1.3,324.0,FR,FR,Toulouse-Blagnac Airport - Rochefort-Saint-Agnant (BA 721) Airport,LFBO,LFDN,43.625977,1.369459,46.048828,-0.905166,145.0,1394.0,output\F-GPGA\2022-08-30\leg_2\F-GPGA_baro_2022-08-30_leg_2.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-30,2022-08-30 13:28:24.180000+00:00,2022-08-30 14:26:15.020000+00:00,Paris-Le Bourget Airport,Toulouse-Blagnac Airport,58min,57.83,915.6,2.3,600.0,FR,FR,Paris-Le Bourget Airport - Toulouse-Blagnac Airport,LFPB,LFBO,48.965057,2.44481,43.619493,1.376168,66.0,137.0,output\F-GPGA\2022-08-30\leg_1\F-GPGA_baro_2022-08-30_leg_1.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-29,2022-08-29 14:33:29.850000+00:00,2022-08-29 15:53:34.371000+00:00,Toulon-Hyères Airport,Paris-Le Bourget Airport,1h20min,80.07,1267.8,3.3,714.0,FR,FR,Toulon-Hyères Airport - Paris-Le Bourget Airport,LFTH,LFPB,43.068455,6.097347,48.96254,2.415513,863.0,72.0,output\F-GPGA\2022-08-29\leg_4\F-GPGA_baro_2022-08-29_leg_4.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-29,2022-08-29 12:36:45.901000+00:00,2022-08-29 13:39:19.041000+00:00,Paris-Le Bourget Airport,Toulon-Hyères Airport,1h03min,62.55,990.4,2.5,718.0,FR,FR,Paris-Le Bourget Airport - Toulon-Hyères Airport,LFPB,LFTH,48.96518,2.449518,43.042525,6.167646,97.0,804.0,output\F-GPGA\2022-08-29\leg_3\F-GPGA_baro_2022-08-29_leg_3.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-29,2022-08-29 08:14:04.661000+00:00,2022-08-29 09:50:54.741000+00:00,Ibiza Airport,Paris-Le Bourget Airport,1h37min,96.83,1533.1,3.9,1124.0,ES,FR,Ibiza Airport - Paris-Le Bourget Airport,LEIB,LFPB,38.876129,1.381471,48.962952,2.416992,170.0,38.0,output\F-GPGA\2022-08-29\leg_2\F-GPGA_baro_2022-08-29_leg_2.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-29,2022-08-29 05:05:49.241000+00:00,2022-08-29 06:57:04.850000+00:00,Paris-Le Bourget Airport,Ibiza Airport,1h51min,111.25,1761.5,4.5,1126.0,FR,ES,Paris-Le Bourget Airport - Ibiza Airport,LFPB,LEIB,48.964854,2.442145,38.863724,1.351139,71.0,42.0,output\F-GPGA\2022-08-29\leg_1\F-GPGA_baro_2022-08-29_leg_1.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-28,2022-08-28 17:14:13.650000+00:00,2022-08-28 18:35:23.300000+00:00,Kerry Airport,Paris-Le Bourget Airport,1h21min,81.15,1284.9,3.3,916.0,IE,FR,Kerry Airport - Paris-Le Bourget Airport,EIKY,LFPB,52.186295,-9.501114,48.964005,2.421077,193.0,42.0,output\F-GPGA\2022-08-28\leg_4\F-GPGA_baro_2022-08-28_leg_4.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-28,2022-08-28 15:31:25.560000+00:00,2022-08-28 16:46:09.590000+00:00,London Luton Airport,Kerry Airport,1h15min,74.73,1183.2,3.0,632.0,GB,IE,London Luton Airport - Kerry Airport,EGGW,EIKY,51.873903,-0.37262,52.170441,-9.573879,76.0,110.0,output\F-GPGA\2022-08-28\leg_3\F-GPGA_baro_2022-08-28_leg_3.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-28,2022-08-28 12:07:17.310000+00:00,2022-08-28 14:05:44.710000+00:00,Girona Airport,London Luton Airport,1h58min,118.45,1875.5,4.8,1133.0,ES,GB,Girona Airport - London Luton Airport,LEGE,EGGW,41.910095,2.763956,51.873205,-0.376511,130.0,69.0,output\F-GPGA\2022-08-28\leg_2\F-GPGA_baro_2022-08-28_leg_2.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-28,2022-08-28 09:09:44.560000+00:00,2022-08-28 09:43:38.270000+00:00,Agen-La Garenne Airport,Girona Airport,34min,33.88,536.4,1.4,310.0,FR,ES,Agen-La Garenne Airport - Girona Airport,LFBA,LEGE,44.167413,0.551278,41.898102,2.759441,912.0,122.0,output\F-GPGA\2022-08-28\leg_1\F-GPGA_baro_2022-08-28_leg_1.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-27,2022-08-27 15:41:27.980000+00:00,2022-08-27 16:51:35.510000+00:00,Figari Sud-Corse Airport,Agen-La Garenne Airport,1h10min,70.12,1110.2,2.8,750.0,FR,FR,Figari Sud-Corse Airport - Agen-La Garenne Airport,LFKF,LFBA,41.466639,9.066276,44.134506,0.633949,1077.0,427.0,output\F-GPGA\2022-08-27\leg_4\F-GPGA_baro_2022-08-27_leg_4.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-27,2022-08-27 13:33:03+00:00,2022-08-27 15:06:50.910000+00:00,Paris-Le Bourget Airport,Figari Sud-Corse Airport,1h34min,93.78,1484.8,3.8,979.0,FR,FR,Paris-Le Bourget Airport - Figari Sud-Corse Airport,LFPB,LFKF,48.965332,2.448965,41.54306,9.178078,170.0,747.0,output\F-GPGA\2022-08-27\leg_3\F-GPGA_baro_2022-08-27_leg_3.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-27,2022-08-27 10:20:31.240000+00:00,2022-08-27 12:18:00.700000+00:00,Gdansk Lech Walesa Airport,Paris-Le Bourget Airport,1h57min,117.48,1860.1,4.8,1260.0,PL,FR,Gdansk Lech Walesa Airport - Paris-Le Bourget Airport,EPGD,LFPB,54.372641,18.486744,48.96262,2.415836,261.0,64.0,output\F-GPGA\2022-08-27\leg_2\F-GPGA_baro_2022-08-27_leg_2.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-27,2022-08-27 07:41:58.770000+00:00,2022-08-27 09:28:31.040000+00:00,Geneva Cointrin International Airport,Gdansk Lech Walesa Airport,1h47min,106.53,1686.7,4.3,1259.0,CH,PL,Geneva Cointrin International Airport - Gdansk Lech Walesa Airport,LSGG,EPGD,46.236053,6.105987,54.380695,18.453369,404.0,148.0,output\F-GPGA\2022-08-27\leg_1\F-GPGA_baro_2022-08-27_leg_1.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-26,2022-08-26 10:19:17.170000+00:00,2022-08-26 13:56:22.830000+00:00,Paphos International Airport,Geneva Cointrin International Airport,3h37min,217.08,3437.1,8.8,2556.0,CY,CH,Paphos International Airport - Geneva Cointrin International Airport,LCPH,LSGG,34.725677,32.455183,46.234268,6.103441,557.0,396.0,output\F-GPGA\2022-08-26\leg_2\F-GPGA_baro_2022-08-26_leg_2.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-26,2022-08-26 08:22:25.550000+00:00,2022-08-26 09:29:53.020000+00:00,Eleftherios Venizelos International Airport,Paphos International Airport,1h07min,67.45,1068.0,2.7,851.0,GR,CY,Eleftherios Venizelos International Airport - Paphos International Airport,LGAV,LCPH,37.952829,23.973482,34.693176,32.557535,863.0,396.0,output\F-GPGA\2022-08-26\leg_1\F-GPGA_baro_2022-08-26_leg_1.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-24,2022-08-24 19:13:24.990000+00:00,2022-08-24 22:32:39.120000+00:00,Farnborough Airport,Eleftherios Venizelos International Airport,3h19min,199.23,3154.5,8.1,2441.0,GB,GR,Farnborough Airport - Eleftherios Venizelos International Airport,EGLF,LGAV,51.278733,-0.767517,37.847076,23.870486,30.0,690.0,output\F-GPGA\2022-08-24\leg_2\F-GPGA_baro_2022-08-24_leg_2.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-24,2022-08-24 17:37:37.190000+00:00,2022-08-24 18:22:04.400000+00:00,Paris-Le Bourget Airport,Farnborough Airport,44min,44.45,703.8,1.8,346.0,FR,GB,Paris-Le Bourget Airport - Farnborough Airport,LFPB,EGLF,48.966158,2.458335,51.274543,-0.780106,183.0,23.0,output\F-GPGA\2022-08-24\leg_1\F-GPGA_baro_2022-08-24_leg_1.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-22,2022-08-22 12:25:42.690000+00:00,2022-08-22 13:43:15.540000+00:00,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h18min,77.53,1227.6,3.2,695.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.656143,7.215143,48.965149,2.447134,84.0,64.0,output\F-GPGA\2022-08-22\leg_2\F-GPGA_baro_2022-08-22_leg_2.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-22,2022-08-22 09:46:20.360000+00:00,2022-08-22 10:52:05.450000+00:00,Paris-Le Bourget Airport,Nice-Côte d'Azur Airport,1h06min,65.75,1041.0,2.7,696.0,FR,FR,Paris-Le Bourget Airport - Nice-Côte d'Azur Airport,LFPB,LFMN,48.96923,2.44041,43.64654,7.196764,117.0,106.0,output\F-GPGA\2022-08-22\leg_1\F-GPGA_baro_2022-08-22_leg_1.csv
avion de location Valljet,F-GPGA,393CC0,2022-08-20,2022-08-20 11:49:09.380000+00:00,2022-08-20 12:28:17.580000+00:00,Rouen Airport,Paris-Le Bourget Airport,39min,39.13,619.6,1.6,102.0,FR,FR,Rouen Airport - Paris-Le Bourget Airport,LFOP,LFPB,49.40712,1.205679,48.964668,2.438314,269.0,-4.0,output\F-GPGA\2022-08-20\leg_3\F-GPGA_baro_2022-08-20_leg_3.csv
