propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de Bernard Arnault,F-GVMA,395580,2022-07-29,2022-07-29 08:26:58.800000+00:00,2022-07-29 09:05:59.220000+00:00,Paris-Le Bourget Airport,London Biggin Hill Airport,39min,39.0,2.9,314.0,FR,GB,Paris-Le Bourget Airport - London Biggin Hill Airport,LFPB,EGKB,48.972473,2.452486,51.333153,0.034103,48.0,114.0,output\F-GVMA\2022-07-29\leg_1\F-GVMA_baro_2022-07-29_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-06-15,2022-06-15 14:43:50.976000+00:00,2022-06-15 15:32:11.076000+00:00,Oxford (Kidlington) Airport,Paris-Le Bourget Airport,48min,48.33,3.6,416.0,GB,FR,Oxford (Kidlington) Airport - Paris-Le Bourget Airport,EGTK,LFPB,51.833077,-1.321106,48.966856,2.431448,124.0,54.0,output\F-GVMA\2022-06-15\leg_2\F-GVMA_2022-06-15_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-06-15,2022-06-15 10:04:03.276000+00:00,2022-06-15 10:59:39.276000+00:00,Paris-Le Bourget Airport,Oxford (Kidlington) Airport,56min,55.6,4.2,417.0,FR,GB,Paris-Le Bourget Airport - Oxford (Kidlington) Airport,LFPB,EGTK,48.964142,2.428401,51.844437,-1.317691,120.0,108.0,output\F-GVMA\2022-06-15\leg_1\F-GVMA_2022-06-15_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-06-07,2022-06-07 14:55:00.640000+00:00,2022-06-07 15:44:02.940000+00:00,Farnborough Airport,Paris-Le Bourget Airport,49min,49.03,3.7,345.0,GB,FR,Farnborough Airport - Paris-Le Bourget Airport,EGLF,LFPB,51.277634,-0.77075,48.964668,2.438676,157.0,46.0,output\F-GVMA\2022-06-07\leg_2\F-GVMA_2022-06-07_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-06-07,2022-06-07 06:11:30.540000+00:00,2022-06-07 06:55:46.740000+00:00,Paris-Le Bourget Airport,Farnborough Airport,44min,44.27,3.3,345.0,FR,GB,Paris-Le Bourget Airport - Farnborough Airport,LFPB,EGLF,48.972396,2.452192,51.276312,-0.774689,140.0,68.0,output\F-GVMA\2022-06-07\leg_1\F-GVMA_2022-06-07_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-30,2022-05-30 06:12:36.737000+00:00,2022-05-30 07:20:24.837000+00:00,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h08min,67.8,5.1,695.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.659302,7.21987,48.966934,2.431711,149.0,54.0,output\F-GVMA\2022-05-30\leg_2\F-GVMA_2022-05-30_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-30,2022-05-30 04:13:14.037000+00:00,2022-05-30 05:13:56.737000+00:00,Paris-Le Bourget Airport,Nice-Côte d'Azur Airport,1h01min,60.7,4.6,696.0,FR,FR,Paris-Le Bourget Airport - Nice-Côte d'Azur Airport,LFPB,LFMN,48.964096,2.428401,43.643375,7.192514,46.0,104.0,output\F-GVMA\2022-05-30\leg_1\F-GVMA_2022-05-30_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-28,2022-05-28 14:13:07.700000+00:00,2022-05-28 15:24:22+00:00,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h11min,71.23,5.3,697.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.661682,7.265284,48.965739,2.427328,996.0,58.0,output\F-GVMA\2022-05-28\leg_4\F-GVMA_2022-05-28_leg_4.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-28,2022-05-28 12:04:34.300000+00:00,2022-05-28 13:06:18.600000+00:00,Paris-Le Bourget Airport,Nice-Côte d'Azur Airport,1h02min,61.73,4.6,696.0,FR,FR,Paris-Le Bourget Airport - Nice-Côte d'Azur Airport,LFPB,LFMN,48.964156,2.429424,43.631364,7.175773,107.0,188.0,output\F-GVMA\2022-05-28\leg_3\F-GVMA_2022-05-28_leg_3.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-28,2022-05-28 10:59:45.700000+00:00,2022-05-28 11:42:33.600000+00:00,London Stansted Airport,Paris-Le Bourget Airport,43min,42.78,3.2,360.0,GB,FR,London Stansted Airport - Paris-Le Bourget Airport,EGSS,LFPB,51.87886,0.225591,48.967182,2.432749,154.0,50.0,output\F-GVMA\2022-05-28\leg_2\F-GVMA_2022-05-28_leg_2.csv
