propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HBAN,39840D,2022-08-29,2022-08-29 18:39:13.578000+00:00,2022-08-29 19:37:42.038000+00:00,Toulon-Hyères Airport,Auxerre-Branches Airport,58min,58.47,1492.3,3.4,651.0,FR,FR,Toulon-Hyères Airport - Auxerre-Branches Airport,LFTH,LFLA,43.075104,6.116383,48.615234,3.384845,803.0,2141.0,output\F-HBAN\2022-08-29\leg_2\F-HBAN_baro_2022-08-29_leg_2.csv
avion de location Valljet,F-HBAN,39840D,2022-08-29,2022-08-29 14:37:03.198000+00:00,2022-08-29 17:50:29.528000+00:00,A/C in cruise,Toulon-Hyères Airport,3h13min,193.43,4937.0,11.4,1700.0,A/C in cruise,FR,A/C in cruise - Toulon-Hyères Airport,A/C in cruise,LFTH,32.500398,-7.738579,43.04892,6.328189,6589.0,1002.0,output\F-HBAN\2022-08-29\leg_1\F-HBAN_baro_2022-08-29_leg_1.csv
avion de location Valljet,F-HBAN,39840D,2022-08-28,2022-08-28 16:38:10.590000+00:00,2022-08-28 18:10:34.030000+00:00,Francisco de Sa Carneiro Airport,A/C in cruise,1h32min,92.38,2357.8,5.4,1025.0,PT,A/C in cruise,Francisco de Sa Carneiro Airport - A/C in cruise,LPPR,A/C in cruise,41.245834,-8.680664,32.049728,-7.660327,124.0,4572.0,output\F-HBAN\2022-08-28\leg_2\F-HBAN_baro_2022-08-28_leg_2.csv
avion de location Valljet,F-HBAN,39840D,2022-08-28,2022-08-28 14:57:04.750000+00:00,2022-08-28 15:41:12.170000+00:00,A/C in cruise,Francisco de Sa Carneiro Airport,44min,44.12,1126.1,2.6,463.0,A/C in cruise,PT,A/C in cruise - Francisco de Sa Carneiro Airport,A/C in cruise,LPPR,40.196228,-13.987968,41.233458,-8.677389,12499.0,103.0,output\F-HBAN\2022-08-28\leg_1\F-HBAN_baro_2022-08-28_leg_1_break_2.csv
avion de location Valljet,F-HBAN,39840D,2022-08-28,2022-08-28 10:03:24.040000+00:00,2022-08-28 11:30:47.720000+00:00,A/C in cruise,A/C in cruise,1h27min,87.38,2230.2,5.1,1117.0,A/C in cruise,A/C in cruise,A/C in cruise - A/C in cruise,A/C in cruise,A/C in cruise,33.331879,-15.526154,37.916107,-26.511588,12192.0,10752.0,output\F-HBAN\2022-08-28\leg_1\F-HBAN_baro_2022-08-28_leg_1_break_1.csv
avion de location Valljet,F-HBAN,39840D,2022-08-26,2022-08-26 12:19:40.730000+00:00,2022-08-26 14:43:11.440000+00:00,Propriano Airport,A/C in cruise,2h24min,143.5,3662.6,8.4,1761.0,FR,A/C in cruise,Propriano Airport - A/C in cruise,LFKO,A/C in cruise,41.413104,8.581153,31.966782,-7.318597,4262.0,3562.0,output\F-HBAN\2022-08-26\leg_3\F-HBAN_baro_2022-08-26_leg_3.csv
avion de location Valljet,F-HBAN,39840D,2022-08-26,2022-08-26 11:04:13.620000+00:00,2022-08-26 11:28:59.320000+00:00,Toulon-Hyères Airport,Propriano Airport,25min,24.75,631.7,1.5,270.0,FR,FR,Toulon-Hyères Airport - Propriano Airport,LFTH,LFKO,43.059842,6.220747,41.645539,8.886854,1489.0,3528.0,output\F-HBAN\2022-08-26\leg_2\F-HBAN_baro_2022-08-26_leg_2.csv
avion de location Valljet,F-HBAN,39840D,2022-08-26,2022-08-26 08:37:19.740000+00:00,2022-08-26 08:55:44.870000+00:00,Marseille Provence Airport,Toulon-Hyères Airport,18min,18.42,470.1,1.1,85.0,FR,FR,Marseille Provence Airport - Toulon-Hyères Airport,LFML,LFTH,43.461731,5.178904,43.047506,6.061053,627.0,544.0,output\F-HBAN\2022-08-26\leg_1\F-HBAN_baro_2022-08-26_leg_1.csv
avion de location Valljet,F-HBAN,39840D,2022-08-25,2022-08-25 14:21:09.940000+00:00,2022-08-25 17:59:44.280000+00:00,A/C in cruise,Marseille Provence Airport,3h39min,218.57,5578.6,12.9,2780.0,A/C in cruise,FR,A/C in cruise - Marseille Provence Airport,A/C in cruise,LFML,27.933298,29.662875,43.407761,5.256255,12192.0,305.0,output\F-HBAN\2022-08-25\leg_1\F-HBAN_baro_2022-08-25_leg_1.csv
avion de location Valljet,F-HBAN,39840D,2022-08-24,2022-08-24 11:40:17.580000+00:00,2022-08-24 14:54:45.840000+00:00,Paris-Le Bourget Airport,A/C in cruise,3h14min,194.47,4963.5,11.4,2492.0,FR,A/C in cruise,Paris-Le Bourget Airport - A/C in cruise,LFPB,A/C in cruise,48.974863,2.461154,33.744553,24.618904,158.0,12497.0,output\F-HBAN\2022-08-24\leg_1\F-HBAN_baro_2022-08-24_leg_1.csv
avion de location Valljet,F-HBAN,39840D,2022-08-23,2022-08-23 13:09:42.590000+00:00,2022-08-23 15:20:14.960000+00:00,Faro Airport,Paris-Le Bourget Airport,2h11min,130.53,3331.6,7.7,1573.0,PT,FR,Faro Airport - Paris-Le Bourget Airport,LPFR,LFPB,37.013219,-7.957087,48.965286,2.449388,115.0,58.0,output\F-HBAN\2022-08-23\leg_2\F-HBAN_baro_2022-08-23_leg_2.csv
avion de location Valljet,F-HBAN,39840D,2022-08-23,2022-08-23 09:30:27.680000+00:00,2022-08-23 11:45:42.130000+00:00,Paris-Le Bourget Airport,Faro Airport,2h15min,135.23,3451.5,8.0,1572.0,FR,PT,Paris-Le Bourget Airport - Faro Airport,LFPB,LPFR,48.964096,2.420936,37.016327,-7.979405,147.0,-8.0,output\F-HBAN\2022-08-23\leg_1\F-HBAN_baro_2022-08-23_leg_1.csv
avion de location Valljet,F-HBAN,39840D,2022-08-22,2022-08-22 15:50:55.020000+00:00,2022-08-22 17:31:30.660000+00:00,Olbia Costa Smeralda Airport,Paris-Le Bourget Airport,1h41min,100.58,2567.1,5.9,1051.0,IT,FR,Olbia Costa Smeralda Airport - Paris-Le Bourget Airport,LIEO,LFPB,40.98608,9.639254,48.965286,2.449669,2060.0,76.0,output\F-HBAN\2022-08-22\leg_4\F-HBAN_baro_2022-08-22_leg_4.csv
avion de location Valljet,F-HBAN,39840D,2022-08-22,2022-08-22 14:13:52.220000+00:00,2022-08-22 15:01:51.560000+00:00,Firenze-Peretola Airport,Olbia Costa Smeralda Airport,48min,47.98,1224.6,2.8,353.0,IT,IT,Firenze-Peretola Airport - Olbia Costa Smeralda Airport,LIRQ,LIEO,43.803497,11.195004,40.889465,9.500122,140.0,118.0,output\F-HBAN\2022-08-22\leg_3\F-HBAN_baro_2022-08-22_leg_3.csv
avion de location Valljet,F-HBAN,39840D,2022-08-22,2022-08-22 11:41:42.780000+00:00,2022-08-22 13:12:19.920000+00:00,Amsterdam Airport Schiphol,Firenze-Peretola Airport,1h31min,90.62,2312.9,5.3,1058.0,NL,IT,Amsterdam Airport Schiphol - Firenze-Peretola Airport,EHAM,LIRQ,52.308517,4.795151,43.804445,11.196442,-20.0,103.0,output\F-HBAN\2022-08-22\leg_2\F-HBAN_baro_2022-08-22_leg_2.csv
avion de location Valljet,F-HBAN,39840D,2022-08-22,2022-08-22 09:43:05.720000+00:00,2022-08-22 10:32:57.340000+00:00,Paris-Le Bourget Airport,Amsterdam Airport Schiphol,50min,49.85,1272.3,2.9,408.0,FR,NL,Paris-Le Bourget Airport - Amsterdam Airport Schiphol,LFPB,EHAM,48.96579,2.427486,52.309353,4.796317,132.0,-30.0,output\F-HBAN\2022-08-22\leg_1\F-HBAN_baro_2022-08-22_leg_1.csv
avion de location Valljet,F-HBAN,39840D,2022-08-19,2022-08-19 14:24:42.860000+00:00,2022-08-19 15:35:02.550000+00:00,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h10min,70.32,1794.8,4.1,695.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.667679,7.241332,48.965424,2.450585,528.0,54.0,output\F-HBAN\2022-08-19\leg_3\F-HBAN_baro_2022-08-19_leg_3.csv
avion de location Valljet,F-HBAN,39840D,2022-08-19,2022-08-19 11:45:30.850000+00:00,2022-08-19 13:21:12.580000+00:00,Amsterdam Airport Schiphol,Nice-Côte d'Azur Airport,1h36min,95.68,2442.1,5.6,980.0,NL,FR,Amsterdam Airport Schiphol - Nice-Côte d'Azur Airport,EHAM,LFMN,52.304419,4.789333,43.632706,7.177905,5.0,217.0,output\F-HBAN\2022-08-19\leg_2\F-HBAN_baro_2022-08-19_leg_2.csv
avion de location Valljet,F-HBAN,39840D,2022-08-19,2022-08-19 06:05:45.670000+00:00,2022-08-19 08:25:39.610000+00:00,Ibiza Airport,Amsterdam Airport Schiphol,2h20min,139.88,3570.2,8.2,1520.0,ES,NL,Ibiza Airport - Amsterdam Airport Schiphol,LEIB,EHAM,38.846146,1.303432,52.307373,4.793472,808.0,-12.0,output\F-HBAN\2022-08-19\leg_1\F-HBAN_baro_2022-08-19_leg_1.csv
