propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HBZA,398720,2022-09-08,2022-09-08 08:19:49,2022-09-08 08:57:49,Merville-Calonne Airport,Blois le Breuil Airport,38min,38.0,464.5,1.2,296.0,FR,FR,Merville-Calonne Airport - Blois le Breuil Airport,LFQT,LFOQ,50.308358,2.401566,47.726032,1.444728,3190.0,1254.0,output\F-HBZA\2022-09-08\leg_1\F-HBZA_baro_2022-09-08_leg_1.csv
avion de location Valljet,F-HBZA,398720,2022-09-07,2022-09-07 15:10:12,2022-09-07 17:04:51,Poznan-Lawica Airport,Valenciennes-Denain Airport,1h55min,114.63,1401.2,3.6,981.0,PL,FR,Poznan-Lawica Airport - Valenciennes-Denain Airport,EPPO,LFAV,52.414774,16.858147,50.148436,3.247532,567.0,1741.0,output\F-HBZA\2022-09-07\leg_1\F-HBZA_baro_2022-09-07_leg_1.csv
avion de location Valljet,F-HBZA,398720,2022-09-06,2022-09-06 05:30:12,2022-09-06 07:03:37,Merville-Calonne Airport,Poznan-Lawica Airport,1h33min,93.42,1141.9,2.9,997.0,FR,PL,Merville-Calonne Airport - Poznan-Lawica Airport,LFQT,EPPO,50.591356,2.710205,52.428471,16.78857,1941.0,99.0,output\F-HBZA\2022-09-06\leg_1\F-HBZA_baro_2022-09-06_leg_1.csv
avion de location Valljet,F-HBZA,398720,2022-09-05,2022-09-05 16:56:12,2022-09-05 17:40:10,Lorient South Brittany (Bretagne Sud) Airport,Paris Beauvais Tille Airport,44min,43.97,537.5,1.4,466.0,FR,FR,Lorient South Brittany (Bretagne Sud) Airport - Paris Beauvais Tille Airport,LFRH,LFOB,47.821868,-3.470498,49.809166,2.124608,2751.0,1219.0,output\F-HBZA\2022-09-05\leg_4\F-HBZA_baro_2022-09-05_leg_4.csv
avion de location Valljet,F-HBZA,398720,2022-09-05,2022-09-05 13:12:39,2022-09-05 15:16:20,Inverness Airport,Lorient South Brittany (Bretagne Sud) Airport,2h04min,123.67,1511.7,3.9,1071.0,GB,FR,Inverness Airport - Lorient South Brittany (Bretagne Sud) Airport,EGPE,LFRH,57.553721,-3.94999,47.945679,-3.103067,924.0,1272.0,output\F-HBZA\2022-09-05\leg_3\F-HBZA_baro_2022-09-05_leg_3.csv
avion de location Valljet,F-HBZA,398720,2022-09-05,2022-09-05 08:41:27,2022-09-05 10:21:09,Lorient South Brittany (Bretagne Sud) Airport,Inverness Airport,1h40min,99.7,1218.7,3.1,1064.0,FR,GB,Lorient South Brittany (Bretagne Sud) Airport - Inverness Airport,LFRH,EGPE,47.89432,-3.486848,57.445024,-4.27634,2395.0,838.0,output\F-HBZA\2022-09-05\leg_2\F-HBZA_baro_2022-09-05_leg_2.csv
avion de location Valljet,F-HBZA,398720,2022-09-05,2022-09-05 07:00:16,2022-09-05 07:52:49,Charles de Gaulle International Airport,Vannes-Meucon Airport,53min,52.53,642.1,1.6,428.0,FR,FR,Charles de Gaulle International Airport - Vannes-Meucon Airport,LFPG,LFRV,48.967488,2.508099,47.859235,-3.024506,699.0,1021.0,output\F-HBZA\2022-09-05\leg_1\F-HBZA_baro_2022-09-05_leg_1.csv
avion de location Valljet,F-HBZA,398720,2022-08-29,2022-08-29 13:07:24,2022-08-29 13:57:44,Lorient South Brittany (Bretagne Sud) Airport,Paris-Le Bourget Airport,50min,50.32,615.1,1.6,444.0,FR,FR,Lorient South Brittany (Bretagne Sud) Airport - Paris-Le Bourget Airport,LFRH,LFPB,47.648317,-3.277182,48.952594,2.376648,2835.0,229.0,output\F-HBZA\2022-08-29\leg_4\F-HBZA_baro_2022-08-29_leg_4.csv
avion de location Valljet,F-HBZA,398720,2022-08-29,2022-08-29 10:39:13,2022-08-29 12:26:35,Inverness Airport,Lorient South Brittany (Bretagne Sud) Airport,1h47min,107.37,1312.4,3.4,1069.0,GB,FR,Inverness Airport - Lorient South Brittany (Bretagne Sud) Airport,EGPE,LFRH,57.577311,-3.966282,47.978368,-3.552862,909.0,1452.0,output\F-HBZA\2022-08-29\leg_3\F-HBZA_baro_2022-08-29_leg_3.csv
avion de location Valljet,F-HBZA,398720,2022-08-29,2022-08-29 07:52:49,2022-08-29 09:38:26,Lorient South Brittany (Bretagne Sud) Airport,Inverness Airport,1h46min,105.62,1291.0,3.3,1058.0,FR,GB,Lorient South Brittany (Bretagne Sud) Airport - Inverness Airport,LFRH,EGPE,47.960411,-3.464547,57.453825,-4.239182,2118.0,1024.0,output\F-HBZA\2022-08-29\leg_2\F-HBZA_baro_2022-08-29_leg_2.csv
