propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HELA,399160,2021-11-26,2021-11-26 18:24:38.700000+00:00,2021-11-26 19:04:09.900000+00:00,Rennes-Saint-Jacques Airport,Lille-Lesquin Airport,40min,39.52,1008.7,2.6,457.0,FR,FR,Rennes-Saint-Jacques Airport - Lille-Lesquin Airport,LFRN,LFQQ,48.129027,-1.807809,50.583224,3.238707,2474.0,762.0,output\F-HELA\2021-11-26\leg_3\F-HELA_baro_2021-11-26_leg_3.csv
avion de location Valljet,F-HELA,399160,2021-11-26,2021-11-26 17:11:21.400000+00:00,2021-11-26 17:26:25.700000+00:00,Jersey Airport,Rennes-Saint-Jacques Airport,15min,15.07,384.6,1.0,138.0,JE,FR,Jersey Airport - Rennes-Saint-Jacques Airport,EGJJ,LFRN,49.201829,-2.229314,48.083697,-1.418481,642.0,1097.0,output\F-HELA\2021-11-26\leg_2\F-HELA_baro_2021-11-26_leg_2.csv
avion de location Valljet,F-HELA,399160,2021-11-26,2021-11-26 14:37:39.700000+00:00,2021-11-26 16:02:18.200000+00:00,Le Castellet Airport,Jersey Airport,1h25min,84.63,2160.0,5.5,785.0,FR,JE,Le Castellet Airport - Jersey Airport,LFMQ,EGJJ,43.988441,4.739928,49.211698,-2.177041,6454.0,274.0,output\F-HELA\2021-11-26\leg_1\F-HELA_baro_2021-11-26_leg_1.csv
avion de location Valljet,F-HELA,399160,2021-11-19,2021-11-19 11:10:08.942000+00:00,2021-11-19 11:38:36.543000+00:00,Turin Airport,Le Castellet Airport,28min,28.45,726.1,1.9,282.0,IT,FR,Turin Airport - Le Castellet Airport,LIMF,LFMQ,45.252675,7.729737,43.196876,5.658406,2540.0,3376.0,output\F-HELA\2021-11-19\leg_2\F-HELA_baro_2021-11-19_leg_2.csv
avion de location Valljet,F-HELA,399160,2021-11-19,2021-11-19 08:57:07.442000+00:00,2021-11-19 10:13:53.243000+00:00,Braunschweig-Wolfsburg Airport,Turin Airport,1h17min,76.75,1958.9,5.0,822.0,DE,IT,Braunschweig-Wolfsburg Airport - Turin Airport,EDVE,LIMF,52.318461,10.502113,45.167389,7.648332,701.0,412.0,output\F-HELA\2021-11-19\leg_1\F-HELA_baro_2021-11-19_leg_1.csv
avion de location Valljet,F-HELA,399160,2021-11-17,2021-11-17 14:59:33.330000+00:00,2021-11-17 16:18:15.131000+00:00,Turin Airport,Braunschweig-Wolfsburg Airport,1h19min,78.68,2008.2,5.2,814.0,IT,DE,Turin Airport - Braunschweig-Wolfsburg Airport,LIMF,EDVE,45.24737,7.745683,52.32154,10.586299,2129.0,114.0,output\F-HELA\2021-11-17\leg_2\F-HELA_baro_2021-11-17_leg_2.csv
avion de location Valljet,F-HELA,399160,2021-11-17,2021-11-17 13:03:24.830000+00:00,2021-11-17 13:31:03.631000+00:00,A/C in cruise,Turin Airport,28min,27.63,705.2,1.8,222.0,A/C in cruise,IT,A/C in cruise - Turin Airport,A/C in cruise,LIMF,43.434831,6.069489,45.087828,7.64079,6546.0,872.0,output\F-HELA\2021-11-17\leg_1\F-HELA_baro_2021-11-17_leg_1.csv
avion de location Valljet,F-HELA,399160,2021-11-06,2021-11-06 23:18:51.217000+00:00,2021-11-06 23:41:37.217000+00:00,Toulouse-Blagnac Airport,A/C in cruise,23min,22.77,581.2,1.5,217.0,FR,A/C in cruise,Toulouse-Blagnac Airport - A/C in cruise,LFBO,A/C in cruise,43.654167,1.347679,43.658885,4.031934,790.0,5044.0,output\F-HELA\2021-11-06\leg_4\F-HELA_baro_2021-11-06_leg_4.csv
avion de location Valljet,F-HELA,399160,2021-11-06,2021-11-06 21:41:58.817000+00:00,2021-11-06 22:37:39.517000+00:00,Rouen Airport,Toulouse-Blagnac Airport,56min,55.67,1420.9,3.6,633.0,FR,FR,Rouen Airport - Toulouse-Blagnac Airport,LFOP,LFBO,49.309724,1.093542,43.617643,1.371206,1404.0,60.0,output\F-HELA\2021-11-06\leg_3\F-HELA_baro_2021-11-06_leg_3.csv
avion de location Valljet,F-HELA,399160,2021-11-06,2021-11-06 09:28:06.917000+00:00,2021-11-06 10:28:52.217000+00:00,Toulouse-Blagnac Airport,Rouen Airport,1h01min,60.75,1550.5,4.0,629.0,FR,FR,Toulouse-Blagnac Airport - Rouen Airport,LFBO,LFOP,43.644251,1.348995,49.300262,1.199599,520.0,1223.0,output\F-HELA\2021-11-06\leg_2\F-HELA_baro_2021-11-06_leg_2.csv
