propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HEME,399184,2022-09-03,2022-09-03 09:00:11.157000+00:00,2022-09-03 10:12:01.947000+00:00,Nantes Atlantique Airport,Nice-Côte d'Azur Airport,1h12min,71.83,1137.3,2.9,792.0,FR,FR,Nantes Atlantique Airport - Nice-Côte d'Azur Airport,LFRS,LFMN,47.142241,-1.619638,43.654312,7.207478,241.0,-4.0,output\F-HEME\2022-09-03\leg_1\F-HEME_baro_2022-09-03_leg_1.csv
avion de location Valljet,F-HEME,399184,2022-09-02,2022-09-02 14:02:04.540000+00:00,2022-09-02 14:58:52.880000+00:00,Brussels Airport,Nantes Atlantique Airport,57min,56.8,899.3,2.3,608.0,BE,FR,Brussels Airport - Nantes Atlantique Airport,EBBR,LFRS,50.892197,4.494151,47.167145,-1.600021,74.0,72.0,output\F-HEME\2022-09-02\leg_1\F-HEME_baro_2022-09-02_leg_1.csv
avion de location Valljet,F-HEME,399184,2022-09-01,2022-09-01 14:34:43.470000+00:00,2022-09-01 15:12:52.820000+00:00,Paris-Le Bourget Airport,Brussels Airport,38min,38.15,604.0,1.6,260.0,FR,BE,Paris-Le Bourget Airport - Brussels Airport,LFPB,EBBR,48.96492,2.44143,50.904081,4.473572,135.0,-15.0,output\F-HEME\2022-09-01\leg_3\F-HEME_baro_2022-09-01_leg_3.csv
avion de location Valljet,F-HEME,399184,2022-09-01,2022-09-01 10:07:10.630000+00:00,2022-09-01 11:32:00.900000+00:00,Salzburg Airport,Paris-Le Bourget Airport,1h25min,84.83,1343.1,3.4,794.0,AT,FR,Salzburg Airport - Paris-Le Bourget Airport,LOWS,LFPB,47.794577,13.003164,48.963132,2.417643,414.0,65.0,output\F-HEME\2022-09-01\leg_2\F-HEME_baro_2022-09-01_leg_2.csv
avion de location Valljet,F-HEME,399184,2022-09-01,2022-09-01 08:08:56.550000+00:00,2022-09-01 09:16:58.660000+00:00,Brussels Airport,Salzburg Airport,1h08min,68.03,1077.1,2.8,703.0,BE,AT,Brussels Airport - Salzburg Airport,EBBR,LOWS,50.891558,4.491272,47.840744,12.973961,-13.0,838.0,output\F-HEME\2022-09-01\leg_1\F-HEME_baro_2022-09-01_leg_1.csv
avion de location Valljet,F-HEME,399184,2022-08-31,2022-08-31 11:19:40.171000+00:00,2022-08-31 12:24:46.251000+00:00,Geneva Cointrin International Airport,Brussels Airport,1h05min,65.1,1030.7,2.6,531.0,CH,BE,Geneva Cointrin International Airport - Brussels Airport,LSGG,EBBR,46.235641,6.105384,50.894348,4.494447,373.0,-16.0,output\F-HEME\2022-08-31\leg_2\F-HEME_baro_2022-08-31_leg_2.csv
avion de location Valljet,F-HEME,399184,2022-08-31,2022-08-31 09:09:52.481000+00:00,2022-08-31 09:51:03.201000+00:00,Nice-Côte d'Azur Airport,Geneva Cointrin International Airport,41min,41.17,651.9,1.7,299.0,FR,CH,Nice-Côte d'Azur Airport - Geneva Cointrin International Airport,LFMN,LSGG,43.662787,7.224819,46.233994,6.102972,124.0,366.0,output\F-HEME\2022-08-31\leg_1\F-HEME_baro_2022-08-31_leg_1.csv
avion de location Valljet,F-HEME,399184,2022-08-30,2022-08-30 10:31:16.330000+00:00,2022-08-30 14:28:52.290000+00:00,Beirut Rafic Hariri International Airport,Nice-Côte d'Azur Airport,3h58min,237.58,3761.7,9.7,2672.0,LB,FR,Beirut Rafic Hariri International Airport - Nice-Côte d'Azur Airport,OLBA,LFMN,33.809214,35.488873,43.674239,7.234759,246.0,80.0,output\F-HEME\2022-08-30\leg_2\F-HEME_baro_2022-08-30_leg_2.csv
avion de location Valljet,F-HEME,399184,2022-08-30,2022-08-30 06:16:16.020000+00:00,2022-08-30 09:48:08.560000+00:00,Nice-Côte d'Azur Airport,Beirut Rafic Hariri International Airport,3h32min,211.87,3354.6,8.6,2671.0,FR,LB,Nice-Côte d'Azur Airport - Beirut Rafic Hariri International Airport,LFMN,OLBA,43.650787,7.208053,33.84375,35.477824,-38.0,72.0,output\F-HEME\2022-08-30\leg_1\F-HEME_baro_2022-08-30_leg_1.csv
avion de location Valljet,F-HEME,399184,2022-08-29,2022-08-29 14:24:34.302000+00:00,2022-08-29 14:58:50.282000+00:00,Figari Sud-Corse Airport,Nice-Côte d'Azur Airport,34min,34.25,542.3,1.4,290.0,FR,FR,Figari Sud-Corse Airport - Nice-Côte d'Azur Airport,LFKF,LFMN,41.440567,9.056792,43.684708,7.252126,1437.0,152.0,output\F-HEME\2022-08-29\leg_2\F-HEME_baro_2022-08-29_leg_2.csv
