propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HEMI,399188,2022-09-30,2022-09-30 17:21:04,2022-09-30 18:24:22,Paderborn Lippstadt Airport,Paris-Le Bourget Airport,1h03min,63.3,561.3,1.4,529.0,DE,FR,Paderborn Lippstadt Airport - Paris-Le Bourget Airport,EDLP,LFPB,51.614654,8.617783,48.964966,2.444528,256.0,84.0,output\F-HEMI\2022-09-30\leg_3\F-HEMI_baro_2022-09-30_leg_3.csv
avion de location Valljet,F-HEMI,399188,2022-09-30,2022-09-30 13:29:16,2022-09-30 15:15:04,Cannes-Mandelieu Airport,Paderborn Lippstadt Airport,1h46min,105.78,937.9,2.4,905.0,FR,DE,Cannes-Mandelieu Airport - Paderborn Lippstadt Airport,LFMD,EDLP,43.545044,6.951344,51.610428,8.617809,89.0,244.0,output\F-HEMI\2022-09-30\leg_2\F-HEMI_baro_2022-09-30_leg_2.csv
avion de location Valljet,F-HEMI,399188,2022-09-30,2022-09-30 09:30:03,2022-09-30 10:37:28,Paris-Le Bourget Airport,Cannes-Mandelieu Airport,1h07min,67.42,597.8,1.5,696.0,FR,FR,Paris-Le Bourget Airport - Cannes-Mandelieu Airport,LFPB,LFMD,48.954938,2.394152,43.544403,6.951471,711.0,61.0,output\F-HEMI\2022-09-30\leg_1\F-HEMI_baro_2022-09-30_leg_1.csv
avion de location Valljet,F-HEMI,399188,2022-09-23,2022-09-23 17:48:49,2022-09-23 18:39:27,Geneva Cointrin International Airport,Paris-Le Bourget Airport,51min,50.63,448.9,1.2,411.0,CH,FR,Geneva Cointrin International Airport - Paris-Le Bourget Airport,LSGG,LFPB,46.23436,6.103575,48.963458,2.418944,399.0,69.0,output\F-HEMI\2022-09-23\leg_4\F-HEMI_baro_2022-09-23_leg_4.csv
avion de location Valljet,F-HEMI,399188,2022-09-23,2022-09-23 15:02:19,2022-09-23 16:34:53,London City Airport,Geneva Cointrin International Airport,1h33min,92.57,820.8,2.1,734.0,GB,CH,London City Airport - Geneva Cointrin International Airport,EGLC,LSGG,51.505256,0.053482,46.236614,6.098854,25.0,396.0,output\F-HEMI\2022-09-23\leg_3\F-HEMI_baro_2022-09-23_leg_3.csv
avion de location Valljet,F-HEMI,399188,2022-09-23,2022-09-23 08:19:30,2022-09-23 09:35:10,Karlsruhe Baden-Baden Airport,London City Airport,1h16min,75.67,670.9,1.7,649.0,DE,GB,Karlsruhe Baden-Baden Airport - London City Airport,EDSB,EGLC,48.782183,8.083119,51.504959,0.040308,122.0,-15.0,output\F-HEMI\2022-09-23\leg_2\F-HEMI_baro_2022-09-23_leg_2.csv
avion de location Valljet,F-HEMI,399188,2022-09-23,2022-09-23 06:23:52,2022-09-23 07:06:16,Paris-Le Bourget Airport,Karlsruhe Baden-Baden Airport,42min,42.38,375.8,1.0,415.0,FR,DE,Paris-Le Bourget Airport - Karlsruhe Baden-Baden Airport,LFPB,EDSB,48.964482,2.436291,48.789678,8.090202,69.0,99.0,output\F-HEMI\2022-09-23\leg_1\F-HEMI_baro_2022-09-23_leg_1.csv
avion de location Valljet,F-HEMI,399188,2022-09-22,2022-09-22 17:24:07,2022-09-22 18:20:05,Sion Airport,Paris-Le Bourget Airport,56min,55.95,496.1,1.3,475.0,CH,FR,Sion Airport - Paris-Le Bourget Airport,LSGS,LFPB,46.172046,7.203392,48.964005,2.420936,2934.0,34.0,output\F-HEMI\2022-09-22\leg_2\F-HEMI_baro_2022-09-22_leg_2.csv
avion de location Valljet,F-HEMI,399188,2022-09-22,2022-09-22 06:49:14,2022-09-22 07:49:39,Paris-Le Bourget Airport,Sion Airport,1h00min,60.4,535.5,1.4,486.0,FR,CH,Paris-Le Bourget Airport - Sion Airport,LFPB,LSGS,48.964783,2.442134,46.290436,7.552833,46.0,2008.0,output\F-HEMI\2022-09-22\leg_1\F-HEMI_baro_2022-09-22_leg_1.csv
avion de location Valljet,F-HEMI,399188,2022-09-21,2022-09-21 11:57:09,2022-09-21 12:55:03,Grenoble-Isère Airport,Paris-Le Bourget Airport,58min,57.9,513.4,1.3,458.0,FR,FR,Grenoble-Isère Airport - Paris-Le Bourget Airport,LFLS,LFPB,45.363061,5.350275,48.963181,2.417978,988.0,-4.0,output\F-HEMI\2022-09-21\leg_3\F-HEMI_baro_2022-09-21_leg_3.csv
avion de location Valljet,F-HEMI,399188,2022-09-21,2022-09-21 09:19:46,2022-09-21 11:18:06,Edinburgh Airport,Grenoble-Isère Airport,1h58min,118.32,1049.1,2.7,1323.0,GB,FR,Edinburgh Airport - Grenoble-Isère Airport,EGPH,LFLS,55.95195,-3.366727,45.363154,5.230363,-35.0,739.0,output\F-HEMI\2022-09-21\leg_2\F-HEMI_baro_2022-09-21_leg_2.csv
avion de location Valljet,F-HEMI,399188,2022-09-21,2022-09-21 06:57:23,2022-09-21 07:59:06,London City Airport,Edinburgh Airport,1h02min,61.72,547.3,1.4,544.0,GB,GB,London City Airport - Edinburgh Airport,EGLC,EGPH,51.505234,0.055006,55.95195,-3.366644,-94.0,-46.0,output\F-HEMI\2022-09-21\leg_1\F-HEMI_baro_2022-09-21_leg_1.csv
avion de location Valljet,F-HEMI,399188,2022-09-19,2022-09-19 18:10:14,2022-09-19 19:32:15,Geneva Cointrin International Airport,London City Airport,1h22min,82.02,727.2,1.9,734.0,CH,GB,Geneva Cointrin International Airport - London City Airport,LSGG,EGLC,46.237498,6.108192,51.505096,0.058792,368.0,-84.0,output\F-HEMI\2022-09-19\leg_3\F-HEMI_baro_2022-09-19_leg_3.csv
avion de location Valljet,F-HEMI,399188,2022-09-19,2022-09-19 16:52:06,2022-09-19 17:20:55,Milan Malpensa International Airport,Geneva Cointrin International Airport,29min,28.82,255.5,0.7,215.0,IT,CH,Milan Malpensa International Airport - Geneva Cointrin International Airport,LIMC,LSGG,45.620681,8.725548,46.229538,6.096382,262.0,373.0,output\F-HEMI\2022-09-19\leg_2\F-HEMI_baro_2022-09-19_leg_2.csv
avion de location Valljet,F-HEMI,399188,2022-09-19,2022-09-19 14:10:46,2022-09-19 15:24:30,Paris-Le Bourget Airport,Milan Malpensa International Airport,1h14min,73.73,653.7,1.7,605.0,FR,IT,Paris-Le Bourget Airport - Milan Malpensa International Airport,LFPB,LIMC,48.969509,2.441278,45.614955,8.737633,48.0,244.0,output\F-HEMI\2022-09-19\leg_1\F-HEMI_baro_2022-09-19_leg_1.csv
avion de location Valljet,F-HEMI,399188,2022-09-18,2022-09-18 19:18:31,2022-09-18 20:10:02,Ancenis Airport,Paris-Le Bourget Airport,52min,51.52,456.8,1.2,319.0,FR,FR,Ancenis Airport - Paris-Le Bourget Airport,LFFI,LFPB,47.409451,-1.165185,48.965133,2.447349,183.0,12.0,output\F-HEMI\2022-09-18\leg_2\F-HEMI_baro_2022-09-18_leg_2.csv
avion de location Valljet,F-HEMI,399188,2022-09-18,2022-09-18 12:06:53,2022-09-18 12:47:12,Paris-Le Bourget Airport,Ancenis Airport,40min,40.3,357.3,0.9,324.0,FR,FR,Paris-Le Bourget Airport - Ancenis Airport,LFPB,LFFI,48.971283,2.44805,47.397068,-1.217158,23.0,118.0,output\F-HEMI\2022-09-18\leg_1\F-HEMI_baro_2022-09-18_leg_1.csv
avion de location Valljet,F-HEMI,399188,2022-09-17,2022-09-17 09:01:29,2022-09-17 11:22:06,Naples International Airport,Paris-Le Bourget Airport,2h21min,140.62,1246.8,3.2,1293.0,IT,FR,Naples International Airport - Paris-Le Bourget Airport,LIRN,LFPB,40.886902,14.292664,48.96518,2.448361,183.0,8.0,output\F-HEMI\2022-09-17\leg_2\F-HEMI_baro_2022-09-17_leg_2.csv
avion de location Valljet,F-HEMI,399188,2022-09-17,2022-09-17 06:01:15,2022-09-17 07:51:09,Paris-Le Bourget Airport,Naples International Airport,1h50min,109.9,974.4,2.5,1295.0,FR,IT,Paris-Le Bourget Airport - Naples International Airport,LFPB,LIRN,48.970254,2.444313,40.902328,14.325562,28.0,290.0,output\F-HEMI\2022-09-17\leg_1\F-HEMI_baro_2022-09-17_leg_1.csv
avion de location Valljet,F-HEMI,399188,2022-09-15,2022-09-15 16:57:27,2022-09-15 17:47:14,London Biggin Hill Airport,Paris-Le Bourget Airport,50min,49.78,441.4,1.1,315.0,GB,FR,London Biggin Hill Airport - Paris-Le Bourget Airport,EGKB,LFPB,51.330276,0.03192,48.965133,2.44706,226.0,80.0,output\F-HEMI\2022-09-15\leg_4\F-HEMI_baro_2022-09-15_leg_4.csv
