propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe Pinault,F-HFHP,3994ef,2022-08-21,2022-08-21 16:03:17.190000+00:00,2022-08-21 23:56:12.760000+00:00,Argyle International Airport,Los Angeles International Airport,7h53min,472.92,35.5,6194.0,VC,US,Argyle International Airport - Los Angeles International Airport,TVSA,KLAX,13.186523,-61.136596,33.933323,-118.397427,559.0,15.0,output\F-HFHP\2022-08-21\leg_1\F-HFHP_baro_2022-08-21_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-08-20,2022-08-20 18:39:07.580000+00:00,2022-08-20 19:00:36.470000+00:00,Martinique Aime Cesaire International Airport,Argyle International Airport,21min,21.47,1.6,159.0,MQ,VC,Martinique Aime Cesaire International Airport - Argyle International Airport,TFFF,TVSA,14.541412,-60.876239,13.131912,-61.160036,2909.0,156.0,output\F-HFHP\2022-08-20\leg_1\F-HFHP_baro_2022-08-20_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-08-07,2022-08-07 15:42:23.480000+00:00,2022-08-07 16:14:12.180000+00:00,Argyle International Airport,Martinique Aime Cesaire International Airport,32min,31.8,2.4,158.0,VC,MQ,Argyle International Airport - Martinique Aime Cesaire International Airport,TVSA,TFFF,13.167023,-61.14583,14.59099,-61.0032,383.0,0.0,output\F-HFHP\2022-08-07\leg_2\F-HFHP_baro_2022-08-07_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-08-07,2022-08-07 07:02:27.199000+00:00,2022-08-07 14:23:32.580000+00:00,Los Angeles International Airport,Argyle International Airport,7h21min,441.08,33.1,6194.0,US,VC,Los Angeles International Airport - Argyle International Airport,KLAX,TVSA,33.938965,-118.388784,13.131775,-61.159894,38.0,164.0,output\F-HFHP\2022-08-07\leg_1\F-HFHP_baro_2022-08-07_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-29,2022-07-29 06:50:43.440000+00:00,2022-07-29 15:50:26.800000+00:00,Paris-Le Bourget Airport,Boeing Field King County International Airport,8h60min,539.72,40.5,8065.0,FR,US,Paris-Le Bourget Airport - Boeing Field King County International Airport,LFPB,KBFI,48.970734,2.445937,47.52388,-122.297264,76.0,0.0,output\F-HFHP\2022-07-29\leg_1\F-HFHP_baro_2022-07-29_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-22,2022-07-22 17:11:51.650000+00:00,2022-07-22 17:51:00.954000+00:00,Dinard-Pleurtuit-Saint-Malo Airport,Paris-Le Bourget Airport,39min,39.15,2.9,334.0,FR,FR,Dinard-Pleurtuit-Saint-Malo Airport - Paris-Le Bourget Airport,LFRD,LFPB,48.582687,-2.078599,48.966705,2.430866,8.0,26.0,output\F-HFHP\2022-07-22\leg_3\F-HFHP_baro_2022-07-22_leg_3.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-22,2022-07-22 14:33:30.500000+00:00,2022-07-22 16:30:05.100000+00:00,Ciampino G. B. Pastine International Airport,Dinard-Pleurtuit-Saint-Malo Airport,1h57min,116.57,8.7,1374.0,IT,FR,Ciampino G. B. Pastine International Airport - Dinard-Pleurtuit-Saint-Malo Airport,LIRA,LFRD,41.803986,12.591643,48.583684,-2.078873,84.0,8.0,output\F-HFHP\2022-07-22\leg_2\F-HFHP_baro_2022-07-22_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-22,2022-07-22 05:15:02.970000+00:00,2022-07-22 06:46:29.100000+00:00,Paris-Le Bourget Airport,Ciampino G. B. Pastine International Airport,1h31min,91.43,6.9,1123.0,FR,IT,Paris-Le Bourget Airport - Ciampino G. B. Pastine International Airport,LFPB,LIRA,48.96492,2.442627,41.80069,12.593953,140.0,76.0,output\F-HFHP\2022-07-22\leg_1\F-HFHP_baro_2022-07-22_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-14,2022-07-14 11:46:06.073000+00:00,2022-07-14 12:42:51.273000+00:00,London Luton Airport,Paris-Le Bourget Airport,57min,56.75,4.3,380.0,GB,FR,London Luton Airport - Paris-Le Bourget Airport,EGGW,LFPB,51.875207,-0.365143,48.964691,2.438261,76.0,-4.0,output\F-HFHP\2022-07-14\leg_1\F-HFHP_baro_2022-07-14_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-12,2022-07-12 23:42:58.800000+00:00,2022-07-13 15:54:20.585000+00:00,Tokyo Haneda International Airport,London Luton Airport,16h11min,971.35,72.9,9573.0,JP,GB,Tokyo Haneda International Airport - London Luton Airport,RJTT,EGGW,35.554877,139.794363,51.875427,-0.363959,102.0,84.0,output\F-HFHP\2022-07-12\leg_1\F-HFHP_baro_2022-07-12_leg_1.csv
