propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HFKD,399543,2022-09-02,2022-09-02 20:12:18.320000+00:00,2022-09-02 20:42:11.900000+00:00,Naples International Airport,,30min,29.88,590.4,1.5,271.0,IT,,,LIRN,,40.886644,14.292089,43.157369,15.493338,140.0,6618.0,output\F-HFKD\2022-09-02\leg_3\F-HFKD_baro_2022-09-02_leg_3.csv
avion de location Valljet,F-HFKD,399543,2022-09-02,2022-09-02 16:02:18.760000+00:00,2022-09-02 16:43:53.420000+00:00,Zadar Airport,Naples International Airport,42min,41.57,821.4,2.1,362.0,HR,IT,Zadar Airport - Naples International Airport,LDZD,LIRN,44.096747,15.219334,40.902984,14.326859,1989.0,217.0,output\F-HFKD\2022-09-02\leg_2\F-HFKD_baro_2022-09-02_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-09-02,2022-09-02 12:08:51.220000+00:00,2022-09-02 13:55:24.380000+00:00,Dalaman International Airport,Zadar Airport,1h47min,106.55,2105.4,5.4,1305.0,TR,HR,Dalaman International Airport - Zadar Airport,LTBS,LDZD,36.703041,28.78903,43.531174,16.293363,213.0,4538.0,output\F-HFKD\2022-09-02\leg_1\F-HFKD_baro_2022-09-02_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-09-01,2022-09-01 08:23:50.870000+00:00,2022-09-01 10:57:03.760000+00:00,Geneva Cointrin International Airport,Dalaman International Airport,2h33min,153.2,3027.2,7.8,2062.0,CH,TR,Geneva Cointrin International Airport - Dalaman International Airport,LSGG,LTBS,46.230743,6.098216,37.523199,28.164527,396.0,7628.0,output\F-HFKD\2022-09-01\leg_2\F-HFKD_baro_2022-09-01_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-09-01,2022-09-01 06:26:07.570000+00:00,2022-09-01 07:13:40.680000+00:00,Paris-Le Bourget Airport,Geneva Cointrin International Airport,48min,47.55,939.6,2.4,410.0,FR,CH,Paris-Le Bourget Airport - Geneva Cointrin International Airport,LFPB,LSGG,48.964783,2.440655,46.235413,6.105116,30.0,381.0,output\F-HFKD\2022-09-01\leg_1\F-HFKD_baro_2022-09-01_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-31,2022-08-31 12:16:28.814000+00:00,2022-08-31 13:32:40.564000+00:00,Beziers-Vias Airport,Paris-Le Bourget Airport,1h16min,76.18,1505.3,3.9,621.0,FR,FR,Beziers-Vias Airport - Paris-Le Bourget Airport,LFMU,LFPB,43.422226,3.405059,48.963409,2.418682,1608.0,54.0,output\F-HFKD\2022-08-31\leg_1\F-HFKD_baro_2022-08-31_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-30,2022-08-30 17:24:54.825000+00:00,2022-08-30 18:20:00.335000+00:00,Paris-Le Bourget Airport,Beziers-Vias Airport,55min,55.08,1088.4,2.8,613.0,FR,FR,Paris-Le Bourget Airport - Beziers-Vias Airport,LFPB,LFMU,48.964668,2.438314,43.47084,3.122097,33.0,1501.0,output\F-HFKD\2022-08-30\leg_1\F-HFKD_baro_2022-08-30_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-29,2022-08-29 01:11:34.219000+00:00,2022-08-29 03:46:30.349000+00:00,Craiova Airport,Paris-Le Bourget Airport,2h35min,154.93,3061.4,7.9,1723.0,RO,FR,Craiova Airport - Paris-Le Bourget Airport,LRCV,LFPB,44.294037,23.958762,48.963132,2.417787,1085.0,58.0,output\F-HFKD\2022-08-29\leg_1\F-HFKD_baro_2022-08-29_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-28,2022-08-28 13:11:05.870000+00:00,2022-08-28 15:21:11.300000+00:00,Amsterdam Airport Schiphol,Craiova Airport,2h10min,130.08,2570.4,6.6,1644.0,NL,RO,Amsterdam Airport Schiphol - Craiova Airport,EHAM,LRCV,52.305771,4.791183,44.432922,23.693586,-79.0,2026.0,output\F-HFKD\2022-08-28\leg_1\F-HFKD_baro_2022-08-28_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-27,2022-08-27 10:08:58.350000+00:00,2022-08-27 11:24:12.040000+00:00,Stavanger Airport Sola,Amsterdam Airport Schiphol,1h15min,75.22,1486.3,3.8,735.0,NO,NL,Stavanger Airport Sola - Amsterdam Airport Schiphol,ENZV,EHAM,58.889652,5.637502,52.305313,4.790573,127.0,-50.0,output\F-HFKD\2022-08-27\leg_1\F-HFKD_baro_2022-08-27_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-26,2022-08-26 15:15:00.100000+00:00,2022-08-26 16:33:29.570000+00:00,Frankfurt am Main Airport,Stavanger Airport Sola,1h18min,78.48,1550.8,4.0,1001.0,DE,NO,Frankfurt am Main Airport - Stavanger Airport Sola,EDDF,ENZV,50.039749,8.564493,58.869141,5.638092,132.0,23.0,output\F-HFKD\2022-08-26\leg_3\F-HFKD_baro_2022-08-26_leg_3.csv
avion de location Valljet,F-HFKD,399543,2022-08-26,2022-08-26 12:07:21.490000+00:00,2022-08-26 14:13:24.300000+00:00,Valencia Airport,Frankfurt am Main Airport,2h06min,126.03,2490.4,6.4,1371.0,ES,DE,Valencia Airport - Frankfurt am Main Airport,LEVC,EDDF,39.481977,-0.462463,50.035858,8.568902,234.0,114.0,output\F-HFKD\2022-08-26\leg_2\F-HFKD_baro_2022-08-26_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-08-25,2022-08-25 22:04:59.740000+00:00,2022-08-25 23:59:25.780000+00:00,Split Airport,Valencia Airport,1h54min,114.43,2261.1,5.8,1443.0,HR,ES,Split Airport - Valencia Airport,LDSP,LEVC,43.29116,16.128191,39.450165,-0.37873,4232.0,484.0,output\F-HFKD\2022-08-25\leg_3\F-HFKD_baro_2022-08-25_leg_3.csv
avion de location Valljet,F-HFKD,399543,2022-08-25,2022-08-25 07:17:47.900000+00:00,2022-08-25 09:09:07.970000+00:00,Valencia Airport,Split Airport,1h51min,111.33,2199.9,5.6,1424.0,ES,HR,Valencia Airport - Split Airport,LEVC,LDSP,39.496548,-0.500488,43.304855,15.789014,236.0,1916.0,output\F-HFKD\2022-08-25\leg_2\F-HFKD_baro_2022-08-25_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-08-25,2022-08-25 05:40:57.490000+00:00,2022-08-25 06:19:38.850000+00:00,Barcelona International Airport,Valencia Airport,39min,38.68,764.3,2.0,296.0,ES,ES,Barcelona International Airport - Valencia Airport,LEBL,LEVC,41.289275,2.094643,39.482941,-0.464889,0.0,92.0,output\F-HFKD\2022-08-25\leg_1\F-HFKD_baro_2022-08-25_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-24,2022-08-24 14:43:20.770000+00:00,2022-08-24 15:21:32.850000+00:00,Ibiza Airport,Barcelona International Airport,38min,38.2,754.8,1.9,278.0,ES,ES,Ibiza Airport - Barcelona International Airport,LEIB,LEBL,38.862693,1.346741,41.300866,2.089587,376.0,0.0,output\F-HFKD\2022-08-24\leg_3\F-HFKD_baro_2022-08-24_leg_3.csv
avion de location Valljet,F-HFKD,399543,2022-08-24,2022-08-24 12:16:20.180000+00:00,2022-08-24 13:22:25.800000+00:00,Nice-Côte d'Azur Airport,Ibiza Airport,1h06min,66.08,1305.7,3.4,715.0,FR,ES,Nice-Côte d'Azur Airport - Ibiza Airport,LFMN,LEIB,43.656689,7.216187,38.907243,1.456543,107.0,350.0,output\F-HFKD\2022-08-24\leg_2\F-HFKD_baro_2022-08-24_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-08-24,2022-08-24 00:00:38.750000+00:00,2022-08-24 00:33:15.720000+00:00,A/C in cruise,Nice-Côte d'Azur Airport,33min,32.6,644.2,1.7,347.0,A/C in cruise,FR,A/C in cruise - Nice-Côte d'Azur Airport,A/C in cruise,LFMN,41.978387,3.63392,43.656189,7.210033,11349.0,-8.0,output\F-HFKD\2022-08-24\leg_1\F-HFKD_baro_2022-08-24_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-23,2022-08-23 22:37:24.710000+00:00,2022-08-24 00:00:00+00:00,Humberto Delgado Airport (Lisbon Portela Airport),A/C in cruise,1h23min,82.58,1631.8,4.2,1131.0,PT,A/C in cruise,Humberto Delgado Airport (Lisbon Portela Airport) - A/C in cruise,LPPT,A/C in cruise,38.772491,-9.140685,41.963165,3.52016,114.0,11536.0,output\F-HFKD\2022-08-23\leg_1\F-HFKD_baro_2022-08-23_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-22,2022-08-22 12:17:08.310000+00:00,2022-08-22 14:28:53.420000+00:00,Nice-Côte d'Azur Airport,Humberto Delgado Airport (Lisbon Portela Airport),2h12min,131.75,2603.4,6.7,1472.0,FR,PT,Nice-Côte d'Azur Airport - Humberto Delgado Airport (Lisbon Portela Airport),LFMN,LPPT,43.656509,7.215974,38.772949,-9.140386,129.0,107.0,output\F-HFKD\2022-08-22\leg_2\F-HFKD_baro_2022-08-22_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-08-22,2022-08-22 08:32:44.250000+00:00,2022-08-22 11:02:20.650000+00:00,Menara Airport,Nice-Côte d'Azur Airport,2h30min,149.6,2956.1,7.6,1858.0,MA,FR,Menara Airport - Nice-Côte d'Azur Airport,GMMX,LFMN,32.123791,-8.197034,43.655664,7.20932,4618.0,30.0,output\F-HFKD\2022-08-22\leg_1\F-HFKD_baro_2022-08-22_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-21,2022-08-21 19:23:59.880000+00:00,2022-08-21 22:05:01.920000+00:00,Paris-Le Bourget Airport,Menara Airport,2h41min,161.03,3182.0,8.2,2119.0,FR,MA,Paris-Le Bourget Airport - Menara Airport,LFPB,GMMX,48.965227,2.425015,31.689551,-8.295941,155.0,1192.0,output\F-HFKD\2022-08-21\leg_1\F-HFKD_baro_2022-08-21_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-17,2022-08-17 17:15:31.520000+00:00,2022-08-17 18:48:11.390000+00:00,Olbia Costa Smeralda Airport,Paris-Le Bourget Airport,1h33min,92.65,1830.8,4.7,1055.0,IT,FR,Olbia Costa Smeralda Airport - Paris-Le Bourget Airport,LIEO,LFPB,40.917927,9.554048,48.968392,2.437086,567.0,57.0,output\F-HFKD\2022-08-17\leg_3\F-HFKD_baro_2022-08-17_leg_3.csv
avion de location Valljet,F-HFKD,399543,2022-08-17,2022-08-17 13:47:14.800000+00:00,2022-08-17 14:37:02.890000+00:00,Genoa Cristoforo Colombo Airport,Olbia Costa Smeralda Airport,50min,49.8,984.0,2.5,397.0,IT,IT,Genoa Cristoforo Colombo Airport - Olbia Costa Smeralda Airport,LIMJ,LIEO,44.422845,8.763941,40.889923,9.500916,935.0,103.0,output\F-HFKD\2022-08-17\leg_2\F-HFKD_baro_2022-08-17_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-08-17,2022-08-17 09:53:16.490000+00:00,2022-08-17 11:13:32.230000+00:00,Catania-Fontanarossa Airport,Genoa Cristoforo Colombo Airport,1h20min,80.25,1585.7,4.1,906.0,IT,IT,Catania-Fontanarossa Airport - Genoa Cristoforo Colombo Airport,LICC,LIMJ,37.466904,15.067632,44.309692,9.211513,3.0,1852.0,output\F-HFKD\2022-08-17\leg_1\F-HFKD_baro_2022-08-17_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-15,2022-08-15 09:58:24.040000+00:00,2022-08-15 11:27:22.880000+00:00,Nice-Côte d'Azur Airport,Catania-Fontanarossa Airport,1h29min,88.97,1758.0,4.5,953.0,FR,IT,Nice-Côte d'Azur Airport - Catania-Fontanarossa Airport,LFMN,LICC,43.664975,7.262682,37.466219,15.059748,757.0,19.0,output\F-HFKD\2022-08-15\leg_2\F-HFKD_baro_2022-08-15_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-08-15,2022-08-15 07:21:54.330000+00:00,2022-08-15 08:29:44.480000+00:00,Paris-Le Bourget Airport,Nice-Côte d'Azur Airport,1h08min,67.83,1340.3,3.4,696.0,FR,FR,Paris-Le Bourget Airport - Nice-Côte d'Azur Airport,LFPB,LFMN,48.966809,2.431014,43.637146,7.183909,178.0,172.0,output\F-HFKD\2022-08-15\leg_1\F-HFKD_baro_2022-08-15_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-14,2022-08-14 13:46:07.640000+00:00,2022-08-14 15:58:18.260000+00:00,Olbia Costa Smeralda Airport,Paris-Le Bourget Airport,2h12min,132.17,2611.7,6.7,1055.0,IT,FR,Olbia Costa Smeralda Airport - Paris-Le Bourget Airport,LIEO,LFPB,40.918533,9.555176,48.964645,2.438472,582.0,114.0,output\F-HFKD\2022-08-14\leg_2\F-HFKD_baro_2022-08-14_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-08-14,2022-08-14 10:06:39.250000+00:00,2022-08-14 10:57:17.290000+00:00,Falcone Borsellino Airport,Olbia Costa Smeralda Airport,51min,50.63,1000.4,2.6,432.0,IT,IT,Falcone Borsellino Airport - Olbia Costa Smeralda Airport,LICJ,LIEO,38.182611,13.111227,40.878571,9.479248,38.0,221.0,output\F-HFKD\2022-08-14\leg_1\F-HFKD_baro_2022-08-14_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-13,2022-08-13 15:16:37.080000+00:00,2022-08-13 16:01:46.480000+00:00,Olbia Costa Smeralda Airport,Falcone Borsellino Airport,45min,45.15,892.2,2.3,430.0,IT,IT,Olbia Costa Smeralda Airport - Falcone Borsellino Airport,LIEO,LICJ,40.941467,9.598328,38.182704,13.111526,1059.0,38.0,output\F-HFKD\2022-08-13\leg_2\F-HFKD_baro_2022-08-13_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-08-13,2022-08-13 12:28:51.090000+00:00,2022-08-13 14:15:17.730000+00:00,Leipzig/Halle Airport,Olbia Costa Smeralda Airport,1h46min,106.43,2103.1,5.4,1205.0,DE,IT,Leipzig/Halle Airport - Olbia Costa Smeralda Airport,EDDP,LIEO,51.432076,12.233429,40.7845,9.300415,102.0,1330.0,output\F-HFKD\2022-08-13\leg_1\F-HFKD_baro_2022-08-13_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-12,2022-08-12 11:57:52.240000+00:00,2022-08-12 14:26:46.530000+00:00,Ibiza Airport,Leipzig/Halle Airport,2h29min,148.9,2942.3,7.5,1633.0,ES,DE,Ibiza Airport - Leipzig/Halle Airport,LEIB,EDDP,38.86972,1.365469,51.431992,12.230901,99.0,69.0,output\F-HFKD\2022-08-12\leg_2\F-HFKD_baro_2022-08-12_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-08-12,2022-08-12 09:31:00.660000+00:00,2022-08-12 10:58:26.060000+00:00,Milano Linate Airport,Ibiza Airport,1h27min,87.42,1727.4,4.4,978.0,IT,ES,Milano Linate Airport - Ibiza Airport,LIML,LEIB,45.4422,9.277418,38.87269,1.372574,91.0,9.0,output\F-HFKD\2022-08-12\leg_1\F-HFKD_baro_2022-08-12_leg_1.csv
avion de location Valljet,F-HFKD,399543,2022-08-11,2022-08-11 12:37:23.810000+00:00,2022-08-11 13:05:35.170000+00:00,Firenze-Peretola Airport,Milano Linate Airport,28min,28.18,556.8,1.4,238.0,IT,IT,Firenze-Peretola Airport - Milano Linate Airport,LIRQ,LIML,43.805832,11.198645,45.445358,9.276973,48.0,76.0,output\F-HFKD\2022-08-11\leg_2\F-HFKD_baro_2022-08-11_leg_2.csv
avion de location Valljet,F-HFKD,399543,2022-08-11,2022-08-11 10:16:43.180000+00:00,2022-08-11 11:52:23.130000+00:00,Alicante International Airport,Firenze-Peretola Airport,1h36min,95.65,1890.0,4.8,1161.0,ES,IT,Alicante International Airport - Firenze-Peretola Airport,LEAL,LIRQ,38.281265,-0.552005,43.806061,11.198901,53.0,26.0,output\F-HFKD\2022-08-11\leg_1\F-HFKD_baro_2022-08-11_leg_1.csv
