propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HFKF,399545,2022-09-09,2022-09-09 14:48:02,2022-09-09 16:34:34,Brest Bretagne Airport,Kristiansand Airport,1h47min,106.52,2718.7,7.0,1322.0,FR,NO,Brest Bretagne Airport - Kristiansand Airport,LFRB,ENCN,48.532239,-4.537651,57.912336,7.719702,2629.0,1970.0,output\F-HFKF\2022-09-09\leg_4\F-HFKF_baro_2022-09-09_leg_4.csv
avion de location Valljet,F-HFKF,399545,2022-09-09,2022-09-09 11:54:20,2022-09-09 13:45:49,Nice-Côte d'Azur Airport,Brest Bretagne Airport,1h51min,111.47,2845.1,7.3,1041.0,FR,FR,Nice-Côte d'Azur Airport - Brest Bretagne Airport,LFMN,LFRB,43.633135,7.207512,48.482773,-4.321185,912.0,510.0,output\F-HFKF\2022-09-09\leg_3\F-HFKF_baro_2022-09-09_leg_3.csv
avion de location Valljet,F-HFKF,399545,2022-09-09,2022-09-09 08:48:58,2022-09-09 10:32:08,Copernicus Wroclaw Airport,Villanova D'Albenga International Airport,1h43min,103.17,2633.2,6.8,1078.0,PL,IT,Copernicus Wroclaw Airport - Villanova D'Albenga International Airport,EPWR,LIMG,51.08289,16.950532,43.615043,7.823873,830.0,2854.0,output\F-HFKF\2022-09-09\leg_2\F-HFKF_baro_2022-09-09_leg_2.csv
avion de location Valljet,F-HFKF,399545,2022-09-09,2022-09-09 00:25:00,2022-09-09 01:37:00,Billund Airport,Copernicus Wroclaw Airport,1h12min,71.98,1837.2,4.7,725.0,DK,PL,Billund Airport - Copernicus Wroclaw Airport,EKBI,EPWR,55.742413,9.227351,51.098893,16.889288,1138.0,145.0,output\F-HFKF\2022-09-09\leg_1\F-HFKF_baro_2022-09-09_leg_1.csv
avion de location Valljet,F-HFKF,399545,2022-09-08,2022-09-08 22:24:29,2022-09-08 23:23:29,Brussels Airport,Billund Airport,59min,59.0,1505.9,3.9,620.0,BE,DK,Brussels Airport - Billund Airport,EBBR,EKBI,50.902296,4.462068,55.738121,9.078177,211.0,320.0,output\F-HFKF\2022-09-08\leg_2\F-HFKF_baro_2022-09-08_leg_2.csv
avion de location Valljet,F-HFKF,399545,2022-09-08,2022-09-08 05:22:37,2022-09-08 07:52:13,Henri CoandÄƒ International Airport,Brussels Airport,2h30min,149.6,3818.3,9.8,1764.0,RO,BE,Henri CoandÄƒ International Airport - Brussels Airport,LROP,EBBR,44.614745,26.247206,50.899514,4.525906,1674.0,110.0,output\F-HFKF\2022-09-08\leg_1\F-HFKF_baro_2022-09-08_leg_1.csv
avion de location Valljet,F-HFKF,399545,2022-09-07,2022-09-07 10:45:04,2022-09-07 14:27:30,Brussels Airport,Henri CoandÄƒ International Airport,3h42min,222.42,5676.9,14.6,1750.0,BE,RO,Brussels Airport - Henri CoandÄƒ International Airport,EBBR,LROP,50.906033,4.469734,44.566461,25.942377,120.0,640.0,output\F-HFKF\2022-09-07\leg_3\F-HFKF_baro_2022-09-07_leg_3.csv
avion de location Valljet,F-HFKF,399545,2022-09-07,2022-09-07 08:25:31,2022-09-07 09:31:01,Billund Airport,Brussels Airport,1h06min,65.5,1671.8,4.3,622.0,DK,BE,Billund Airport - Brussels Airport,EKBI,EBBR,55.741839,9.213422,50.899811,4.527897,673.0,76.0,output\F-HFKF\2022-09-07\leg_2\F-HFKF_baro_2022-09-07_leg_2.csv
avion de location Valljet,F-HFKF,399545,2022-09-07,2022-09-07 04:38:41,2022-09-07 07:20:03,Mihail KogÄƒlniceanu International Airport,Billund Airport,2h41min,161.37,4118.7,10.6,1747.0,RO,DK,Mihail KogÄƒlniceanu International Airport - Billund Airport,LRCK,EKBI,44.987187,27.160955,55.737423,9.080413,10617.0,248.0,output\F-HFKF\2022-09-07\leg_1\F-HFKF_baro_2022-09-07_leg_1.csv
avion de location Valljet,F-HFKF,399545,2022-09-06,2022-09-06 06:36:36,2022-09-06 08:47:45,Geilenkirchen Air Base,Mihail KogÄƒlniceanu International Airport,2h11min,131.13,3346.9,8.6,1830.0,DE,RO,Geilenkirchen Air Base - Mihail KogÄƒlniceanu International Airport,ETNG,LRCK,50.960634,6.026234,44.223118,28.355278,188.0,3254.0,output\F-HFKF\2022-09-06\leg_2\F-HFKF_baro_2022-09-06_leg_2.csv
