propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HGRI,399A28,2022-08-30,2022-08-30 17:13:44.216000+00:00,2022-08-30 18:41:02.202000+00:00,Toulon-Hyères Airport,Paris-Le Bourget Airport,1h27min,87.28,663.3,1.7,714.0,FR,FR,Toulon-Hyères Airport - Paris-Le Bourget Airport,LFTH,LFPB,43.067384,6.080802,48.96234,2.414968,686.0,65.0,output\F-HGRI\2022-08-30\leg_4\F-HGRI_baro_2022-08-30_leg_4.csv
avion de location Valljet,F-HGRI,399A28,2022-08-30,2022-08-30 15:42:06.866000+00:00,2022-08-30 16:24:59.116000+00:00,Milan Malpensa International Airport,Toulon-Hyères Airport,43min,42.87,325.8,0.8,338.0,IT,FR,Milan Malpensa International Airport - Toulon-Hyères Airport,LIMC,LFTH,45.6194,8.725891,43.152054,6.240937,198.0,476.0,output\F-HGRI\2022-08-30\leg_3\F-HGRI_baro_2022-08-30_leg_3.csv
avion de location Valljet,F-HGRI,399A28,2022-08-30,2022-08-30 13:09:30.066000+00:00,2022-08-30 14:42:10.606000+00:00,Amsterdam Airport Schiphol,Milan Malpensa International Airport,1h33min,92.67,704.3,1.8,797.0,NL,IT,Amsterdam Airport Schiphol - Milan Malpensa International Airport,EHAM,LIMC,52.306048,4.791609,45.620076,8.736259,-58.0,179.0,output\F-HGRI\2022-08-30\leg_2\F-HGRI_baro_2022-08-30_leg_2.csv
avion de location Valljet,F-HGRI,399A28,2022-08-30,2022-08-30 11:00:39.506000+00:00,2022-08-30 11:43:49.426000+00:00,London Biggin Hill Airport,Amsterdam Airport Schiphol,43min,43.15,327.9,0.8,345.0,GB,NL,London Biggin Hill Airport - Amsterdam Airport Schiphol,EGKB,EHAM,51.331291,0.03273,52.304443,4.789352,104.0,-84.0,output\F-HGRI\2022-08-30\leg_1\F-HGRI_baro_2022-08-30_leg_1.csv
Valljet,F-HGRI,399A28,2022-08-29,2022-08-29 16:25:01.174000+00:00,2022-08-29 18:13:14.964000+00:00,Genoa Cristoforo Colombo Airport,London Biggin Hill Airport,1h48min,108.22,822.5,2.1,1008.0,IT,GB,Genoa Cristoforo Colombo Airport - London Biggin Hill Airport,LIMJ,EGKB,44.420929,8.775657,51.33576,0.036087,1023.0,84.0,output\F-HGRI\2022-08-29\leg_2\F-HGRI_baro_2022-08-29_leg_2.csv
Valljet,F-HGRI,399A28,2022-08-29,2022-08-29 12:21:02.184000+00:00,2022-08-29 13:28:42.754000+00:00,Paris-Le Bourget Airport,Genoa Cristoforo Colombo Airport,1h08min,67.67,514.3,1.3,716.0,FR,IT,Paris-Le Bourget Airport - Genoa Cristoforo Colombo Airport,LFPB,LIMJ,48.964994,2.450963,44.36911,9.015198,239.0,1688.0,output\F-HGRI\2022-08-29\leg_1\F-HGRI_baro_2022-08-29_leg_1.csv
Valljet,F-HGRI,399A28,2022-08-24,2022-08-24 10:36:35.160000+00:00,2022-08-24 12:54:40.680000+00:00,Naples International Airport,Paris-Le Bourget Airport,2h18min,138.08,1049.4,2.7,1295.0,IT,FR,Naples International Airport - Paris-Le Bourget Airport,LIRN,LFPB,40.885713,14.290092,48.961595,2.412222,157.0,88.0,output\F-HGRI\2022-08-24\leg_2\F-HGRI_baro_2022-08-24_leg_2.csv
Valljet,F-HGRI,399A28,2022-08-24,2022-08-24 06:09:45.860000+00:00,2022-08-24 08:47:19.540000+00:00,London Biggin Hill Airport,Naples International Airport,2h38min,157.55,1197.4,3.1,1595.0,GB,IT,London Biggin Hill Airport - Naples International Airport,EGKB,LIRN,51.330231,0.03192,40.883835,14.286133,165.0,84.0,output\F-HGRI\2022-08-24\leg_1\F-HGRI_baro_2022-08-24_leg_1.csv
Valljet,F-HGRI,399A28,2022-08-22,2022-08-22 15:55:36.680000+00:00,2022-08-22 18:03:26.350000+00:00,Cannes-Mandelieu Airport,London Biggin Hill Airport,2h08min,127.82,971.4,2.5,1010.0,FR,GB,Cannes-Mandelieu Airport - London Biggin Hill Airport,LFMD,EGKB,43.54473,6.951338,51.336823,0.036968,74.0,172.0,output\F-HGRI\2022-08-22\leg_3\F-HGRI_baro_2022-08-22_leg_3.csv
Valljet,F-HGRI,399A28,2022-08-22,2022-08-22 08:14:20.470000+00:00,2022-08-22 09:07:40.760000+00:00,Paris-Le Bourget Airport,Annecy-Haute-Savoie-Mont Blanc Airport,53min,53.33,405.3,1.0,437.0,FR,FR,Paris-Le Bourget Airport - Annecy-Haute-Savoie-Mont Blanc Airport,LFPB,LFLP,48.969416,2.440916,45.89653,6.061439,137.0,697.0,output\F-HGRI\2022-08-22\leg_1\F-HGRI_baro_2022-08-22_leg_1.csv
