propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HGSA,399A40,2022-08-29,2022-08-29 07:22:06.867000+00:00,2022-08-29 09:25:27.507000+00:00,Nantes Atlantique Airport,Lamezia Terme Airport,2h03min,123.33,2437.0,6.3,1693.0,FR,IT,Nantes Atlantique Airport - Lamezia Terme Airport,LFRS,LICA,47.16188,-1.604279,39.013687,16.05819,109.0,2198.0,output\F-HGSA\2022-08-29\leg_2\F-HGSA_baro_2022-08-29_leg_2.csv
avion de location Valljet,F-HGSA,399A40,2022-08-29,2022-08-29 05:17:05.227000+00:00,2022-08-29 06:06:53.057000+00:00,Paris-Le Bourget Airport,Nantes Atlantique Airport,50min,49.78,983.7,2.5,365.0,FR,FR,Paris-Le Bourget Airport - Nantes Atlantique Airport,LFPB,LFRS,48.964828,2.441852,47.134793,-1.62485,45.0,72.0,output\F-HGSA\2022-08-29\leg_1\F-HGSA_baro_2022-08-29_leg_1.csv
avion de location Valljet,F-HGSA,399A40,2022-08-28,2022-08-28 13:35:40.210000+00:00,2022-08-28 14:48:08.040000+00:00,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h12min,72.45,1431.6,3.7,699.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.649884,7.2749,48.956464,2.389809,952.0,180.0,output\F-HGSA\2022-08-28\leg_2\F-HGSA_baro_2022-08-28_leg_2.csv
avion de location Valljet,F-HGSA,399A40,2022-08-28,2022-08-28 09:20:26.450000+00:00,2022-08-28 12:06:41.930000+00:00,EuroAirport Basel-Mulhouse-Freiburg Airport,Nice-Côte d'Azur Airport,2h46min,166.25,3285.1,8.4,436.0,FR,FR,EuroAirport Basel-Mulhouse-Freiburg Airport - Nice-Côte d'Azur Airport,LFSB,LFMN,47.526556,7.573547,43.618888,7.152691,1313.0,263.0,output\F-HGSA\2022-08-28\leg_1\F-HGSA_baro_2022-08-28_leg_1.csv
avion de location Valljet,F-HGSA,399A40,2022-08-27,2022-08-27 17:47:27.910000+00:00,2022-08-27 18:53:21.850000+00:00,Eelde Airport,EuroAirport Basel-Mulhouse-Freiburg Airport,1h06min,65.88,1301.8,3.3,611.0,NL,FR,Eelde Airport - EuroAirport Basel-Mulhouse-Freiburg Airport,EHGG,LFSB,53.122849,6.623159,47.656467,7.48119,26.0,514.0,output\F-HGSA\2022-08-27\leg_3\F-HGSA_baro_2022-08-27_leg_3.csv
avion de location Valljet,F-HGSA,399A40,2022-08-27,2022-08-27 11:33:09.210000+00:00,2022-08-27 12:52:34.380000+00:00,Bergen Airport Flesland,Eelde Airport,1h19min,79.42,1569.3,4.0,803.0,NO,NL,Bergen Airport Flesland - Eelde Airport,ENBR,EHGG,60.289477,5.219487,53.116476,6.572248,7.0,-30.0,output\F-HGSA\2022-08-27\leg_2\F-HGSA_baro_2022-08-27_leg_2.csv
avion de location Valljet,F-HGSA,399A40,2022-08-27,2022-08-27 08:11:37.770000+00:00,2022-08-27 10:00:20.370000+00:00,Paris-Le Bourget Airport,Bergen Airport Flesland,1h49min,108.7,2147.9,5.5,1273.0,FR,NO,Paris-Le Bourget Airport - Bergen Airport Flesland,LFPB,ENBR,48.964645,2.438261,60.286684,5.22037,41.0,0.0,output\F-HGSA\2022-08-27\leg_1\F-HGSA_baro_2022-08-27_leg_1.csv
avion de location Valljet,F-HGSA,399A40,2022-08-24,2022-08-24 16:49:34.230000+00:00,2022-08-24 18:04:32.120000+00:00,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h15min,74.95,1481.0,3.8,696.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.652452,7.210366,48.963364,2.41851,-3.0,68.0,output\F-HGSA\2022-08-24\leg_3\F-HGSA_baro_2022-08-24_leg_3.csv
avion de location Valljet,F-HGSA,399A40,2022-08-24,2022-08-24 13:54:26.750000+00:00,2022-08-24 15:03:26.100000+00:00,Paris-Le Bourget Airport,Nice-Côte d'Azur Airport,1h09min,68.98,1363.0,3.5,695.0,FR,FR,Paris-Le Bourget Airport - Nice-Côte d'Azur Airport,LFPB,LFMN,48.964874,2.442909,43.656097,7.209906,86.0,-15.0,output\F-HGSA\2022-08-24\leg_2\F-HGSA_baro_2022-08-24_leg_2.csv
avion de location Valljet,F-HGSA,399A40,2022-08-24,2022-08-24 10:17:45.730000+00:00,2022-08-24 11:32:30.090000+00:00,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h15min,74.73,1476.7,3.8,696.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.652406,7.210236,48.961578,2.411569,160.0,84.0,output\F-HGSA\2022-08-24\leg_1\F-HGSA_baro_2022-08-24_leg_1.csv
