propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HIVA,39A2A0,2022-04-03,2022-04-03 17:00:57.469000+00:00,2022-04-03 17:52:43.469000+00:00,Ancenis Airport,Paris-Le Bourget Airport,52min,51.77,439.4,1.1,319.0,FR,FR,Ancenis Airport - Paris-Le Bourget Airport,LFFI,LFPB,47.409531,-1.167572,48.966995,2.432171,137.0,-34.0,output\F-HIVA\2022-04-03\leg_4\F-HIVA_baro_2022-04-03_leg_4.csv
avion de location Valljet,F-HIVA,39A2A0,2022-04-03,2022-04-03 15:50:36.169000+00:00,2022-04-03 16:44:51.069000+00:00,Clermont-Ferrand Auvergne Airport,Ancenis Airport,54min,54.23,460.2,1.2,382.0,FR,FR,Clermont-Ferrand Auvergne Airport - Ancenis Airport,LFLC,LFFI,45.787897,3.182053,47.397813,-1.221525,274.0,84.0,output\F-HIVA\2022-04-03\leg_3\F-HIVA_baro_2022-04-03_leg_3.csv
avion de location Valljet,F-HIVA,39A2A0,2022-04-03,2022-04-03 08:56:11.769000+00:00,2022-04-03 10:09:11.269000+00:00,London Biggin Hill Airport,Clermont-Ferrand Auvergne Airport,1h13min,72.98,619.4,1.6,658.0,GB,FR,London Biggin Hill Airport - Clermont-Ferrand Auvergne Airport,EGKB,LFLC,51.330048,0.031771,45.787491,3.177527,76.0,267.0,output\F-HIVA\2022-04-03\leg_2\F-HIVA_baro_2022-04-03_leg_2.csv
avion de location Valljet,F-HIVA,39A2A0,2022-04-03,2022-04-03 07:02:41.769000+00:00,2022-04-03 07:53:16.769000+00:00,Paris-Le Bourget Airport,London Biggin Hill Airport,51min,50.58,429.3,1.1,314.0,FR,GB,Paris-Le Bourget Airport - London Biggin Hill Airport,LFPB,EGKB,48.964156,2.429135,51.333292,0.03418,-23.0,53.0,output\F-HIVA\2022-04-03\leg_1\F-HIVA_baro_2022-04-03_leg_1.csv
avion de location Valljet,F-HIVA,39A2A0,2022-04-02,2022-04-02 12:00:37.143000+00:00,2022-04-02 13:26:06.643000+00:00,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h25min,85.48,725.4,1.9,696.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.646726,7.202781,48.966888,2.431711,241.0,4.0,output\F-HIVA\2022-04-02\leg_1\F-HIVA_baro_2022-04-02_leg_1.csv
avion de location Valljet,F-HIVA,39A2A0,2022-03-31,2022-03-31 06:55:28.536000+00:00,2022-03-31 08:14:30.936000+00:00,Paris-Le Bourget Airport,Nice-Côte d'Azur Airport,1h19min,79.03,670.7,1.7,695.0,FR,FR,Paris-Le Bourget Airport - Nice-Côte d'Azur Airport,LFPB,LFMN,48.97179,2.449951,43.646773,7.197157,170.0,255.0,output\F-HIVA\2022-03-31\leg_1\F-HIVA_baro_2022-03-31_leg_1.csv
avion de location Valljet,F-HIVA,39A2A0,2022-03-27,2022-03-27 14:05:58.924000+00:00,2022-03-27 14:52:09.824000+00:00,La Roche-sur-Yon Airport,Paris-Le Bourget Airport,46min,46.17,391.8,1.0,379.0,FR,FR,La Roche-sur-Yon Airport - Paris-Le Bourget Airport,LFRI,LFPB,46.695898,-1.343079,48.966888,2.431711,396.0,-57.0,output\F-HIVA\2022-03-27\leg_1\F-HIVA_baro_2022-03-27_leg_1.csv
avion de location Valljet,F-HIVA,39A2A0,2022-03-25,2022-03-25 15:50:29.944000+00:00,2022-03-25 16:42:08.744000+00:00,Paris-Le Bourget Airport,La Roche-sur-Yon Airport,52min,51.63,438.2,1.1,382.0,FR,FR,Paris-Le Bourget Airport - La Roche-sur-Yon Airport,LFPB,LFRI,48.964389,2.433327,46.707458,-1.418844,-36.0,206.0,output\F-HIVA\2022-03-25\leg_2\F-HIVA_baro_2022-03-25_leg_2.csv
avion de location Valljet,F-HIVA,39A2A0,2022-03-25,2022-03-25 13:49:28.244000+00:00,2022-03-25 14:49:16.643000+00:00,Geneva Cointrin International Airport,Paris-Le Bourget Airport,60min,59.8,507.5,1.3,411.0,CH,FR,Geneva Cointrin International Airport - Paris-Le Bourget Airport,LSGG,LFPB,46.236334,6.106407,48.966019,2.428471,340.0,-54.0,output\F-HIVA\2022-03-25\leg_1\F-HIVA_baro_2022-03-25_leg_1.csv
avion de location Valljet,F-HIVA,39A2A0,2022-03-24,2022-03-24 07:29:53.488000+00:00,2022-03-24 08:21:12.287000+00:00,Paris-Le Bourget Airport,Geneva Cointrin International Airport,51min,51.3,435.4,1.1,410.0,FR,CH,Paris-Le Bourget Airport - Geneva Cointrin International Airport,LFPB,LSGG,48.964389,2.433616,46.23275,6.101189,-71.0,297.0,output\F-HIVA\2022-03-24\leg_1\F-HIVA_baro_2022-03-24_leg_1.csv
