propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HJAV,39A415,2022-08-30,2022-08-30 15:59:04.556000+00:00,2022-08-30 16:29:26.435000+00:00,Caen-Carpiquet Airport,Paris-Le Bourget Airport,30min,30.35,257.6,0.7,211.0,FR,FR,Caen-Carpiquet Airport - Paris-Le Bourget Airport,LFRK,LFPB,49.171779,-0.446826,48.963226,2.418049,76.0,84.0,output\F-HJAV\2022-08-30\leg_2\F-HJAV_baro_2022-08-30_leg_2.csv
avion de location Valljet,F-HJAV,39A415,2022-08-30,2022-08-30 12:18:27.886000+00:00,2022-08-30 12:51:57.166000+00:00,Paris-Le Bourget Airport,Caen-Carpiquet Airport,33min,33.48,284.1,0.7,212.0,FR,FR,Paris-Le Bourget Airport - Caen-Carpiquet Airport,LFPB,LFRK,48.964994,2.445687,49.166844,-0.436056,92.0,96.0,output\F-HJAV\2022-08-30\leg_1\F-HJAV_baro_2022-08-30_leg_1.csv
Valljet,F-HJAV,39A415,2022-08-28,2022-08-28 14:29:39.630000+00:00,2022-08-28 15:07:16.960000+00:00,Ancenis Airport,Paris-Le Bourget Airport,38min,37.62,319.3,0.8,316.0,FR,FR,Ancenis Airport - Paris-Le Bourget Airport,LFFI,LFPB,47.412003,-1.155212,48.962128,2.413823,193.0,88.0,output\F-HJAV\2022-08-28\leg_2\F-HJAV_baro_2022-08-28_leg_2.csv
Valljet,F-HJAV,39A415,2022-08-28,2022-08-28 07:19:34.440000+00:00,2022-08-28 08:03:29.580000+00:00,Paris-Le Bourget Airport,Ancenis Airport,44min,43.92,372.7,1.0,323.0,FR,FR,Paris-Le Bourget Airport - Ancenis Airport,LFPB,LFFI,48.965087,2.447927,47.395981,-1.2052,79.0,164.0,output\F-HJAV\2022-08-28\leg_1\F-HJAV_baro_2022-08-28_leg_1.csv
Valljet,F-HJAV,39A415,2022-08-27,2022-08-27 14:26:12.890000+00:00,2022-08-27 15:56:35.650000+00:00,Cannes-Mandelieu Airport,Paris-Le Bourget Airport,1h30min,90.37,766.9,2.0,696.0,FR,FR,Cannes-Mandelieu Airport - Paris-Le Bourget Airport,LFMD,LFPB,43.546034,6.951207,48.962294,2.414462,48.0,88.0,output\F-HJAV\2022-08-27\leg_1\F-HJAV_baro_2022-08-27_leg_1.csv
Valljet,F-HJAV,39A415,2022-08-24,2022-08-24 12:56:59.690000+00:00,2022-08-24 14:26:48.160000+00:00,Paris-Le Bourget Airport,Cannes-Mandelieu Airport,1h30min,89.8,762.1,2.0,695.0,FR,FR,Paris-Le Bourget Airport - Cannes-Mandelieu Airport,LFPB,LFMD,48.965149,2.446148,43.550034,6.950513,99.0,-8.0,output\F-HJAV\2022-08-24\leg_2\F-HJAV_baro_2022-08-24_leg_2.csv
Valljet,F-HJAV,39A415,2022-08-24,2022-08-24 09:48:31.380000+00:00,2022-08-24 11:25:15.290000+00:00,Salzburg Airport,Paris-Le Bourget Airport,1h37min,96.72,820.8,2.1,794.0,AT,FR,Salzburg Airport - Paris-Le Bourget Airport,LOWS,LFPB,47.796021,13.002113,48.962357,2.41502,429.0,80.0,output\F-HJAV\2022-08-24\leg_1\F-HJAV_baro_2022-08-24_leg_1.csv
Valljet,F-HJAV,39A415,2022-08-23,2022-08-23 11:47:39.510000+00:00,2022-08-23 13:18:38.510000+00:00,Paris-Le Bourget Airport,Salzburg Airport,1h31min,90.98,772.1,2.0,793.0,FR,AT,Paris-Le Bourget Airport - Salzburg Airport,LFPB,LOWS,48.965925,2.428268,47.803422,12.997601,124.0,422.0,output\F-HJAV\2022-08-23\leg_1\F-HJAV_baro_2022-08-23_leg_1.csv
Valljet,F-HJAV,39A415,2022-08-19,2022-08-19 08:02:34.260000+00:00,2022-08-19 08:42:45.270000+00:00,Caen-Carpiquet Airport,Paris-Le Bourget Airport,40min,40.18,341.0,0.9,216.0,FR,FR,Caen-Carpiquet Airport - Paris-Le Bourget Airport,LFRK,LFPB,49.1904,-0.484844,48.96532,2.450602,604.0,61.0,output\F-HJAV\2022-08-19\leg_2\F-HJAV_baro_2022-08-19_leg_2.csv
Valljet,F-HJAV,39A415,2022-08-19,2022-08-19 05:29:08.620000+00:00,2022-08-19 07:11:49.440000+00:00,Nice-Côte d'Azur Airport,Caen-Carpiquet Airport,1h43min,102.67,871.3,2.2,850.0,FR,FR,Nice-Côte d'Azur Airport - Caen-Carpiquet Airport,LFMN,LFRK,43.667209,7.259609,49.168076,-0.438608,757.0,198.0,output\F-HJAV\2022-08-19\leg_1\F-HJAV_baro_2022-08-19_leg_1.csv
