propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-08-31,2022-08-31 07:50:46,2022-08-31 08:32:58,Farnborough Airport,Paris-Le Bourget Airport,42min,42.2,713.6,1.8,344.0,GB,FR,Farnborough Airport - Paris-Le Bourget Airport,EGLF,LFPB,51.270866,-0.791092,48.962852,2.416486,-15.0,54.0,output\F-HJJJ\2022-08-31\leg_1\F-HJJJ_baro_2022-08-31_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-08-30,2022-08-30 07:37:36,2022-08-30 08:30:28,Amsterdam Airport Schiphol,Farnborough Airport,53min,52.87,894.0,2.3,400.0,NL,GB,Amsterdam Airport Schiphol - Farnborough Airport,EHAM,EGLF,52.302567,4.786682,51.276489,-0.774313,-69.0,-15.0,output\F-HJJJ\2022-08-30\leg_1\F-HJJJ_baro_2022-08-30_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-08-29,2022-08-29 05:47:05,2022-08-29 06:31:28,Paris-Le Bourget Airport,Amsterdam Airport Schiphol,44min,44.37,750.3,1.9,406.0,FR,NL,Paris-Le Bourget Airport - Amsterdam Airport Schiphol,LFPB,EHAM,48.965057,2.447768,52.300275,4.778268,213.0,-76.0,output\F-HJJJ\2022-08-29\leg_1\F-HJJJ_baro_2022-08-29_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-21,2022-07-21 16:54:44,2022-07-21 18:29:04,Figari Sud-Corse Airport,Paris-Le Bourget Airport,1h34min,94.32,1595.0,4.1,981.0,FR,FR,Figari Sud-Corse Airport - Paris-Le Bourget Airport,LFKF,LFPB,41.488632,9.07839,48.964575,2.422991,556.0,19.0,output\F-HJJJ\2022-07-21\leg_2\F-HJJJ_baro_2022-07-21_leg_2.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-21,2022-07-21 14:40:26,2022-07-21 15:57:59,Paris-Le Bourget Airport,Figari Sud-Corse Airport,1h18min,77.53,1311.0,3.4,979.0,FR,FR,Paris-Le Bourget Airport - Figari Sud-Corse Airport,LFPB,LFKF,48.968445,2.437556,41.529112,9.136473,48.0,252.0,output\F-HJJJ\2022-07-21\leg_1\F-HJJJ_baro_2022-07-21_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-19,2022-07-19 16:16:13,2022-07-19 17:38:38,Dublin Airport,Paris-Le Bourget Airport,1h22min,82.4,1393.4,3.6,786.0,IE,FR,Dublin Airport - Paris-Le Bourget Airport,EIDW,LFPB,53.422256,-6.286769,48.965413,2.451614,107.0,126.0,output\F-HJJJ\2022-07-19\leg_2\F-HJJJ_baro_2022-07-19_leg_2.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-19,2022-07-19 05:32:01,2022-07-19 07:09:08,Paris-Le Bourget Airport,Dublin Airport,1h37min,97.12,1642.3,4.2,784.0,FR,IE,Paris-Le Bourget Airport - Dublin Airport,LFPB,EIDW,48.9646,2.437838,53.421346,-6.270366,86.0,107.0,output\F-HJJJ\2022-07-19\leg_1\F-HJJJ_baro_2022-07-19_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-18,2022-07-18 15:49:48,2022-07-18 16:31:10,Saint-Nazaire-Montoir Airport,Paris-Le Bourget Airport,41min,41.35,699.2,1.8,389.0,FR,FR,Saint-Nazaire-Montoir Airport - Paris-Le Bourget Airport,LFRZ,LFPB,47.309921,-2.160393,48.968399,2.437204,15.0,15.0,output\F-HJJJ\2022-07-18\leg_2\F-HJJJ_baro_2022-07-18_leg_2.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-18,2022-07-18 15:49:48,2022-07-18 16:31:10,Saint-Nazaire-Montoir Airport,Paris-Le Bourget Airport,41min,41.35,699.2,1.8,389.0,FR,FR,Saint-Nazaire-Montoir Airport - Paris-Le Bourget Airport,LFRZ,LFPB,47.309921,-2.160393,48.968399,2.437204,15.0,15.0,output\F-HJJJ\2022-07-18\leg_2\F-HJJJ_baro_2022-07-18_leg_2.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-18,2022-07-18 14:00:26,2022-07-18 14:49:44,Paris-Le Bourget Airport,Saint-Nazaire-Montoir Airport,49min,49.28,833.3,2.1,388.0,FR,FR,Paris-Le Bourget Airport - Saint-Nazaire-Montoir Airport,LFPB,LFRZ,48.964808,2.443157,47.312576,-2.147415,130.0,0.0,output\F-HJJJ\2022-07-18\leg_1\F-HJJJ_baro_2022-07-18_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-18,2022-07-18 14:00:26,2022-07-18 14:49:44,Paris-Le Bourget Airport,Saint-Nazaire-Montoir Airport,49min,49.28,833.3,2.1,388.0,FR,FR,Paris-Le Bourget Airport - Saint-Nazaire-Montoir Airport,LFPB,LFRZ,48.964808,2.443157,47.312576,-2.147415,130.0,0.0,output\F-HJJJ\2022-07-18\leg_1\F-HJJJ_baro_2022-07-18_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-13,2022-07-13 15:33:44,2022-07-13 16:19:07,Saint-Nazaire-Montoir Airport,Paris-Le Bourget Airport,45min,45.37,767.2,2.0,387.0,FR,FR,Saint-Nazaire-Montoir Airport - Paris-Le Bourget Airport,LFRZ,LFPB,47.311935,-2.150574,48.964295,2.431665,-18.0,8.0,output\F-HJJJ\2022-07-13\leg_2\F-HJJJ_baro_2022-07-13_leg_2.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-13,2022-07-13 14:24:24,2022-07-13 15:04:13,Paris-Le Bourget Airport,Saint-Nazaire-Montoir Airport,40min,39.8,673.0,1.7,389.0,FR,FR,Paris-Le Bourget Airport - Saint-Nazaire-Montoir Airport,LFPB,LFRZ,48.97314,2.455011,47.312343,-2.148391,15.0,-53.0,output\F-HJJJ\2022-07-13\leg_1\F-HJJJ_baro_2022-07-13_leg_1.csv
