propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HJMA,39A580,2022-10-01,2022-10-01 15:06:12,2022-10-01 16:24:26,Cannes-Mandelieu Airport,Paris-Le Bourget Airport,1h18min,78.23,1545.8,4.0,695.0,FR,FR,Cannes-Mandelieu Airport - Paris-Le Bourget Airport,LFMD,LFPB,43.54771,6.950945,48.964645,2.438331,-20.0,34.0,output\F-HJMA\2022-10-01\leg_2\F-HJMA_baro_2022-10-01_leg_2.csv
avion de location Valljet,F-HJMA,39A580,2022-09-28,2022-09-28 13:00:06,2022-09-28 14:10:07,Milano Linate Airport,Paris-Le Bourget Airport,1h10min,70.02,1383.6,3.6,649.0,IT,FR,Milano Linate Airport - Paris-Le Bourget Airport,LIML,LFPB,45.44101,9.277496,48.965133,2.447132,251.0,172.0,output\F-HJMA\2022-09-28\leg_1\F-HJMA_baro_2022-09-28_leg_1.csv
avion de location Valljet,F-HJMA,39A580,2022-09-27,2022-09-27 08:24:47,2022-09-27 09:26:01,Paris-Le Bourget Airport,Milano Linate Airport,1h01min,61.22,1209.7,3.1,650.0,FR,IT,Paris-Le Bourget Airport - Milano Linate Airport,LFPB,LIML,48.967346,2.43326,45.442386,9.277351,239.0,213.0,output\F-HJMA\2022-09-27\leg_1\F-HJMA_baro_2022-09-27_leg_1.csv
avion de location Valljet,F-HJMA,39A580,2022-09-24,2022-09-24 13:43:05,2022-09-24 14:47:00,Milano Linate Airport,Paris-Le Bourget Airport,1h04min,63.92,1263.1,3.2,649.0,IT,FR,Milano Linate Airport - Paris-Le Bourget Airport,LIML,LFPB,45.442795,9.2773,48.965133,2.44706,79.0,80.0,output\F-HJMA\2022-09-24\leg_3\F-HJMA_baro_2022-09-24_leg_3.csv
avion de location Valljet,F-HJMA,39A580,2022-09-24,2022-09-24 08:14:46,2022-09-24 08:42:18,Firenze-Peretola Airport,Milano Linate Airport,28min,27.53,544.0,1.4,237.0,IT,IT,Firenze-Peretola Airport - Milano Linate Airport,LIRQ,LIML,43.807571,11.201328,45.434332,9.278222,-10.0,80.0,output\F-HJMA\2022-09-24\leg_2\F-HJMA_baro_2022-09-24_leg_2.csv
avion de location Valljet,F-HJMA,39A580,2022-09-24,2022-09-24 05:40:50,2022-09-24 06:04:07,Bologna Guglielmo Marconi Airport,Firenze-Peretola Airport,23min,23.27,459.8,1.2,81.0,IT,IT,Bologna Guglielmo Marconi Airport - Firenze-Peretola Airport,LIPE,LIRQ,44.53093,11.302185,43.808441,11.202542,185.0,-12.0,output\F-HJMA\2022-09-24\leg_1\F-HJMA_baro_2022-09-24_leg_1.csv
avion de location Valljet,F-HJMA,39A580,2022-09-23,2022-09-23 06:47:35,2022-09-23 08:02:19,Paris-Le Bourget Airport,Bologna Guglielmo Marconi Airport,1h15min,74.73,1476.7,3.8,830.0,FR,IT,Paris-Le Bourget Airport - Bologna Guglielmo Marconi Airport,LFPB,LIPE,48.965459,2.452192,44.556015,11.231493,124.0,198.0,output\F-HJMA\2022-09-23\leg_1\F-HJMA_baro_2022-09-23_leg_1.csv
avion de location Valljet,F-HJMA,39A580,2022-09-22,2022-09-22 07:01:17,2022-09-22 07:17:18,Aerodrome de Pontoise - Cormeilles en Vexin,Paris-Le Bourget Airport,16min,16.02,316.6,0.8,31.0,FR,FR,Aerodrome de Pontoise - Cormeilles en Vexin - Paris-Le Bourget Airport,LFPT,LFPB,49.099716,2.045192,48.962128,2.414034,173.0,38.0,output\F-HJMA\2022-09-22\leg_1\F-HJMA_baro_2022-09-22_leg_1.csv
avion de location Valljet,F-HJMA,39A580,2022-09-21,2022-09-21 21:32:22,2022-09-21 22:54:40,Milano Linate Airport,Aerodrome de Pontoise - Cormeilles en Vexin,1h22min,82.28,1625.9,4.2,682.0,IT,FR,Milano Linate Airport - Aerodrome de Pontoise - Cormeilles en Vexin,LIML,LFPT,45.442526,9.277351,49.08589,2.024665,51.0,26.0,output\F-HJMA\2022-09-21\leg_2\F-HJMA_baro_2022-09-21_leg_2.csv
avion de location Valljet,F-HJMA,39A580,2022-09-21,2022-09-21 06:35:16,2022-09-21 07:40:04,Paris-Le Bourget Airport,Milano Linate Airport,1h05min,64.8,1280.4,3.3,648.0,FR,IT,Paris-Le Bourget Airport - Milano Linate Airport,LFPB,LIML,48.965133,2.447277,45.445877,9.276949,-5.0,30.0,output\F-HJMA\2022-09-21\leg_1\F-HJMA_baro_2022-09-21_leg_1.csv
avion de location Valljet,F-HJMA,39A580,2022-09-08,2022-09-08 17:16:04,2022-09-08 18:06:36,London Biggin Hill Airport,Paris-Le Bourget Airport,51min,50.53,998.5,2.6,315.0,GB,FR,London Biggin Hill Airport - Paris-Le Bourget Airport,EGKB,LFPB,51.333525,0.034409,48.965149,2.447345,244.0,106.0,output\F-HJMA\2022-09-08\leg_1\F-HJMA_baro_2022-09-08_leg_1.csv
