propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe Bouygues,F-HMBY,39b038,2022-09-30,2022-09-30 12:47:52,2022-09-30 14:29:46,Budapest Liszt Ferenc International Airport,Paris-Le Bourget Airport,1h42min,101.88,3097.2,8.0,1258.0,HU,FR,Budapest Liszt Ferenc International Airport - Paris-Le Bourget Airport,LHBP,LFPB,47.433425,19.245512,48.964874,2.442486,137.0,76.0,output\F-HMBY\2022-09-30\leg_1\F-HMBY_baro_2022-09-30_leg_1.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-09-28,2022-09-28 14:53:05,2022-09-28 16:24:42,Paris-Le Bourget Airport,Budapest Liszt Ferenc International Airport,1h32min,91.62,2785.2,7.2,1257.0,FR,HU,Paris-Le Bourget Airport - Budapest Liszt Ferenc International Airport,LFPB,LHBP,48.968346,2.43723,47.444275,19.227997,223.0,221.0,output\F-HMBY\2022-09-28\leg_1\F-HMBY_baro_2022-09-28_leg_1.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-09-25,2022-09-25 09:32:41,2022-09-25 15:15:50,A/C in cruise,Paris-Le Bourget Airport,5h43min,343.13,10431.2,26.9,4246.0,A/C in cruise,FR,A/C in cruise - Paris-Le Bourget Airport,A/C in cruise,LFPB,39.717682,55.255081,48.962201,2.414318,13106.0,80.0,output\F-HMBY\2022-09-25\leg_1\F-HMBY_baro_2022-09-25_leg_1.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-09-24,2022-09-24 11:02:51,2022-09-24 15:26:06,Paris-Le Bourget Airport,A/C in cruise,4h23min,263.25,8002.8,20.6,4068.0,FR,A/C in cruise,Paris-Le Bourget Airport - A/C in cruise,LFPB,A/C in cruise,48.968858,2.438965,39.483902,52.649828,132.0,13716.0,output\F-HMBY\2022-09-24\leg_1\F-HMBY_baro_2022-09-24_leg_1.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-09-21,2022-09-21 10:30:39,2022-09-21 16:57:15,Port Bouet Airport,Paris-Le Bourget Airport,6h27min,386.6,11752.6,30.3,4880.0,CI,FR,Port Bouet Airport - Paris-Le Bourget Airport,DIAP,LFPB,5.266687,-3.923634,48.963364,2.418612,-15.0,15.0,output\F-HMBY\2022-09-21\leg_1\F-HMBY_baro_2022-09-21_leg_1.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-09-19,2022-09-19 06:00:38,2022-09-19 12:09:18,Paris-Le Bourget Airport,Port Bouet Airport,6h09min,368.67,11207.6,28.9,4881.0,FR,CI,Paris-Le Bourget Airport - Port Bouet Airport,LFPB,DIAP,48.969727,2.442204,5.26712,-3.923469,-18.0,-8.0,output\F-HMBY\2022-09-19\leg_1\F-HMBY_baro_2022-09-19_leg_1.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-09-08,2022-09-08 14:26:21,2022-09-08 15:37:49,Karlovy Vary International Airport,Paris-Le Bourget Airport,1h11min,71.47,2172.7,5.6,770.0,CZ,FR,Karlovy Vary International Airport - Paris-Le Bourget Airport,LKKV,LFPB,50.201019,12.922452,48.964854,2.442434,610.0,92.0,output\F-HMBY\2022-09-08\leg_2\F-HMBY_baro_2022-09-08_leg_2.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-09-08,2022-09-08 06:13:56,2022-09-08 07:18:52,Paris-Le Bourget Airport,Karlovy Vary International Airport,1h05min,64.93,1973.9,5.1,769.0,FR,CZ,Paris-Le Bourget Airport - Karlovy Vary International Airport,LFPB,LKKV,48.96936,2.440866,50.204132,12.911248,158.0,610.0,output\F-HMBY\2022-09-08\leg_1\F-HMBY_baro_2022-09-08_leg_1.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-08-30,2022-08-30 17:36:40,2022-08-30 18:44:19,Munich Airport,Paris-Le Bourget Airport,1h08min,67.65,2056.6,5.3,693.0,DE,FR,Munich Airport - Paris-Le Bourget Airport,EDDM,LFPB,48.364191,11.785728,48.962387,2.414968,442.0,68.0,output\F-HMBY\2022-08-30\leg_1\F-HMBY_baro_2022-08-30_leg_1.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-08-29,2022-08-29 17:09:23,2022-08-29 17:39:54,Zurich Airport,Munich Airport,30min,30.5,927.2,2.4,258.0,CH,DE,Zurich Airport - Munich Airport,LSZH,EDDM,47.457138,8.563225,48.341287,11.759202,381.0,396.0,output\F-HMBY\2022-08-29\leg_3\F-HMBY_baro_2022-08-29_leg_3.csv
