propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HMSG,39B246,2022-07-06,2022-07-06 14:55:24.336000+00:00,2022-07-06 15:49:24.736000+00:00,Chambery-Savoie Airport,Paris-Le Bourget Airport,54min,54.0,478.8,1.2,448.0,FR,FR,Chambery-Savoie Airport - Paris-Le Bourget Airport,LFLB,LFPB,45.677902,5.876078,48.964554,2.43657,1148.0,-46.0,output\F-HMSG\2022-07-06\leg_2\F-HMSG_baro_2022-07-06_leg_2.csv
avion de location Valljet,F-HMSG,39B246,2022-07-06,2022-07-06 05:25:00.436000+00:00,2022-07-06 06:19:18.436000+00:00,Paris-Le Bourget Airport,Chambery-Savoie Airport,54min,54.3,481.5,1.2,444.0,FR,FR,Paris-Le Bourget Airport - Chambery-Savoie Airport,LFPB,LFLB,48.972244,2.451641,45.727937,5.872398,-58.0,900.0,output\F-HMSG\2022-07-06\leg_1\F-HMSG_baro_2022-07-06_leg_1.csv
avion de location Valljet,F-HMSG,39B246,2022-07-05,2022-07-05 16:58:27.034000+00:00,2022-07-05 18:32:16.133000+00:00,Bologna Guglielmo Marconi Airport,Paris-Le Bourget Airport,1h34min,93.82,831.9,2.1,834.0,IT,FR,Bologna Guglielmo Marconi Airport - Paris-Le Bourget Airport,LIPE,LFPB,44.544434,11.261967,48.964342,2.432604,485.0,-42.0,output\F-HMSG\2022-07-05\leg_2\F-HMSG_baro_2022-07-05_leg_2.csv
avion de location Valljet,F-HMSG,39B246,2022-07-05,2022-07-05 07:08:53.934000+00:00,2022-07-05 08:38:35.734000+00:00,Paris-Le Bourget Airport,Bologna Guglielmo Marconi Airport,1h30min,89.68,795.2,2.0,843.0,FR,IT,Paris-Le Bourget Airport - Bologna Guglielmo Marconi Airport,LFPB,LIPE,48.972163,2.451397,44.503098,11.37837,-28.0,446.0,output\F-HMSG\2022-07-05\leg_1\F-HMSG_baro_2022-07-05_leg_1.csv
avion de location Valljet,F-HMSG,39B246,2022-07-04,2022-07-04 15:49:56.824000+00:00,2022-07-04 16:28:17.124000+00:00,Ostend-Bruges International Airport,Paris-Le Bourget Airport,38min,38.33,339.9,0.9,250.0,BE,FR,Ostend-Bruges International Airport - Paris-Le Bourget Airport,EBOS,LFPB,51.197639,2.860641,48.964462,2.434528,79.0,-15.0,output\F-HMSG\2022-07-04\leg_4\F-HMSG_baro_2022-07-04_leg_4.csv
avion de location Valljet,F-HMSG,39B246,2022-07-04,2022-07-04 13:02:23.724000+00:00,2022-07-04 14:47:18.524000+00:00,Le Castellet Airport,Ostend-Bruges International Airport,1h45min,104.9,930.1,2.4,914.0,FR,BE,Le Castellet Airport - Ostend-Bruges International Airport,LFMQ,EBOS,43.220634,5.805424,51.2043,2.904028,1046.0,23.0,output\F-HMSG\2022-07-04\leg_3\F-HMSG_baro_2022-07-04_leg_3.csv
avion de location Valljet,F-HMSG,39B246,2022-07-04,2022-07-04 10:34:24.724000+00:00,2022-07-04 11:15:04.824000+00:00,Ajaccio-Napoleon Bonaparte Airport,Le Castellet Airport,41min,40.67,360.6,0.9,278.0,FR,FR,Ajaccio-Napoleon Bonaparte Airport - Le Castellet Airport,LFKJ,LFMQ,41.936909,8.582877,43.276611,5.724963,3769.0,720.0,output\F-HMSG\2022-07-04\leg_2\F-HMSG_baro_2022-07-04_leg_2.csv
avion de location Valljet,F-HMSG,39B246,2022-07-04,2022-07-04 08:09:16.224000+00:00,2022-07-04 09:37:43.724000+00:00,Paris-Le Bourget Airport,Ajaccio-Napoleon Bonaparte Airport,1h28min,88.45,784.3,2.0,905.0,FR,FR,Paris-Le Bourget Airport - Ajaccio-Napoleon Bonaparte Airport,LFPB,LFKJ,48.971883,2.45024,42.007324,8.476264,-18.0,1821.0,output\F-HMSG\2022-07-04\leg_1\F-HMSG_baro_2022-07-04_leg_1.csv
avion de location Valljet,F-HMSG,39B246,2022-07-03,2022-07-03 12:32:39.467000+00:00,2022-07-03 13:43:16.267000+00:00,Montpellier-Mediterranee Airport,Paris-Le Bourget Airport,1h11min,70.6,626.0,1.6,610.0,FR,FR,Montpellier-Mediterranee Airport - Paris-Le Bourget Airport,LFMT,LFPB,43.577545,3.972963,48.964389,2.433255,35.0,-15.0,output\F-HMSG\2022-07-03\leg_2\F-HMSG_baro_2022-07-03_leg_2.csv
avion de location Valljet,F-HMSG,39B246,2022-07-03,2022-07-03 09:42:03.667000+00:00,2022-07-03 10:51:58.667000+00:00,Paris-Le Bourget Airport,Montpellier-Mediterranee Airport,1h10min,69.92,620.0,1.6,610.0,FR,FR,Paris-Le Bourget Airport - Montpellier-Mediterranee Airport,LFPB,LFMT,48.972163,2.451324,43.586975,3.954056,5.0,19.0,output\F-HMSG\2022-07-03\leg_1\F-HMSG_baro_2022-07-03_leg_1.csv
avion de location Valljet,F-HMSG,39B246,2022-07-02,2022-07-02 09:44:21.976000+00:00,2022-07-02 10:52:23.976000+00:00,Valence-Chabeuil Airport,Paris-Le Bourget Airport,1h08min,68.03,603.2,1.5,489.0,FR,FR,Valence-Chabeuil Airport - Paris-Le Bourget Airport,LFLU,LFPB,44.916718,4.968969,48.964828,2.441711,107.0,-12.0,output\F-HMSG\2022-07-02\leg_2\F-HMSG_baro_2022-07-02_leg_2.csv
avion de location Valljet,F-HMSG,39B246,2022-07-02,2022-07-02 08:05:32.776000+00:00,2022-07-02 08:42:59.276000+00:00,Nice-Côte d'Azur Airport,Valence-Chabeuil Airport,37min,37.43,331.9,0.9,228.0,FR,FR,Nice-Côte d'Azur Airport - Valence-Chabeuil Airport,LFMN,LFLU,43.665253,7.227599,44.921141,4.96984,198.0,99.0,output\F-HMSG\2022-07-02\leg_1\F-HMSG_baro_2022-07-02_leg_1.csv
