propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HPHX,39BCF7,2022-08-25,2022-08-25 18:08:45.790000+00:00,2022-08-25 19:00:28.670000+00:00,London Luton Airport,Paris-Le Bourget Airport,52min,51.7,818.6,2.1,380.0,GB,FR,London Luton Airport - Paris-Le Bourget Airport,EGGW,LFPB,51.876022,-0.360322,48.964645,2.43812,107.0,30.0,output\F-HPHX\2022-08-25\leg_2\F-HPHX_baro_2022-08-25_leg_2.csv
avion de location Valljet,F-HPHX,39BCF7,2022-08-25,2022-08-25 07:35:44.990000+00:00,2022-08-25 09:13:45+00:00,Marseille Provence Airport,London Luton Airport,1h38min,98.0,1551.7,4.0,1025.0,FR,GB,Marseille Provence Airport - London Luton Airport,LFML,EGGW,43.450462,5.18934,51.873112,-0.377121,505.0,122.0,output\F-HPHX\2022-08-25\leg_1\F-HPHX_baro_2022-08-25_leg_1.csv
avion de location Valljet,F-HPHX,39BCF7,2022-08-24,2022-08-24 14:27:45.960000+00:00,2022-08-24 15:27:23.750000+00:00,Paris-Le Bourget Airport,Marseille Provence Airport,60min,59.62,944.0,2.4,642.0,FR,FR,Paris-Le Bourget Airport - Marseille Provence Airport,LFPB,LFML,48.965645,2.452987,43.494095,5.13349,122.0,541.0,output\F-HPHX\2022-08-24\leg_1\F-HPHX_baro_2022-08-24_leg_1.csv
avion de location Valljet,F-HPHX,39BCF7,2022-08-21,2022-08-21 16:38:06.760000+00:00,2022-08-21 18:18:43.090000+00:00,Olbia Costa Smeralda Airport,Paris-Le Bourget Airport,1h41min,100.6,1592.8,4.1,1056.0,IT,FR,Olbia Costa Smeralda Airport - Paris-Le Bourget Airport,LIEO,LFPB,40.862111,9.448492,48.965133,2.447421,1539.0,64.0,output\F-HPHX\2022-08-21\leg_2\F-HPHX_baro_2022-08-21_leg_2.csv
avion de location Valljet,F-HPHX,39BCF7,2022-08-21,2022-08-21 15:02:19.270000+00:00,2022-08-21 15:23:07.790000+00:00,Figari Sud-Corse Airport,Olbia Costa Smeralda Airport,21min,20.8,329.3,0.8,72.0,FR,IT,Figari Sud-Corse Airport - Olbia Costa Smeralda Airport,LFKF,LIEO,41.403653,8.980685,40.905487,9.530762,2687.0,58.0,output\F-HPHX\2022-08-21\leg_1\F-HPHX_baro_2022-08-21_leg_1.csv
avion de location Valljet,F-HPHX,39BCF7,2022-08-20,2022-08-20 10:40:24.240000+00:00,2022-08-20 11:24:25.750000+00:00,Marseille Provence Airport,Figari Sud-Corse Airport,44min,44.02,697.0,1.8,389.0,FR,FR,Marseille Provence Airport - Figari Sud-Corse Airport,LFML,LFKF,43.447809,5.198168,41.556519,9.187379,475.0,694.0,output\F-HPHX\2022-08-20\leg_2\F-HPHX_baro_2022-08-20_leg_2.csv
avion de location Valljet,F-HPHX,39BCF7,2022-08-20,2022-08-20 09:00:10.280000+00:00,2022-08-20 10:06:34.360000+00:00,Paris-Le Bourget Airport,Marseille Provence Airport,1h06min,66.4,1051.3,2.7,655.0,FR,FR,Paris-Le Bourget Airport - Marseille Provence Airport,LFPB,LFML,48.967484,2.434035,43.408585,5.254978,51.0,297.0,output\F-HPHX\2022-08-20\leg_1\F-HPHX_baro_2022-08-20_leg_1.csv
avion de location Valljet,F-HPHX,39BCF7,2022-08-19,2022-08-19 05:10:40.050000+00:00,2022-08-19 07:49:55.410000+00:00,Lennart Meri Tallinn Airport,Paris-Le Bourget Airport,2h39min,159.25,2521.5,6.5,1853.0,EE,FR,Lennart Meri Tallinn Airport - Paris-Le Bourget Airport,EETN,LFPB,59.413271,24.841319,48.964645,2.43812,56.0,15.0,output\F-HPHX\2022-08-19\leg_1\F-HPHX_baro_2022-08-19_leg_1.csv
avion de location Valljet,F-HPHX,39BCF7,2022-08-16,2022-08-16 14:39:47.096000+00:00,2022-08-16 17:49:05.135000+00:00,Reykjavik Airport,Lennart Meri Tallinn Airport,3h09min,189.3,2997.2,7.7,2463.0,IS,EE,Reykjavik Airport - Lennart Meri Tallinn Airport,BIRK,EETN,64.135345,-21.938852,59.413318,24.807034,38.0,61.0,output\F-HPHX\2022-08-16\leg_3\F-HPHX_baro_2022-08-16_leg_3.csv
avion de location Valljet,F-HPHX,39BCF7,2022-08-16,2022-08-16 10:18:32.646000+00:00,2022-08-16 13:17:58.536000+00:00,Brussels Airport,Reykjavik Airport,2h59min,179.42,2840.8,7.3,2133.0,BE,IS,Brussels Airport - Reykjavik Airport,EBBR,BIRK,50.909592,4.492592,64.123077,-21.936528,61.0,-12.0,output\F-HPHX\2022-08-16\leg_2\F-HPHX_baro_2022-08-16_leg_2.csv
