propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HREX,39C497,2022-08-13,2022-08-13 22:56:50,2022-08-14 02:21:10,Gran Canaria Airport,Paris-Le Bourget Airport,3h24min,204.33,3765.8,9.7,2715.0,ES,FR,Gran Canaria Airport - Paris-Le Bourget Airport,GCLP,LFPB,28.517899,-14.997077,48.967392,2.433472,5202.0,137.0,output\F-HREX\2022-08-13\leg_3\F-HREX_baro_2022-08-13_leg_3_merged.csv
avion de location Valljet,F-HREX,39C497,2022-08-13,2022-08-13 16:55:53,2022-08-13 21:31:16,Verona Villafranca Airport,Gran Canaria Airport,4h35min,275.38,5075.3,13.0,3031.0,IT,ES,Verona Villafranca Airport - Gran Canaria Airport,LIPX,GCLP,45.394716,10.887049,27.839262,-15.427234,127.0,503.0,output\F-HREX\2022-08-13\leg_2\F-HREX_baro_2022-08-13_leg_2.csv
avion de location Valljet,F-HREX,39C497,2022-08-13,2022-08-13 14:21:01,2022-08-13 15:43:40,Vincenzo Florio Airport Trapani-Birgi,Verona Villafranca Airport,1h23min,82.63,1522.9,3.9,841.0,IT,IT,Vincenzo Florio Airport Trapani-Birgi - Verona Villafranca Airport,LICT,LIPX,37.909349,12.491395,45.387222,10.876197,23.0,110.0,output\F-HREX\2022-08-13\leg_1\F-HREX_baro_2022-08-13_leg_1.csv
avion de location Valljet,F-HREX,39C497,2022-08-11,2022-08-11 12:45:16,2022-08-11 13:19:50,Catania-Fontanarossa Airport,Vincenzo Florio Airport Trapani-Birgi,35min,34.55,636.8,1.6,232.0,IT,IT,Catania-Fontanarossa Airport - Vincenzo Florio Airport Trapani-Birgi,LICC,LICT,37.466591,15.064107,37.909698,12.490695,38.0,8.0,output\F-HREX\2022-08-11\leg_3\F-HREX_baro_2022-08-11_leg_3.csv
avion de location Valljet,F-HREX,39C497,2022-08-11,2022-08-11 09:42:08,2022-08-11 11:07:35,Nice-Côte d'Azur Airport,Catania-Fontanarossa Airport,1h25min,85.45,1574.8,4.0,951.0,FR,IT,Nice-Côte d'Azur Airport - Catania-Fontanarossa Airport,LFMN,LICC,43.659202,7.276154,37.465753,15.054076,838.0,34.0,output\F-HREX\2022-08-11\leg_2\F-HREX_baro_2022-08-11_leg_2.csv
avion de location Valljet,F-HREX,39C497,2022-08-11,2022-08-11 07:12:07,2022-08-11 08:25:09,Paris-Le Bourget Airport,Nice-Côte d'Azur Airport,1h13min,73.02,1345.8,3.5,695.0,FR,FR,Paris-Le Bourget Airport - Nice-Côte d'Azur Airport,LFPB,LFMN,48.96518,2.449156,43.63709,7.183947,109.0,126.0,output\F-HREX\2022-08-11\leg_1\F-HREX_baro_2022-08-11_leg_1.csv
avion de location Valljet,F-HREX,39C497,2022-08-10,2022-08-10 16:07:11,2022-08-10 17:24:30,Cannes-Mandelieu Airport,Paris-Le Bourget Airport,1h17min,77.3,1424.6,3.7,696.0,FR,FR,Cannes-Mandelieu Airport - Paris-Le Bourget Airport,LFMD,LFPB,43.548065,6.950833,48.962173,2.413964,-23.0,57.0,output\F-HREX\2022-08-10\leg_2\F-HREX_baro_2022-08-10_leg_2.csv
avion de location Valljet,F-HREX,39C497,2022-08-10,2022-08-10 08:37:52,2022-08-10 09:52:55,Paris-Le Bourget Airport,Cannes-Mandelieu Airport,1h15min,75.03,1382.8,3.5,695.0,FR,FR,Paris-Le Bourget Airport - Cannes-Mandelieu Airport,LFPB,LFMD,48.96524,2.445655,43.548036,6.95088,86.0,-38.0,output\F-HREX\2022-08-10\leg_1\F-HREX_baro_2022-08-10_leg_1.csv
avion de location Valljet,F-HREX,39C497,2022-08-09,2022-08-09 09:19:56,2022-08-09 10:45:52,Barcelona International Airport,Paris-Le Bourget Airport,1h26min,85.93,1583.7,4.1,854.0,ES,FR,Barcelona International Airport - Paris-Le Bourget Airport,LEBL,LFPB,41.284806,2.081722,48.963876,2.420389,-30.0,-4.0,output\F-HREX\2022-08-09\leg_2\F-HREX_baro_2022-08-09_leg_2.csv
avion de location Valljet,F-HREX,39C497,2022-08-09,2022-08-09 06:42:20,2022-08-09 07:55:47,Saint-Nazaire-Montoir Airport,Barcelona International Airport,1h13min,73.45,1353.7,3.5,748.0,FR,ES,Saint-Nazaire-Montoir Airport - Barcelona International Airport,LFRZ,LEBL,47.311935,-2.150505,41.300633,2.088776,-73.0,-34.0,output\F-HREX\2022-08-09\leg_1\F-HREX_baro_2022-08-09_leg_1.csv
