propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
Valljet,F-HRIB,39C501,2022-08-29,2022-08-29 16:48:32.893000+00:00,2022-08-29 17:37:46.724000+00:00,Genoa Cristoforo Colombo Airport,Lyon-Bron Airport,49min,49.22,417.7,1.1,340.0,IT,FR,Genoa Cristoforo Colombo Airport - Lyon-Bron Airport,LIMJ,LFLY,44.367783,8.806,45.734687,4.941032,1371.0,218.0,output\F-HRIB\2022-08-29\leg_2\F-HRIB_baro_2022-08-29_leg_2.csv
Valljet,F-HRIB,39C501,2022-08-29,2022-08-29 15:01:44.454000+00:00,2022-08-29 15:35:18.294000+00:00,Milan Malpensa International Airport,Genoa Cristoforo Colombo Airport,34min,33.55,284.7,0.7,148.0,IT,IT,Milan Malpensa International Airport - Genoa Cristoforo Colombo Airport,LIMC,LIMJ,45.634186,8.717986,44.361629,9.269245,206.0,1954.0,output\F-HRIB\2022-08-29\leg_1\F-HRIB_baro_2022-08-29_leg_1.csv
Valljet,F-HRIB,39C501,2022-08-28,2022-08-28 09:36:01.960000+00:00,2022-08-28 10:16:03.690000+00:00,Nice-Côte d'Azur Airport,Milan Malpensa International Airport,40min,40.02,339.6,0.9,251.0,FR,IT,Nice-Côte d'Azur Airport - Milan Malpensa International Airport,LFMN,LIMC,43.651978,7.204029,45.63414,8.717115,8.0,213.0,output\F-HRIB\2022-08-28\leg_1\F-HRIB_baro_2022-08-28_leg_1.csv
Valljet,F-HRIB,39C501,2022-08-27,2022-08-27 13:49:38.680000+00:00,2022-08-27 15:35:57.730000+00:00,Lille-Lesquin Airport,Nice-Côte d'Azur Airport,1h46min,106.32,902.3,2.3,828.0,FR,FR,Lille-Lesquin Airport - Nice-Côte d'Azur Airport,LFQQ,LFMN,50.568253,3.122641,43.654449,7.20767,216.0,34.0,output\F-HRIB\2022-08-27\leg_3\F-HRIB_baro_2022-08-27_leg_3.csv
Valljet,F-HRIB,39C501,2022-08-27,2022-08-27 10:40:47.410000+00:00,2022-08-27 12:41:34.900000+00:00,Figari Sud-Corse Airport,Lille-Lesquin Airport,2h01min,120.78,1025.0,2.6,1114.0,FR,FR,Figari Sud-Corse Airport - Lille-Lesquin Airport,LFKF,LFQQ,41.444573,9.054651,50.559769,3.061716,1250.0,110.0,output\F-HRIB\2022-08-27\leg_2\F-HRIB_baro_2022-08-27_leg_2.csv
Valljet,F-HRIB,39C501,2022-08-27,2022-08-27 08:10:02.670000+00:00,2022-08-27 09:52:05.590000+00:00,Biarritz-Anglet-Bayonne Airport,Figari Sud-Corse Airport,1h42min,102.03,865.9,2.2,907.0,FR,FR,Biarritz-Anglet-Bayonne Airport - Figari Sud-Corse Airport,LFBZ,LFKF,43.439802,-1.604919,41.527313,9.133759,1344.0,251.0,output\F-HRIB\2022-08-27\leg_1\F-HRIB_baro_2022-08-27_leg_1.csv
Valljet,F-HRIB,39C501,2022-08-24,2022-08-24 17:20:02.120000+00:00,2022-08-24 18:56:34.680000+00:00,Geneva Cointrin International Airport,Biarritz-Anglet-Bayonne Airport,1h37min,96.53,819.2,2.1,661.0,CH,FR,Geneva Cointrin International Airport - Biarritz-Anglet-Bayonne Airport,LSGG,LFBZ,46.237358,6.099953,43.468618,-1.307438,396.0,777.0,output\F-HRIB\2022-08-24\leg_2\F-HRIB_baro_2022-08-24_leg_2.csv
Valljet,F-HRIB,39C501,2022-08-24,2022-08-24 15:18:35.020000+00:00,2022-08-24 16:22:40.060000+00:00,Paris-Le Bourget Airport,Geneva Cointrin International Airport,1h04min,64.08,543.8,1.4,408.0,FR,CH,Paris-Le Bourget Airport - Geneva Cointrin International Airport,LFPB,LSGG,48.965832,2.460938,46.237381,6.100025,353.0,396.0,output\F-HRIB\2022-08-24\leg_1\F-HRIB_baro_2022-08-24_leg_1.csv
Valljet,F-HRIB,39C501,2022-07-05,2022-07-05 18:26:24.100000+00:00,2022-07-05 19:29:22.700000+00:00,Brussels Airport,Paris-Le Bourget Airport,1h03min,62.97,534.4,1.4,260.0,BE,FR,Brussels Airport - Paris-Le Bourget Airport,EBBR,LFPB,50.897141,4.47151,48.963364,2.446482,-53.0,-38.0,output\F-HRIB\2022-07-05\leg_3\F-HRIB_baro_2022-07-05_leg_3.csv
Valljet,F-HRIB,39C501,2022-07-05,2022-07-05 13:21:03.400000+00:00,2022-07-05 14:51:12.700000+00:00,Geneva Cointrin International Airport,Brussels Airport,1h30min,90.15,765.1,2.0,532.0,CH,BE,Geneva Cointrin International Airport - Brussels Airport,LSGG,EBBR,46.23666,6.099953,50.897049,4.47151,358.0,-46.0,output\F-HRIB\2022-07-05\leg_2\F-HRIB_baro_2022-07-05_leg_2.csv
