long,lat,elevation,time
2.442064,48.969681,38,2022-08-01T14:06:21.890Z
2.438098,48.968578,76,2022-08-01T14:06:25.880Z
2.434773,48.967647,114,2022-08-01T14:06:28.830Z
2.431665,48.966856,160,2022-08-01T14:06:31.830Z
2.429669,48.966293,191,2022-08-01T14:06:33.540Z
2.428051,48.965878,221,2022-08-01T14:06:35.050Z
2.427063,48.965561,244,2022-08-01T14:06:36.040Z
2.424943,48.964994,274,2022-08-01T14:06:37.720Z
2.423714,48.964668,305,2022-08-01T14:06:38.900Z
2.422204,48.964233,335,2022-08-01T14:06:40.410Z
2.420373,48.96373,366,2022-08-01T14:06:41.980Z
2.418871,48.963318,396,2022-08-01T14:06:43.320Z
2.417137,48.962806,434,2022-08-01T14:06:44.880Z
2.415041,48.962247,472,2022-08-01T14:06:46.920Z
2.413823,48.961899,495,2022-08-01T14:06:48.040Z
2.412626,48.961578,526,2022-08-01T14:06:49.140Z
2.411006,48.961121,549,2022-08-01T14:06:50.600Z
2.409475,48.960711,579,2022-08-01T14:06:52.090Z
2.408119,48.960297,610,2022-08-01T14:06:53.530Z
2.406656,48.95992,640,2022-08-01T14:06:54.880Z
2.404809,48.959427,671,2022-08-01T14:06:56.750Z
2.403259,48.958969,693,2022-08-01T14:06:58.360Z
2.401814,48.95857,724,2022-08-01T14:06:59.680Z
2.400442,48.958145,754,2022-08-01T14:07:01.150Z
2.398893,48.957733,785,2022-08-01T14:07:02.630Z
2.397477,48.957313,808,2022-08-01T14:07:04.100Z
2.396031,48.956894,838,2022-08-01T14:07:05.680Z
2.394514,48.956475,869,2022-08-01T14:07:07.160Z
2.392907,48.955948,899,2022-08-01T14:07:09.010Z
2.391189,48.955451,930,2022-08-01T14:07:10.970Z
2.389174,48.954895,960,2022-08-01T14:07:13.130Z
2.387343,48.954346,991,2022-08-01T14:07:15.190Z
2.385406,48.953775,1021,2022-08-01T14:07:17.220Z
2.383672,48.953263,1052,2022-08-01T14:07:19.200Z
2.381991,48.952789,1082,2022-08-01T14:07:21.190Z
2.38013,48.952238,1113,2022-08-01T14:07:23.400Z
2.377962,48.951587,1143,2022-08-01T14:07:25.720Z
2.376299,48.951075,1173,2022-08-01T14:07:27.680Z
2.37361,48.950226,1204,2022-08-01T14:07:31.060Z
2.371005,48.949448,1234,2022-08-01T14:07:33.530Z
2.368681,48.948715,1257,2022-08-01T14:07:35.870Z
2.367409,48.948281,1280,2022-08-01T14:07:37.370Z
2.365159,48.947617,1303,2022-08-01T14:07:39.480Z
2.363117,48.946976,1326,2022-08-01T14:07:41.440Z
2.360652,48.946243,1356,2022-08-01T14:07:43.750Z
2.358398,48.945557,1387,2022-08-01T14:07:45.940Z
2.355555,48.944697,1417,2022-08-01T14:07:48.440Z
2.353469,48.944046,1448,2022-08-01T14:07:50.310Z
2.351215,48.943405,1478,2022-08-01T14:07:52.340Z
2.348617,48.942602,1509,2022-08-01T14:07:54.610Z
2.346665,48.941997,1539,2022-08-01T14:07:56.140Z
2.34428,48.941252,1570,2022-08-01T14:07:58.160Z
2.341989,48.940567,1600,2022-08-01T14:07:59.950Z
2.339293,48.939762,1631,2022-08-01T14:08:01.980Z
2.336848,48.939011,1661,2022-08-01T14:08:03.900Z
2.334876,48.938416,1684,2022-08-01T14:08:05.430Z
2.333005,48.937854,1715,2022-08-01T14:08:06.850Z
2.330258,48.937016,1745,2022-08-01T14:08:08.930Z
2.328162,48.936364,1775,2022-08-01T14:08:10.540Z
2.325651,48.935577,1806,2022-08-01T14:08:12.310Z
2.323753,48.935014,1836,2022-08-01T14:08:13.670Z
2.320651,48.934067,1867,2022-08-01T14:08:15.800Z
2.318621,48.933431,1897,2022-08-01T14:08:17.330Z
2.31573,48.932547,1928,2022-08-01T14:08:19.260Z
2.313678,48.931915,1958,2022-08-01T14:08:20.670Z
2.31161,48.931243,1981,2022-08-01T14:08:22.160Z
2.309225,48.930499,2012,2022-08-01T14:08:23.610Z
2.307058,48.929855,2035,2022-08-01T14:08:25.100Z
2.304664,48.929077,2065,2022-08-01T14:08:26.670Z
2.302199,48.928299,2088,2022-08-01T14:08:28.170Z
2.299395,48.927426,2118,2022-08-01T14:08:30.060Z
2.293685,48.925611,2179,2022-08-01T14:08:33.600Z
2.290433,48.924586,2217,2022-08-01T14:08:35.600Z
2.28718,48.923516,2256,2022-08-01T14:08:37.680Z
2.282903,48.922028,2286,2022-08-01T14:08:40.170Z
2.279157,48.920629,2316,2022-08-01T14:08:42.560Z
2.276424,48.91951,2339,2022-08-01T14:08:44.210Z
2.272621,48.917679,2362,2022-08-01T14:08:46.700Z
2.268388,48.915183,2385,2022-08-01T14:08:49.660Z
2.26431,48.912277,2400,2022-08-01T14:08:52.740Z
2.260648,48.909027,2416,2022-08-01T14:08:55.870Z
2.25769,48.905733,2423,2022-08-01T14:08:58.810Z
2.255437,48.902573,2431,2022-08-01T14:09:01.480Z
2.253498,48.898936,2438,2022-08-01T14:09:04.400Z
2.252056,48.895111,2438,2022-08-01T14:09:07.390Z
2.251352,48.891357,2438,2022-08-01T14:09:10.430Z
2.251113,48.887484,2438,2022-08-01T14:09:13.360Z
2.251547,48.881665,2446,2022-08-01T14:09:17.590Z
2.25424,48.859543,2446,2022-08-01T14:09:34.170Z
2.255014,48.854233,2446,2022-08-01T14:09:38.370Z
2.255507,48.852081,2454,2022-08-01T14:09:39.820Z
2.256352,48.849472,2461,2022-08-01T14:09:41.800Z
2.257127,48.847778,2469,2022-08-01T14:09:43.180Z
2.258113,48.845764,2484,2022-08-01T14:09:44.680Z
2.259208,48.844004,2499,2022-08-01T14:09:46.120Z
2.260155,48.842697,2515,2022-08-01T14:09:47.110Z
2.261705,48.84082,2537,2022-08-01T14:09:48.550Z
2.26255,48.839859,2553,2022-08-01T14:09:49.540Z
2.263958,48.838394,2576,2022-08-01T14:09:50.700Z
2.26748,48.83519,2629,2022-08-01T14:09:53.530Z
2.271142,48.83226,2690,2022-08-01T14:09:56.360Z
2.275931,48.828918,2751,2022-08-01T14:09:59.510Z
2.28086,48.825943,2812,2022-08-01T14:10:02.670Z
2.286746,48.823056,2873,2022-08-01T14:10:06.140Z
2.292128,48.820816,2934,2022-08-01T14:10:09.110Z
2.29766,48.818866,2987,2022-08-01T14:10:12.070Z
2.303608,48.817245,3048,2022-08-01T14:10:15.030Z
2.306918,48.816467,3078,2022-08-01T14:10:16.720Z
2.324476,48.814165,3231,2022-08-01T14:10:25.370Z
2.331144,48.813904,3284,2022-08-01T14:10:27.770Z
2.337847,48.813885,3345,2022-08-01T14:10:30.930Z
2.34375,48.813904,3399,2022-08-01T14:10:33.560Z
2.350641,48.813978,3459,2022-08-01T14:10:36.580Z
2.357483,48.814041,3513,2022-08-01T14:10:39.410Z
