propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-09-21,2022-09-21 12:59:28,2022-09-21 13:37:26,Luxembourg-Findel International Airport,Paris-Le Bourget Airport,38min,37.97,769.5,2.0,283.0,LU,FR,Luxembourg-Findel International Airport - Paris-Le Bourget Airport,ELLX,LFPB,49.620775,6.196289,48.968392,2.437086,264.0,-16.0,output\F-HVBL\2022-09-21\leg_2\F-HVBL_baro_2022-09-21_leg_2.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-09-21,2022-09-21 06:20:46,2022-09-21 06:53:18,Paris-Le Bourget Airport,Luxembourg-Findel International Airport,33min,32.53,659.3,1.7,283.0,FR,LU,Paris-Le Bourget Airport - Luxembourg-Findel International Airport,LFPB,ELLX,48.964783,2.440232,49.620822,6.196363,18.0,251.0,output\F-HVBL\2022-09-21\leg_1\F-HVBL_baro_2022-09-21_leg_1.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-09-20,2022-09-20 14:52:02,2022-09-20 15:38:55,Bern Belp Airport,Paris-Le Bourget Airport,47min,46.88,950.1,2.4,441.0,CH,FR,Bern Belp Airport - Paris-Le Bourget Airport,LSZB,LFPB,46.914642,7.496521,48.965133,2.446843,470.0,-26.0,output\F-HVBL\2022-09-20\leg_2\F-HVBL_baro_2022-09-20_leg_2.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-09-20,2022-09-20 12:16:47,2022-09-20 12:58:25,Paris-Le Bourget Airport,Bern Belp Airport,42min,41.63,843.7,2.2,442.0,FR,CH,Paris-Le Bourget Airport - Bern Belp Airport,LFPB,LSZB,48.969463,2.441205,46.906952,7.505859,48.0,454.0,output\F-HVBL\2022-09-20\leg_1\F-HVBL_baro_2022-09-20_leg_1.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-08-28,2022-08-28 14:54:22,2022-08-28 16:07:58,Toulon-Hyères Airport,Paris-Le Bourget Airport,1h14min,73.6,1491.6,3.8,714.0,FR,FR,Toulon-Hyères Airport - Paris-Le Bourget Airport,LFTH,LFPB,43.068604,6.104502,48.961624,2.412062,963.0,80.0,output\F-HVBL\2022-08-28\leg_1\F-HVBL_baro_2022-08-28_leg_1.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-08-08,2022-08-08 16:12:36,2022-08-08 17:20:12,Toulon-Hyères Airport,Paris-Le Bourget Airport,1h08min,67.6,1370.0,3.5,715.0,FR,FR,Toulon-Hyères Airport - Paris-Le Bourget Airport,LFTH,LFPB,43.070389,6.112933,48.962294,2.414535,963.0,23.0,output\F-HVBL\2022-08-08\leg_5\F-HVBL_baro_2022-08-08_leg_5.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-08-08,2022-08-08 14:41:02,2022-08-08 15:36:29,Paris-Le Bourget Airport,Toulon-Hyères Airport,55min,55.45,1123.8,2.9,716.0,FR,FR,Paris-Le Bourget Airport - Toulon-Hyères Airport,LFPB,LFTH,48.964783,2.440796,43.06723,6.180512,51.0,1002.0,output\F-HVBL\2022-08-08\leg_4\F-HVBL_baro_2022-08-08_leg_4.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-08-08,2022-08-08 12:04:45,2022-08-08 13:11:53,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h07min,67.13,1360.5,3.5,696.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.650192,7.207351,48.961689,2.412222,176.0,26.0,output\F-HVBL\2022-08-08\leg_3\F-HVBL_baro_2022-08-08_leg_3.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-08-08,2022-08-08 10:07:21,2022-08-08 11:14:24,Falcone Borsellino Airport,Nice-Côte d'Azur Airport,1h07min,67.05,1358.9,3.5,784.0,IT,FR,Falcone Borsellino Airport - Nice-Côte d'Azur Airport,LICJ,LFMN,38.177948,13.097223,43.647491,7.197961,13.0,58.0,output\F-HVBL\2022-08-08\leg_2\F-HVBL_baro_2022-08-08_leg_2.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-08-08,2022-08-08 06:01:50,2022-08-08 07:52:16,Paris-Le Bourget Airport,Falcone Borsellino Airport,1h50min,110.42,2237.8,5.7,1472.0,FR,IT,Paris-Le Bourget Airport - Falcone Borsellino Airport,LFPB,LICJ,48.964947,2.444892,38.176326,13.092419,74.0,8.0,output\F-HVBL\2022-08-08\leg_1\F-HVBL_baro_2022-08-08_leg_1.csv
