propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe Altice,OE-LDP,440c70,2022-09-14,2022-09-14 10:44:26,2022-09-14 11:34:55,Sion Airport,Paris-Le Bourget Airport,50min,50.48,1470.7,3.8,473.0,CH,FR,Sion Airport - Paris-Le Bourget Airport,LSGS,LFPB,46.15524,7.164391,48.964874,2.442416,2954.0,134.0,output\OE-LDP\2022-09-14\leg_2\OE-LDP_baro_2022-09-14_leg_2.csv
avion du groupe Altice,OE-LDP,440c70,2022-09-14,2022-09-14 06:37:22,2022-09-14 07:38:37,Paris-Le Bourget Airport,Sion Airport,1h01min,61.25,1784.4,4.6,486.0,FR,CH,Paris-Le Bourget Airport - Sion Airport,LFPB,LSGS,48.968997,2.439543,46.288788,7.548478,211.0,1950.0,output\OE-LDP\2022-09-14\leg_1\OE-LDP_baro_2022-09-14_leg_1.csv
avion du groupe Altice,OE-LDP,440c70,2022-09-11,2022-09-11 14:41:02,2022-09-11 15:36:13,Sion Airport,Paris-Le Bourget Airport,55min,55.17,1607.3,4.1,474.0,CH,FR,Sion Airport - Paris-Le Bourget Airport,LSGS,LFPB,46.14949,7.154913,48.963043,2.417344,3096.0,58.0,output\OE-LDP\2022-09-11\leg_1\OE-LDP_baro_2022-09-11_leg_1.csv
avion du groupe Altice,OE-LDP,440c70,2022-09-09,2022-09-09 08:07:09,2022-09-09 08:55:29,Paris-Le Bourget Airport,Sion Airport,48min,48.33,1408.0,3.6,472.0,FR,CH,Paris-Le Bourget Airport - Sion Airport,LFPB,LSGS,48.970114,2.443446,46.128473,7.105682,152.0,2305.0,output\OE-LDP\2022-09-09\leg_3\OE-LDP_baro_2022-09-09_leg_3.csv
avion du groupe Altice,OE-LDP,440c70,2022-09-09,2022-09-09 06:29:50,2022-09-09 07:32:12,Montpellier-Mediterranee Airport,Paris-Le Bourget Airport,1h02min,62.35,1816.5,4.7,608.0,FR,FR,Montpellier-Mediterranee Airport - Paris-Le Bourget Airport,LFMT,LFPB,43.598591,3.947296,48.964645,2.438542,726.0,69.0,output\OE-LDP\2022-09-09\leg_2\OE-LDP_baro_2022-09-09_leg_2.csv
avion du groupe Altice,OE-LDP,440c70,2022-09-09,2022-09-09 05:05:03,2022-09-09 05:41:14,Sion Airport,Montpellier-Mediterranee Airport,36min,36.18,1054.0,2.7,379.0,CH,FR,Sion Airport - Montpellier-Mediterranee Airport,LSGS,LFMT,46.146582,7.1464,43.515822,4.093911,3045.0,823.0,output\OE-LDP\2022-09-09\leg_1\OE-LDP_baro_2022-09-09_leg_1.csv
avion du groupe Altice,OE-LDP,440c70,2022-09-08,2022-09-08 03:42:20,2022-09-08 07:18:04,Ben Gurion International Airport,Sion Airport,3h36min,215.73,6284.9,16.2,2812.0,IL,CH,Ben Gurion International Airport - Sion Airport,LLBG,LSGS,32.017838,34.893419,46.345505,7.735313,61.0,3616.0,output\OE-LDP\2022-09-08\leg_1\OE-LDP_baro_2022-09-08_leg_1.csv
avion du groupe Altice,OE-LDP,440c70,2022-09-06,2022-09-06 04:12:07,2022-09-06 07:53:40,Paris-Le Bourget Airport,Ben Gurion International Airport,3h42min,221.55,6454.5,16.6,3293.0,FR,IL,Paris-Le Bourget Airport - Ben Gurion International Airport,LFPB,LLBG,48.972427,2.452205,32.016312,34.883405,51.0,61.0,output\OE-LDP\2022-09-06\leg_1\OE-LDP_baro_2022-09-06_leg_1.csv
avion du groupe Altice,OE-LDP,440c70,2022-09-05,2022-09-05 11:14:31,2022-09-05 15:29:00,Ben Gurion International Airport,Paris-Le Bourget Airport,4h14min,254.48,7413.9,19.1,3295.0,IL,FR,Ben Gurion International Airport - Paris-Le Bourget Airport,LLBG,LFPB,32.017136,34.888788,48.962294,2.414607,69.0,84.0,output\OE-LDP\2022-09-05\leg_1\OE-LDP_baro_2022-09-05_leg_1.csv
avion du groupe Altice,OE-LDP,440c70,2022-09-04,2022-09-04 16:17:12,2022-09-04 19:32:26,Sion Airport,Ben Gurion International Airport,3h15min,195.22,5687.4,14.6,2846.0,CH,IL,Sion Airport - Ben Gurion International Airport,LSGS,LLBG,46.139557,7.132137,32.010064,34.894988,3046.0,53.0,output\OE-LDP\2022-09-04\leg_1\OE-LDP_baro_2022-09-04_leg_1.csv
avion du groupe Altice,OE-LDP,440c70,2022-08-26,2022-08-26 13:10:23,2022-08-26 16:34:43,Ben Gurion International Airport,Sion Airport,3h24min,204.32,5952.5,15.3,2823.0,IL,CH,Ben Gurion International Airport - Sion Airport,LLBG,LSGS,32.017776,34.892853,46.297485,7.552565,91.0,1905.0,output\OE-LDP\2022-08-26\leg_2\OE-LDP_baro_2022-08-26_leg_2.csv
