propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-08-23,2022-08-23 21:15:31.830000+00:00,2022-08-23 22:34:30.410000+00:00,Federico Fellini International Airport,Paris-Le Bourget Airport,1h19min,78.97,6.2,952.0,IT,FR,Federico Fellini International Airport - Paris-Le Bourget Airport,LIPR,LFPB,44.027893,12.594101,48.964854,2.441422,546.0,26.0,output\F-GBOL\2022-08-23\leg_2\F-GBOL_baro_2022-08-23_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-08-23,2022-08-23 14:15:34.470000+00:00,2022-08-23 15:34:32.310000+00:00,Paris-Le Bourget Airport,Federico Fellini International Airport,1h19min,78.95,6.2,962.0,FR,IT,Paris-Le Bourget Airport - Federico Fellini International Airport,LFPB,LIPR,48.971924,2.450444,43.971428,12.699149,58.0,476.0,output\F-GBOL\2022-08-23\leg_1\F-GBOL_baro_2022-08-23_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-08-21,2022-08-21 16:03:17.190000+00:00,2022-08-21 23:56:12.760000+00:00,Argyle International Airport,Los Angeles International Airport,7h53min,472.92,35.5,6194.0,VC,US,Argyle International Airport - Los Angeles International Airport,TVSA,KLAX,13.186523,-61.136596,33.933323,-118.397427,559.0,15.0,output\F-HFHP\2022-08-21\leg_1\F-HFHP_baro_2022-08-21_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-08-20,2022-08-20 18:39:07.580000+00:00,2022-08-20 19:00:36.470000+00:00,Martinique Aime Cesaire International Airport,Argyle International Airport,21min,21.47,1.6,159.0,MQ,VC,Martinique Aime Cesaire International Airport - Argyle International Airport,TFFF,TVSA,14.541412,-60.876239,13.131912,-61.160036,2909.0,156.0,output\F-HFHP\2022-08-20\leg_1\F-HFHP_baro_2022-08-20_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-08-18,2022-08-18 15:00:02.750000+00:00,2022-08-18 17:11:41.300000+00:00,Ioannis Kapodistrias International Airport,Paris-Le Bourget Airport,2h12min,131.63,10.3,1724.0,GR,FR,Ioannis Kapodistrias International Airport - Paris-Le Bourget Airport,LGKR,LFPB,39.657386,19.829651,48.964645,2.438331,3045.0,50.0,output\F-GBOL\2022-08-18\leg_3\F-GBOL_baro_2022-08-18_leg_3.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-08-18,2022-08-18 12:47:17.350000+00:00,2022-08-18 14:17:11.760000+00:00,Toulon-Hyères Airport,Ioannis Kapodistrias International Airport,1h30min,89.9,7.0,1211.0,FR,GR,Toulon-Hyères Airport - Ioannis Kapodistrias International Airport,LFTH,LGKR,43.104172,6.276323,39.269047,19.815735,1542.0,1908.0,output\F-GBOL\2022-08-18\leg_2\F-GBOL_baro_2022-08-18_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-08-18,2022-08-18 09:30:11.500000+00:00,2022-08-18 10:30:14.010000+00:00,Paris-Le Bourget Airport,Toulon-Hyères Airport,1h00min,60.03,4.7,714.0,FR,FR,Paris-Le Bourget Airport - Toulon-Hyères Airport,LFPB,LFTH,48.971878,2.450303,43.115112,6.249688,81.0,1352.0,output\F-GBOL\2022-08-18\leg_1\F-GBOL_baro_2022-08-18_leg_1.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-08-08,2022-08-08 16:12:36.200000+00:00,2022-08-08 17:20:12.840000+00:00,Toulon-Hyères Airport,Paris-Le Bourget Airport,1h08min,67.6,3.5,715.0,FR,FR,Toulon-Hyères Airport - Paris-Le Bourget Airport,LFTH,LFPB,43.070389,6.112933,48.962294,2.414535,963.0,23.0,output\F-HVBL\2022-08-08\leg_5\F-HVBL_baro_2022-08-08_leg_5.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-08-08,2022-08-08 14:41:02.640000+00:00,2022-08-08 15:36:29.780000+00:00,Paris-Le Bourget Airport,Toulon-Hyères Airport,55min,55.45,2.9,716.0,FR,FR,Paris-Le Bourget Airport - Toulon-Hyères Airport,LFPB,LFTH,48.964783,2.440796,43.06723,6.180512,51.0,1002.0,output\F-HVBL\2022-08-08\leg_4\F-HVBL_baro_2022-08-08_leg_4.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-08-08,2022-08-08 12:04:45.270000+00:00,2022-08-08 13:11:53.440000+00:00,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h07min,67.13,3.5,696.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.650192,7.207351,48.961689,2.412222,176.0,26.0,output\F-HVBL\2022-08-08\leg_3\F-HVBL_baro_2022-08-08_leg_3.csv
